Class,the,on,and,it,as,that,all,CLASS63,CLASS1269,CLASS2232,CLASS2380,CLASS2394,CLASS2470,CLASS2476,CLASS2478,CLASS2479,CLASS2481,CLASS2486,CLASS2487,CLASS2503,CLASS2508,CLASS2514,CLASS2515,CLASS2516,CLASS2517,CLASS2518,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2525,CLASS2529,CLASS2530,CLASS2534,CLASS2537,CLASS2541,CLASS2546,CLASS2551,CLASS2552,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2567,CLASS2571,CLASS2573,CLASS2574,CLASS2575,CLASS2576,CLASS2579,CLASS2580,CLASS2581,CLASS2582,CLASS2583,CLASS2584,CLASS2585,CLASS2586,CLASS2589,CLASS2590,CLASS2591,CLASS2593,CLASS2594,CLASS2595,CLASS2596,CLASS2597
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.705882352941178,0,0,0,0,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.941176470588236,0,0,0,0,0,0,0,0,0,0,0,12.42067089755213,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9174311926605505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.991228070175438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.777878513145964,0

Focus,0,0,0,0,0,0,0,99.45355191256833,98.84393063583816,90.12987012987014,85.79365304771184,97.29729729729726,45.541589179633455,57.91128758761042,89.97822379724312,0,44.11208778396001,41.69306523046354,57.57279187084118,77.31857327477735,67.31857587203882,37.43608543063209,31.643619135450546,64.29390281327912,36.88128034064096,92.6256709306083,36.51665591990964,95.27558237917779,49.04528191546002,92.04114587024718,55.34028644179742,92.42634094822351,53.61188070163549,39.81520693600429,44.646933736073,60.90784986469428,44.393962864668055,72.96299295838831,48.108291466379896,56.38714568249489,67.17528205015977,70.85661659928601,63.14576260924113,52.080414721999844,51.18170548426018,90.23104793713924,51.01092433720771,50.64520225522343,27.36199770862788,61.280386048765344,36.28348281685964,50.98258106972289,45.52195285520283,95.72528194672127,66.24823320185125,53.51482837752,36.078697782477605,55.65088583031128,65.342656372044,45.9226505324465,0,51.25743013005211,23.07175228450966,49.26978307518337,48.633761991843905,47.725886094316856,73.73645885299256,68.52003483206059,34.29061765238119,67.32268483404286

Adjective,0,0,0,0,0,0,0,0,0,0,0,0.9009009009009009,7.76255707762557,2.955665024630542,0,0,0,3.571428571428571,4.37956204379562,0,14.705882352941178,6.0606060606060606,13.302752293577983,10.552763819095476,3.755868544600939,0,6.0924369747899165,0,33.33333333333333,0.3179650238473768,0,95.17543859649123,32.863849765258216,7.795698924731183,3.2327586206896552,1.461988304093567,0,0,0.796812749003984,1.2711864406779663,28.333333333333332,0,0.6651884700665188,2.459016393442623,16.22641509433962,0,2.6086956521739126,4.477611940298507,14.831460674157304,12.571428571428571,2.9585798816568047,58.333333333333336,0.43859649122807015,0,0.6153846153846154,1.844532279314888,0,0,23.065693430656932,10.062111801242237,0,49.60629921259843,9.565217391304348,0.33726812816188867,12.44635193133047,12.606473594548552,0.6802721088435374,8.45771144278607,0.543970988213962,4.368932038834951
Adverb,0,0,0,0,0,0,0,0,0,4.935064935064935,0,0,47.48858447488584,1.9704433497536946,0,0,0,28.92857142857143,2.9197080291970803,0,1.4705882352941175,0,0.9174311926605505,67.33668341708542,0.9389671361502347,0,35.714285714285715,0,46.464646464646464,0,0,0,0,24.193548387096776,1.9396551724137931,0,1.4851485148514851,17.05426356589147,2.788844621513944,1.694915254237288,67.0,1.5873015873015872,5.764966740576496,0.819672131147541,5.283018867924529,0.576923076923077,1.4492753623188406,50.14925373134328,2.471910112359551,10.0,0.7889546351084813,0,13.37719298245614,0,0,20.685111989459813,0.5882352941176471,0,1.313868613138686,2.236024844720497,0,39.89501312335958,7.536231884057972,1.1804384485666104,2.0028612303290414,0,0.3401360544217687,1.3266998341625207,45.058930190389844,3.3980582524271843
Conjunction,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.36123348017621,0,0,0,0,0,5.445544554455446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8771929824561403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.503173164097914,0
Determiner,100.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,100.0,0,1.4285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.147540983606557,0,0,0,0,0,64.85714285714286,0,0,19.956140350877195,0,0,0,19.11764705882353,1.584507042253521,0,2.857142857142857,0,0,3.768115942028986,0,0,0,0,0,0.9972801450589301,0
GrammarOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.74178403755869,0,0,0,0,0,0,0,0,0,0,0,0,78.68217054263566,0,50.0,0,74.28571428571429,0,0,0,0,0,8.358208955223882,3.3707865168539324,0,0,0,0,0,24.0,0,22.35294117647059,0,0,0,0,0,0,5.733558178752108,0,0,0,0,0,0
Noun,0,0,0,0,0,0,0,0,0,0,97.51131221719459,0.9009009009009009,5.93607305936073,75.86206896551724,0,0,82.4742268041237,21.428571428571427,0.7299270072992701,1.125703564727955,73.52941176470588,82.68398268398269,14.220183486238533,6.030150753768845,29.577464788732396,2.8688524590163933,28.361344537815125,2.1696252465483234,4.545454545454545,2.384737678855326,0,3.508771929824561,56.80751173708919,7.526881720430107,20.25862068965517,12.865497076023392,4.455445544554456,3.10077519379845,13.545816733067728,2.966101694915254,2.0,0,3.9911308203991127,5.327868852459016,3.3962264150943398,0,87.82608695652173,0.5970149253731344,15.505617977528091,8.285714285714285,48.91518737672584,34.72222222222222,57.675438596491226,2.0437956204379564,0,1.3175230566534915,1.4705882352941175,0,70.65693430656934,78.01242236024845,0,5.774278215223097,33.913043478260875,4.5531197301854975,70.52932761087267,81.7717206132879,13.605442176870747,87.72802653399668,5.802357207615594,82.52427184466019
Other,0,0,0,0,0,0,0,0,0,0,2.0361990950226243,0,0,14.285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,9.663865546218487,0,0,0,0,0,0.9389671361502347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8955223880597015,0,0,0,0,3.070175438596491,0,0,0,0,18.30985915492958,0,0,0,0,2.608695652173913,0,0,0,1.0204081632653061,0,0,0
Preposition,0,100.0,0,0,100.0,100.0,0,99.72677595628416,99.22928709055877,0,0,98.1981981981982,0,0,0,0,0,0,2.5547445255474455,0,0,0,0,0,19.248826291079812,0,0,96.05522682445759,0,0,0,0,0,0,0,0,38.11881188118812,0,49.40239043824701,0,0,0,0,54.50819672131148,53.20754716981132,0,0,0,0,0,0,0,0.43859649122807015,0,0,0.5270092226613966,0,0,0,0.4968944099378882,100.0,0,0,0,0.7153075822603719,0,0.6802721088435374,0,15.775158658204896,0
Pronoun,0,0,0,100.0,0,0,0,0,0,95.06493506493506,0,0,0,0,93.27354260089686,0,0,1.0714285714285714,0,81.80112570356472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.844827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7977528089887642,0,29.191321499013807,3.125,0,96.78832116788321,0,0,56.470588235294116,80.1056338028169,0,0,0,0,1.1594202898550725,0,0,0,0,0,12.42067089755213,0
Verb,0,0,0,0,0,0,0,0,0.7707129094412332,0,0.4524886877828055,0,37.89954337899543,0,1.345291479820628,0,11.855670103092784,42.85714285714286,80.65693430656934,0,9.313725490196079,0.8658008658008658,63.76146788990826,12.060301507537687,10.7981220657277,2.0491803278688523,18.067226890756302,1.3806706114398422,12.121212121212121,94.2766295707472,64.75770925110133,0,6.572769953051644,59.13978494623656,49.35344827586208,82.16374269005847,16.831683168316832,1.1627906976744187,33.46613545816733,43.220338983050844,2.0,1.9047619047619049,88.02660753880266,30.73770491803279,20.37735849056604,94.61538461538461,4.3478260869565215,6.268656716417911,57.52808988764045,3.1428571428571432,15.384615384615385,0,2.4122807017543857,0,75.38461538461539,74.17654808959156,0,0,2.9197080291970803,2.360248447204969,0,0.7874015748031495,34.492753623188406,83.97976391231029,7.010014306151645,2.385008517887564,82.31292517006803,0.8291873963515755,2.3572076155938353,6.5533980582524265

Focus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.1466109405063,94.64375746751973,97.25571598789531,98.00515504717713,56.343826375064054,78.92767654247838,98.43036368868012,100.0,86.93716396073988,49.37602710224107,87.28191870790498,98.50094311763156,73.22271409580672,91.65470528041043,68.55108400781623,68.63965532013306,42.59811442558368,67.81419786518724,42.7765895689715,96.06999394427405,54.71392065713818,96.93379149250462,70.4763334761884,96.11435804120799,63.307965831790945,60.695022516018284,53.213705140563896,84.53042841019742,58.34062583700902,78.12169108430463,55.30200035927155,61.972197332857604,69.69102008550266,95.05765219086192,88.48176488073744,57.62760800670662,54.35108950550922,99.32842548112978,90.42701770778294,69.00321828635072,59.21464743927106,63.67162734152867,54.69076275597895,66.6020139437998,58.3219437374578,97.72389360557709,76.44329005443072,75.36065675529501,58.27687166986829,79.96300652865334,72.78617256658815,79.79582046902422,100.0,61.71773060588376,45.94578479776946,86.58432486818177,74.76557661174793,83.78045755818727,82.70432446198907,88.40852459503272,44.72063487245223,83.92930360192673

