Class,a,CLASS355,CLASS1220,CLASS1776,CLASS2333,CLASS2439,CLASS2499,CLASS2513,CLASS2515,CLASS2531,CLASS2540,CLASS2550,CLASS2553,CLASS2554,CLASS2558,CLASS2561,CLASS2566,CLASS2567,CLASS2571,CLASS2573,CLASS2574,CLASS2576,CLASS2577,CLASS2580,CLASS2581,CLASS2582,CLASS2584,CLASS2588,CLASS2591,CLASS2592,CLASS2594,CLASS2595,CLASS2596,CLASS2598,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2611,CLASS2613,CLASS2614,CLASS2615,CLASS2616,CLASS2617
VB,0,0,0,0,0.4987531172069825,0,0,0.7462686567164178,45.04249291784703,22.151898734177212,0,0.6024096385542169,0,1.2944983818770228,1.342281879194631,12.742382271468145,1.8306636155606408,1.6563146997929608,5.641025641025641,3.054989816700611,2.3728813559322033,36.40350877192983,1.5444015444015444,0.9900990099009901,0,0.8635578583765112,2.2004889975550124,3.035143769968051,0.2828854314002829,0.7207207207207207,0.7396449704142012,0.9259259259259258,32.26495726495727,2.4539877300613497,1.7676767676767675,3.8901601830663615,10.201660735468565,0.8620689655172413,3.7369207772795217,1.3360739979445015,1.86799501867995,0.8639308855291578,15.913978494623656,10.678391959798995,2.9810298102981028,0.5730659025787965,2.9487179487179485,1.344860710854947,0.8064516129032258,15.45138888888889
VBD,0,0.3676470588235294,0,0,0.4987531172069825,1.1479591836734695,0.6097560975609756,72.20149253731343,15.58073654390935,6.329113924050633,0.3225806451612903,1.2048192771084338,0,6.796116504854369,0.6711409395973155,5.263157894736842,4.576659038901601,1.6563146997929608,2.307692307692308,18.94093686354379,0.6779661016949152,11.62280701754386,5.7915057915057915,0.49504950495049505,0,2.5906735751295336,6.112469437652812,20.766773162939298,2.9702970297029703,64.86486486486487,0.2958579881656805,72.22222222222221,0,2.4539877300613497,2.7777777777777777,2.9748283752860414,1.1862396204033214,2.3706896551724137,1.195814648729447,5.960945529290853,0,67.170626349892,9.46236559139785,10.552763819095476,1.084010840108401,10.544412607449857,4.615384615384616,0.7684918347742555,0.6451612903225806,0.8680555555555556
VBG,0,0,0,0,0.997506234413965,0,7.317073170731707,0.3731343283582089,8.78186968838527,5.69620253164557,0.6451612903225806,2.4096385542168677,0.6734006734006733,1.2944983818770228,0,3.8781163434903045,1.3729977116704806,4.3478260869565215,0,12.016293279022404,1.0169491525423728,10.964912280701753,9.652509652509652,2.4752475247524752,0.31645569620253167,1.8998272884283247,2.689486552567237,2.2364217252396164,3.6775106082036775,9.72972972972973,4.881656804733728,1.3888888888888888,0,0.6134969325153374,4.040404040404041,0,2.8469750889679712,3.0172413793103448,1.046337817638266,7.50256937307297,2.73972602739726,0.6479481641468683,3.4408602150537635,7.035175879396985,7.046070460704606,1.5472779369627507,1.4102564102564104,1.633045148895293,3.5483870967741935,1.0416666666666665
VBN,0,0,0,0,1.2468827930174564,0,0,0.3731343283582089,1.9830028328611897,8.544303797468354,0.16129032258064516,3.614457831325301,0,0,0,0.554016620498615,1.3729977116704806,9.109730848861282,0,0.40733197556008144,0,1.9736842105263157,16.795366795366796,1.4851485148514851,0.7911392405063291,1.7271157167530224,8.312958435207824,2.2364217252396164,0.2828854314002829,4.864864864864865,3.5502958579881656,0,1.0683760683760684,1.4314928425357873,0.5050505050505051,0.9153318077803204,0.5931198102016607,1.7241379310344827,0,2.2610483042137717,0.49813200498132004,0.755939524838013,0.8602150537634409,1.6331658291457287,2.5745257452574526,0.5157593123209169,2.6923076923076925,0,1.935483870967742,0.3472222222222222
VBP,0,0,0,0,0,0,0,0,1.13314447592068,0,0,0,0.6734006734006733,0,0,0,0.4576659038901602,0,0,1.8329938900203666,0.6779661016949152,1.5350877192982455,1.9305019305019304,0,0,0.3454231433506045,3.4229828850855744,20.287539936102235,0,0.36036036036036034,0,0,0.641025641025641,0,0,0.4576659038901602,4.389086595492289,0.43103448275862066,23.019431988041852,0,0.24906600249066002,0,0,3.015075376884422,0,0.40114613180515757,1.5384615384615385,0.2881844380403458,1.2903225806451613,0
VBZ,0,0,0,0,0,0,0,0.3731343283582089,0,0.6329113924050633,0,0.6024096385542169,0,0,0,2.7700831024930745,0.6864988558352403,0.4140786749482402,0,24.84725050916497,1.694915254237288,0.8771929824561403,0.7722007722007722,4.9504950495049505,0,1.5544041450777202,0,1.9169329073482428,0,0.5405405405405406,1.7751479289940828,0,0,0,1.5151515151515151,0,0.5931198102016607,0,0,0.7194244604316548,0.37359900373599003,0,1.7204301075268817,0,0.6775067750677507,0.2292263610315186,0.7692307692307693,0.19212295869356388,0.6451612903225806,0.6944444444444444
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9153318077803204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.399568034557236,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.958810068649885,0,34.61538461538461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25125628140703515,0,0,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37359900373599003,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,26.936026936026934,0,0,0,0.4576659038901602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.353535353535353,0,0,0,0,0,0,0,3.010752688172043,0,0,3.9541547277936964,0,0,0,0
