Class,to,and,CLASS2396,CLASS2480,CLASS2560,CLASS2589,CLASS2593,CLASS2599,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2606,CLASS2607,CLASS2609,CLASS2613,CLASS2618,CLASS2620,CLASS2623,CLASS2625,CLASS2627,CLASS2629,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,,Focus
Focus,100.0,100.0,99.26239805187286,100.0,59.82859636013455,50.7886951094446,93.29171784233783,86.4475386922834,66.14564376596546,74.1345992434644,64.00112818752245,73.5545546763618,94.8163237968915,64.84782691873885,45.9135054866242,85.33616897056764,71.50418264882686,31.573256955298284,63.69131564020818,51.933142683911846,50.22735921115423,90.06268258795012,71.20783052509645,61.36612458844256,36.67440291802857,45.12768452374718,52.14327300075239,54.700598417324166,82.12096375199923,36.86163074248574

Adjective,0,0,0,0,10.951526032315979,29.911280101394173,0,5.306603773584905,0,0,4.466019417475728,69.18238993710692,0,7.296137339055793,4.9079754601226995,0,0,5.87248322147651,0.87890625,3.641660597232338,7.52157829839704,0.3281378178835111,0,1.301921884686919,1.8181818181818181,8.897742363877823,17.722473604826547,6.3742988271290155,0.7199424046076314,9.99425617461229,,37.48321809426999
Adverb,0,0,0,0,0.5385996409335727,1.0139416983523446,0,0.2358490566037736,4.050279329608938,0,2.912621359223301,23.89937106918239,0,1.859799713876967,0.6134969325153374,0,26.156583629893237,8.389261744966444,23.14453125,6.991988346686089,4.315659679408139,0.2461033634126333,0.303951367781155,0.9919404835709857,34.43181818181818,27.02523240371846,12.594268476621417,1.4788373278939317,0.9359251259899208,27.85755313038484,,28.00902014800084
Conjunction,0,100.0,0,0,0,0,0,0,0,0,0,0,4.0393578456758155,0,0,0,0,0,0,0,0,0,1.1144883485309016,0,19.886363636363637,0,0,0,0,0,,80.90043559051928
Determiner,0,0,0,100.0,0,0,1.744186046511628,0,0,6.934812760055478,0,0,94.76954945624028,0,0,0,0,6.543624161073826,8.88671875,16.241806263656226,0,0,0,0,0,0,0.301659125188537,1.1728709841917389,0,0.5169442848937392,,56.81886176367541
GrammarOther,0,0,0,0,21.18491921005386,0,0,0,0,10.540915395284326,0,0,0,0,0,0,46.619217081850536,0,0,14.785142024763292,4.192355117139334,0,0,0,0,4.913678618857902,0,0,5.615550755939525,0.8615738081562321,,47.996993020611626
Noun,0,0,0,0,59.06642728904847,60.329531051964516,2.7906976744186047,1.5330188679245285,11.033519553072626,0.6934812760055479,77.47572815533981,4.245283018867925,0.6214396685655101,82.97567954220315,34.96932515337423,0,0,25.838926174496645,4.98046875,5.316824471959213,8.508014796547473,5.9064807219032,2.026342451874367,14.693118412895227,12.386363636363637,45.418326693227094,56.48567119155354,81.13207547169812,3.5277177825773935,7.352096496266514,,24.82565058268061
Other,0,0,0,0,0,5.196451204055767,1.627906976744186,0,0.27932960893854747,0,5.631067961165048,0,0,0,0,14.857142857142858,0,1.5100671140939599,0,0,0.36991368680641185,0,0.60790273556231,0,0,0.9296148738379815,0,0,0,0,,52.250561903135605
Preposition,100.0,0,99.28057553956835,0,0,0,0,86.20283018867924,0,0,0,0,0,0,0,0,0,0,61.71875,47.99708667152222,0,0.16406890894175555,23.404255319148938,6.757594544327341,11.25,0.33200531208499334,0.301659125188537,0,0.7919366450683946,0.402067777139575,,38.60123549100235
Pronoun,0,0,0,0,0,0,92.32558139534883,0,0,81.83079056865465,0,0,0,0,35.58282208588957,82.71428571428572,0,0.6711409395973155,0.1953125,0,0.9864364981504316,65.79163248564397,0,6.571605703657781,15.340909090909092,0,0.22624434389140274,0.4589495155532891,0,0,,40.35437804094638
Verb,0,0,0.7194244604316548,0,5.206463195691203,1.1406844106463878,0.3488372093023256,6.25,83.37988826815645,0,6.407766990291261,0.7861635220125787,0.4660797514241326,4.57796852646638,19.325153374233125,0.4285714285714286,1.0676156583629894,46.81208053691276,0,4.73415877640204,66.83107274969174,0.5742411812961444,65.04559270516718,68.62988220706757,1.0227272727272727,10.823373173970783,9.351432880844644,4.283528811830699,85.24118070554356,50.02871912693854,,28.521260684602584

Focus,100.0,100.0,99.20321595942009,100.0,60.97565733954523,64.90735339430222,92.7342778582359,85.45187105409514,83.48051118570702,80.6636481994403,78.18339915105649,71.37367865859024,94.38017545470547,84.61980972599386,49.126973866045546,84.02235921078002,68.65778696858797,50.44516441685298,62.06532989996285,46.138833652950446,69.82608526900796,89.35987385569913,71.42603571969606,67.69979813816335,37.60822403581395,48.50265779155522,57.61933360963978,84.18567191549032,86.91179859482654,54.24973586922744

