Class,to,and,CLASS71,CLASS1280,CLASS2226,CLASS2387,CLASS2475,CLASS2544,CLASS2555,CLASS2558,CLASS2563,CLASS2584,CLASS2594,CLASS2595,CLASS2597,CLASS2599,CLASS2600,CLASS2601,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2613,CLASS2614,CLASS2617,CLASS2618,CLASS2619,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,,Focus
NN,0,0,0,0,0,8.3710407239819,0,0,43.802816901408455,30.85339168490153,2.2222222222222223,1.1002444987775062,10.271041369472183,2.888888888888889,6.995884773662551,51.90735694822888,0.6915629322268326,26.86962276637988,61.328125,0.36363636363636365,13.082039911308204,55.332629355860604,0,16.69980119284294,4.819277108433735,0,0.4528301886792453,64.65116279069767,2.3220973782771535,2.6963657678780772,2.3622047244094486,8.203530633437175,4.23728813559322,3.7125748502994016,5.227882037533512,7.959743824336687,5.516431924882629,,25.869026886244324
NNP,0,0,0,0,0,89.14027149321268,0,0,6.338028169014084,4.157549234135667,1.2345679012345678,0,27.246790299572037,0,3.909465020576132,1.7711171662125342,0,37.06154864328259,3.3854166666666665,1.3333333333333335,0.4434589800443459,2.0063357972544877,1.4157014157014158,40.357852882703774,0.535475234270415,0,0.8301886792452831,2.558139534883721,3.6704119850187267,0.23446658851113714,0,1.142263759086189,6.053268765133172,0.3592814371257485,1.742627345844504,2.012808783165599,0,,43.082878828021364
NNPS,0,0,0,0,0,0,0,0,0.5633802816901409,0,0,0,0,0,0,0,0,0.13236267372600927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82.66413691492936
NNS,0,0,0,0,0,0,0,0,16.619718309859156,17.943107221006567,2.4691358024691357,0,1.4265335235378032,4.0,0,1.9073569482288828,0,9.00066181336863,7.03125,0.7272727272727273,0.8869179600886918,7.391763463569166,0.2574002574002574,2.783300198807157,0.4016064257028112,0,0.8301886792452831,18.72093023255814,0.8988764044943821,0,1.1811023622047243,0.20768431983385255,7.506053268765134,0.47904191616766467,1.4745308310991956,5.032021957913998,1.643192488262911,,27.8766816773114
PRP,0,0,0,0,95.06493506493506,0,0,0,0,22.75711159737418,0,97.06601466992664,0,0,0,0,73.16735822959889,0,0,0,1.7738359201773837,0,56.113256113256114,0,0,0,0,0,0,0,0,0,28.329297820823246,0,0,0.36596523330283626,0,,42.34941729406948
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7892644135188867,0,81.8953323903819,0,0,0,0,0,0,0,0,0,0,0,,97.82585357889883
RB,0,0,0,0,4.935064935064935,0,0,0,2.676056338028169,0.437636761487965,33.33333333333333,0,24.679029957203994,0.6666666666666667,0,4.768392370572207,0.2766251728907331,3.57379219060225,2.34375,0.7272727272727273,3.7694013303769403,1.0559662090813093,0,0,0.535475234270415,0,0.7547169811320755,0.6976744186046512,48.31460674157304,20.281359906213364,2.440944881889764,0.9345794392523363,1.573849878934625,25.02994011976048,4.6916890080428955,33.66880146386093,0.2347417840375587,,32.26774751344726
RBR,0,0,0,0,0,0,0,0,0,0.437636761487965,0,0,0,0,0,0,0,0,0,0,0.4434589800443459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,69.72327803050923
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9503695881731784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,14.084507042253522,0,0,0,0,0,0,0,0,0,0,0,0,12.460401267159451,0,0,0,0,0,0,0,0,0,0,0,8.862275449101796,0,0,12.089201877934272,,48.54926130717845
