Class,CLASS68,CLASS2608,CLASS2610,CLASS2622,CLASS2623,CLASS2626,CLASS2630,CLASS2633,CLASS2635,CLASS2637,CLASS2641,CLASS2642,CLASS2643,CLASS2645,CLASS2646,CLASS2647,CLASS2648,CLASS2649,,Focus
VBP,0,0.2372479240806643,0,35.55776892430279,0.9644364074743821,2.8768699654775602,0,0.12987012987012986,0.1644736842105263,0.22391401701746527,0,0.07501875468867217,0,0.8,0,0.18575851393188852,0.207284572105419,0,,85.30044139518654
VBZ,0,18.26809015421115,0,0,0,3.567318757192175,0,0,0,0.08956560680698611,0.15088645794039984,0.30007501875468867,0,2.0923076923076924,0,0,0.829138288421676,0.26413100898045433,,71.49236493350567
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.244646333549643,0,0.11844832691738229,0,,96.33500011216194
WP,0,0,0,0,0,0,0,5.930735930735931,0,0,0,0,0,0,3.958468526930565,0,0,0,,70.11743897983477
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08883624518803672,0,,100.0
WRB,0,0,0,0,0,0,0,8.831168831168831,0,0,0,0,0,0,0,0,0.059224163458691144,0,,99.29688189707116

Focus,100.0,64.76514138349948,82.20343446312026,47.45575377063335,53.14979887669217,38.784495815671214,99.23886423841178,44.82522517937891,46.30753644771213,49.48910570138627,71.23034094994235,75.94096047473285,65.29700687861536,59.79277648128245,85.75232209221335,56.65191650810092,46.454362842202784,62.156388194721956

Adjective,0,0,0,1.8924302788844622,1.62748643761302,4.487917146144994,0,1.9047619047619047,2.796052631578947,16.70398566950291,2.1124104111655977,2.738184546136534,0,2.0307692307692307,0.12978585334198572,0,27.33195143618596,7.342842049656629,,42.27083216083452
Adverb,0,13.997627520759192,0.36231884057971014,2.9880478087649402,10.427968655816757,20.483314154200233,0,23.246753246753247,17.434210526315788,1.0747872816838333,1.3956997359486985,1.4253563390847712,0,2.769230769230769,0,9.102167182662539,18.951732306781167,1.8489170628631801,,27.93279594082415
Conjunction,99.77142857142857,0,1.328502415458937,0,0,0,0,7.575757575757576,0,0,2.942285929837797,0,0,0,0,0,0,0,,89.04687621611833
Determiner,0,0,0,0,0,0,0,0,7.483552631578948,0,70.53941908713693,0,53.240058910162006,13.661538461538461,4.218040233614536,0,0.11844832691738229,0,,56.986560927273814
GrammarOther,0,0,0,3.386454183266932,0,1.726121979286536,0,0,6.0855263157894735,0,0,7.614403600900226,0,0,4.931862426995457,21.052631578947366,0,6.2334918119387215,,43.76991318715599
Noun,0,1.7793594306049823,2.6570048309178746,4.980079681274901,12.055455093429776,9.09090909090909,0.6674082313681868,11.03896103896104,53.37171052631579,75.54858934169279,6.676725763862693,5.36384096024006,0,5.169230769230769,0.9085009733939001,0,41.664198993189224,72.37189646064448,,35.42145968644542
Other,0,0,0.7246376811594203,0.29880478087649404,0,0,0,0.6060606060606061,1.151315789473684,1.8360949395432153,0,0,7.658321060382916,0.5538461538461538,0,0,0.059224163458691144,1.531959852086635,,53.12793745789071
Preposition,0,0.8303677342823249,9.29951690821256,8.864541832669323,1.024713682941531,0,0,35.84415584415584,0,0,0,75.28132033008252,0,0.8,0,45.20123839009288,0.11844832691738229,0,,49.99242681608099
Pronoun,0,0,0,0.796812749003984,6.389391199517782,0,89.21023359288098,5.930735930735931,0,0.40304523063143755,11.127876273104489,0.07501875468867217,37.99705449189985,0.12307692307692308,89.8118105126541,0,0.08883624518803672,0,,51.06375258285753
Verb,0,79.59667852906287,76.32850241545893,70.5179282868526,67.3297166968053,60.52934407364786,0,1.948051948051948,10.44407894736842,1.7465293327362292,4.300264051301395,6.526631657914479,0.22091310751104565,73.16923076923078,0,15.541795665634677,8.439443292863487,5.546751188589541,,28.85975914018054

Focus,100.0,82.06594609771884,82.99010642680304,73.08086108270916,66.20252867797264,62.49953192634189,99.17766315260505,42.663780069051995,52.156804726744355,76.95560807375448,68.90264432131652,73.94506864021771,61.595944977966276,72.85622309564702,88.87643517427549,51.65983466666406,48.430449945815866,74.25469397155886

