Class,CLASS2646,CLASS2652,CLASS2657,CLASS2659,CLASS2660,CLASS2661,,Focus
CC,0,2.1499448732083795,0,31.16539140670983,0,0,,92.47244052062857
CD,3.187250996015936,0,0.12043356081894822,0.08828722778104767,0.783636605126843,0.43530471329930953,,64.72378347475933
DT,77.53600980692615,0,3.6732236049779203,0,2.3110638863062825,0.5103572500750525,,90.82508684877153
EX,0,0,0,0,1.0094302032142382,0,,100.0
FW,0,0,0,0,0.026563952716164168,0,,100.0
IN,0,59.17861080485116,0.16057808109193095,14.214243672748674,5.312790543232833,0.06004202942059442,,72.04146431943113
JJ,0,2.0396912899669237,2.0875150541951024,0.23543260741612712,3.0415725860007967,17.922545782047433,,65.8993628916927
JJR,0,0,0.3010839020473705,0,0.8633284632753353,0.3752626838787151,,54.2643650009714
JJS,0,0,0,0.05885815185403178,0.13281976358082084,0.5403782647853498,,70.79012739510947
MD,0,0,7.808109193095142,0,0,0,,100.0
NN,0.398406374501992,1.5435501653803747,3.9140907266158167,3.4726309593878755,5.9636073847788555,40.94866406484539,,67.8960852816088
NNP,0,0.3858875413450937,0.4215174628663188,5.738669805768099,8.314517200159385,12.743920744521164,,46.5831673140156
NNPS,0,0,0,0,0,0.09006304413089163,,100.0
NNS,0.2758197977321483,0.6339581036383682,0.9835407466880771,0.44143613890523836,2.2048080754416257,9.396577604323026,,62.106465839783034
PRP,0,0,0,0,32.819763580820826,0.06004202942059442,,99.78102762555565
PRP$,17.74440698743488,0,0,0,0,0.13509456619633745,,99.09606516919371
RB,0,1.846747519294377,8.67121637896427,10.064743967039435,11.130296188072785,4.788351846292405,,30.701376566718526
RBR,0,0,0.08028904054596547,0,0,0,,100.0
RBS,0,0,0,0,0,0.13509456619633745,,100.0
RP,0,4.878721058434399,0,0,0,3.272290603422396,,65.0619058657139
TO,0,20.121278941565603,0,0,0,0,,100.0
UH,0,0,0,0.4120070629782225,0.06640988179041042,0,,84.4450547089487
VB,0,0.33076074972436603,6.724207145724609,1.353737492642731,10.931066542701554,0.3152206544581207,,56.38697980223767
VBD,0,2.2601984564498347,35.38739462063428,18.27545615067687,2.6431132952583347,0.9606724707295107,,58.446643756963276
VBG,0.30646644192460926,2.4255788313120177,7.848253713368125,1.2065921130076516,2.3907557444547747,2.0564395076553588,,39.948340158678086
VBN,0.09193993257738277,0.9647188533627343,5.399437976716178,0.05885815185403178,1.301633683092044,0.9756829780846592,,55.5220223480408
VBP,0,0.33076074972436603,5.941389000401445,0,1.5539912338956037,0.15010507355148606,,71.68422678849446
VBZ,0,0.3031973539140022,3.9140907266158167,0,0.5179970779652012,0.3152206544581207,,73.64465642021938
WDT,0,0,0,0,0.7172267233364324,0,,100.0
WP,0,0,0,4.031783402001177,0.810200557843007,0,,81.58487798059613
WP$,0,0,0.06021678040947411,0,0,0,,100.0
WRB,0,0,0.04014452027298274,6.003531489111242,0,0,,99.20504669130659

Focus,79.36278548997318,62.00480027893979,40.237087563508176,40.034172129286866,37.879346453595545,47.6584937905613

Adjective,0,2.0396912899669237,2.3885989562424728,0.2942907592701589,4.0377208128569535,18.8381867307115,,63.28222763275713
Adverb,0,1.846747519294377,8.79164993978322,16.068275456150676,11.130296188072785,4.923446412488742,,34.58692006865294
Conjunction,0,2.1499448732083795,0,31.16539140670983,0,0,,92.47244052062857
Determiner,77.53600980692615,0,3.6732236049779203,0,3.028290609642715,0.5103572500750525,,89.90466973327827
GrammarOther,0,4.878721058434399,7.808109193095142,0,1.0094302032142382,3.272290603422396,,44.96211583247121
Noun,0.6742261722341403,2.563395810363837,5.319148936170213,9.652736904061214,16.482932660379866,63.17922545782047,,59.176504215528034
Other,3.187250996015936,0,0.12043356081894822,0.5002942907592701,0.8766104396334176,0.43530471329930953,,56.65830081374557
Preposition,0,79.29988974641677,0.16057808109193095,14.214243672748674,5.312790543232833,0.06004202942059442,,77.2896847027494
Pronoun,17.74440698743488,0,0.06021678040947411,4.031783402001177,33.62996413866383,0.19513659561693186,,60.524054060932706
Verb,0.398406374501992,6.615214994487321,65.21477318346045,20.894643908181287,19.338557577367517,4.773341338937255,,49.791992639558806

Focus,77.43197424592549,77.8375904341924,67.27539113370882,35.11654976902269,36.12236369755962,64.64282098171003

