Class,to,and,CLASS2477,CLASS2571,CLASS2574,CLASS2588,CLASS2592,CLASS2594,CLASS2599,CLASS2607,CLASS2609,CLASS2612,CLASS2614,CLASS2616,CLASS2618,CLASS2621,CLASS2625,CLASS2626,CLASS2627,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2638,CLASS2639,,Focus
NN,0,0,0,0.28530670470756064,51.291512915129154,4.769001490312966,0,64.45086705202311,43.15514993481095,1.0294117647058822,0.4620123203285421,2.621359223300971,5.128205128205128,4.314329738058552,4.651162790697675,2.369077306733167,62.857142857142854,0.5714285714285714,27.69385699899295,2.5658338960162053,7.084468664850137,55.2870090634441,4.008438818565401,14.014014014014014,2.8872593950504126,0,7.782101167315175,0,,30.20004531628107
NNP,0,0,0,0.5706134094151213,6.273062730627306,0.29806259314456035,0,2.023121387283237,6.388526727509778,1.1764705882352942,0,4.368932038834951,16.096866096866098,1.078582434514638,0.6201550387596899,0.8728179551122194,2.5396825396825395,0,38.82175226586103,1.1478730587440917,0.6357856494096277,1.9133937562940584,0.14064697609001406,24.824824824824827,0.458295142071494,0.8358662613981762,4.43579766536965,0.3676470588235294,,39.71712161461181
NNPS,0,0,0,0,0.36900369003690037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2014098690835851,0,0,0.09165902841429881,0,0,0,,63.32069465935049
NNS,0,0,0,0.7132667617689016,18.81918819188192,0,0,2.023121387283237,5.736636245110821,0.29411764705882354,0.4620123203285421,0.48543689320388345,0,0.30816640986132515,0.46511627906976744,0.7481296758104738,21.48148148148148,0,7.905337361530715,0.2700877785280216,1.1807447774750226,8.962739174219536,0.8438818565400843,7.757757757757758,1.6498625114573784,0.303951367781155,1.7898832684824901,0,,35.570832196317234
PRP,0,0,0,0,0,0,0,0,0,0,0,64.36893203883494,0,0.30816640986132515,0,0,0,75.42857142857143,0,0.5401755570560433,0,0,0,5.305305305305305,0,0,8.249027237354085,85.47794117647058,,52.35588851020544
PRP$,0,0,0,0,0,0,80.12422360248446,0,0,0,0,0,0,0,0,0,0,0,0.4531722054380665,0,0,0,0,0,0,0,0,5.790441176470589,,92.74549380152679
RB,0,0,0,1.7118402282453637,3.136531365313653,22.950819672131146,0,1.7341040462427744,14.08083441981747,26.61764705882353,0,14.660194174757283,1.9943019943019942,20.03081664098613,0.31007751937984496,4.364089775561098,0.8465608465608466,0.2285714285714286,1.0574018126888218,11.88386225523295,27.974568574023618,1.4098690835850958,11.040787623066104,22.12212212212212,1.6498625114573784,0.1519756838905775,1.245136186770428,0,,25.687707013112465
RBR,0,0,0,0,0,0.29806259314456035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10010010010010009,0,0,0,0,,78.08060880257399
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906344410876133,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88318227593152,19.479606188466946,0,0,0,0,0,,71.54726191962001
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,1.3592233009708738,0,0,0,0,0,0,0,0,0,0,0,0.2502502502502503,0,0,0,0,,85.30260445378022
VB,0,0,0,0,0,0.44709388971684055,0,0,0.3911342894393742,2.5,0,0,0.7122507122507122,2.157164869029276,0,0,0,0.4571428571428572,0.3021148036253776,18.433490884537473,1.08991825613079,1.2084592145015105,0.2812939521800281,0.8008008008008007,0.27497708524289644,0.4559270516717325,66.61478599221789,0,,70.77315636097221
VBD,0,0,0,2.5677603423680457,2.3985239852398523,0.5961251862891207,0,0.5780346820809248,0.5215123859191656,0,0,0,0,7.0878274268104775,0,0.24937655860349126,0.31746031746031744,0,1.0070493454179255,2.025658338960162,12.98819255222525,0.6042296072507553,3.0239099859353025,6.756756756756757,68.28597616865261,54.78723404255319,3.6575875486381326,0,,50.76868439287207
VBG,0,0,0,4.42225392296719,2.214022140221402,2.384500745156483,0.4658385093167702,0,3.911342894393742,0,0.5646817248459959,0.1941747572815534,0,6.471494607087827,0,2.6184538653366585,1.6931216931216932,0.2285714285714286,0.6545820745216516,1.0803511141120865,20.708446866485016,1.6112789526686808,1.1954992967651195,7.207207207207207,8.799266727772686,1.2917933130699089,1.4007782101167316,0,,32.764178267012305
VBN,0,0,0,2.8530670470756063,0.9225092250922509,0,0,1.8786127167630058,1.1734028683181226,0,0,0.6796116504854369,0,0,0,0.4987531172069825,0.21164021164021166,0,0.10070493454179255,0.6076975016880486,13.623978201634879,1.6112789526686808,6.962025316455696,2.4024024024024024,3.5747021081576533,0.22796352583586624,0.5447470817120622,0,,39.82600441933317
VBP,0,0,0,0.8559201141226819,0,0,0,0,0,0,0,0.2912621359223301,0,0.30816640986132515,0,0.24937655860349126,0,0,0.25176233635448136,24.24037812288994,2.2706630336058127,0,0.14064697609001406,0.2502502502502503,0.7791017415215399,0,0.7003891050583658,0,,79.58251818653662
VBZ,0,0,0,0.5706134094151213,0.36900369003690037,0,0,0,0.651890482398957,0,0,0.3883495145631068,0,0.30816640986132515,0,0.4987531172069825,1.164021164021164,0,0,0.1350438892640108,3.2697547683923704,0.5035246727089627,10.68917018284107,0.7507507507507507,0.9624197983501375,0.22796352583586624,0,0,,53.184066416401
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714285714285714,0.2014098690835851,0,0,0,0,0,0,0,0,0,,96.52921097234308
WP,0,0,0,0,0,0,0,0,0,0,0,0,19.230769230769234,0,0.31007751937984496,0,0,6.9714285714285715,0,0,0,0,0,0,0,0,0,0,,76.18615568087246
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15015015015015015,0,0,0,0,,100.0
