Class,the,and,CLASS63,CLASS1269,CLASS2232,CLASS2380,CLASS2479,CLASS2521,CLASS2537,CLASS2562,CLASS2563,CLASS2567,CLASS2571,CLASS2573,CLASS2575,CLASS2583,CLASS2585,CLASS2589,CLASS2590,CLASS2591,CLASS2598,CLASS2600,CLASS2602,CLASS2604,CLASS2605,CLASS2606,CLASS2608,CLASS2610,CLASS2612,CLASS2615,CLASS2616,CLASS2617,CLASS2618,CLASS2620,CLASS2621,CLASS2622,CLASS2624,CLASS2625,CLASS2626,CLASS2627
NN,0,0,0,0,0,8.3710407239819,0,8.61344537815126,6.25,0,37.68115942028986,13.258426966292136,4.285714285714286,26.429980276134124,12.06140350877193,65.985401459854,0,14.492753623188406,1.6863406408094435,48.497854077253216,1.405152224824356,64.74278544542032,0.36101083032490977,68.00976800976801,8.571428571428571,44.00785854616896,3.7225042301184432,0,3.6124794745484397,0,9.287054409005629,3.584491587417703,1.3008130081300813,7.680945347119645,0,24.23146473779385,3.571428571428571,0.7363770250368188,1.509433962264151,4.03530895334174
NNP,0,0,0,0,0,89.14027149321268,0,18.487394957983195,0,0,42.89855072463768,0.44943820224719105,0.8571428571428572,5.128205128205128,44.95614035087719,2.335766423357664,0,5.797101449275362,2.866779089376054,3.719599427753934,1.1709601873536302,1.631116687578419,1.5643802647412757,2.31990231990232,0,21.807465618860512,0.8460236886632826,0,1.3136288998357963,1.4157014157014158,0.8442776735459663,0.7315288953913679,0.6504065040650406,2.806499261447563,0,37.070524412296564,0.2304147465437788,0.14727540500736377,0.1509433962264151,0.25220680958385877
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28612303290414876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18083182640144665,0,0,0,0.25220680958385877
NNS,0,0,0,0,0,0,0,1.2605042016806722,14.00862068965517,0,7.246376811594203,1.7977528089887642,3.1428571428571432,17.357001972386588,0.6578947368421052,2.335766423357664,0,13.623188405797102,0,18.025751072961373,0.468384074941452,20.075282308657467,0.9626955475330927,8.302808302808302,2.1052631578947367,7.760314341846758,2.3688663282571913,0,0,0.2574002574002574,0.5628517823639775,0.36576444769568395,0.40650406504065045,1.4771048744460855,0,8.227848101265822,0,0,0.22641509433962265,3.278688524590164
PRP,0,0,0,0,95.06493506493506,0,0,0,22.844827586206897,0,0,1.7977528089887642,0,29.191321499013807,0,0,0,1.1594202898550725,0,0,0,0,0,0,0,0,0,10.619469026548673,0,56.113256113256114,0,0,0,0,65.30864197530865,0,0,0,59.924528301886795,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.19848293299621,0,0,0,0,0,0,0,0.81374321880651,0,0,0,0
RB,0,0,0,0,4.935064935064935,0,0,35.714285714285715,1.9396551724137931,0.576923076923077,1.4492753623188406,2.0224719101123596,10.0,0.39447731755424065,4.385964912280701,1.313868613138686,0,7.536231884057972,1.1804384485666104,2.0028612303290414,0.468384074941452,1.0037641154328731,0.36101083032490977,1.465201465201465,6.917293233082707,1.768172888015717,32.82571912013537,0,24.958949096880133,0,0.8442776735459663,24.433065106071687,1.4634146341463417,45.347119645494836,0,0,19.930875576036865,12.15022091310751,15.320754716981133,3.278688524590164
RBR,0,0,0,0,0,0,0,0,0,0,0,0.44943820224719105,0,0.39447731755424065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.65413533834587,0,0,0,0,0,0,0,9.59349593495935,0,0,0,0,0,0,0
