SIMILARITY,old english,english alice,english herbals,english trees,portuguese plants,portuguese cotton,portuguese french crustaceans,french flowers,occitan,latin plants,latin medical plants,spanish cuentos,italian concilio,german plants,german rice,norwegian,greek hamlet,hungarian,polish,serbian,russian,turkish,arabic,hebrew,Voynich,Voynich A,Voynich B
latin medical plants,0.8289682395342781,0.7762771074803433,0.7864196647690979,0.8099467755832891,0.8250502231704373,0.7804056085505187,0.7236693828390107,0.8177203595170677,0.8674338451392893,0.7643644841871715,1.0,0.8307552107653543,0.7991787273438791,0.85534654040141,0.8120851105329505,0.8111045821332893,0.8135398857856454,0.7941072307290985,0.7313581880580307,0.8156981881372746,0.7971885390436946,0.7607356777095883,0.786940067631582,0.8576817781015635,0.8360292186243689,0.8627320679979632,0.864484660751698
spanish cuentos,0.8491014961723389,0.8114018013726398,0.887322685684667,0.8218152005592902,0.8413299375874792,0.7632896179550975,0.6024501157153113,0.8427429163461198,0.8029285842932545,0.6292058733867448,0.8307552107653543,1.0,0.8053788478402184,0.865476191108419,0.8453299288070019,0.8232442771231588,0.8595844985751984,0.8082643685634601,0.7230156628369224,0.8391459411240901,0.8389799489246546,0.7534004701061843,0.8307347958497344,0.8316717269691404,0.7501105981415421,0.8081051351118782,0.7992456500094379
italian concilio,0.8484958724412798,0.830827771219267,0.8649929017194984,0.8544172276850543,0.8763965346777212,0.7973007040403559,0.6391232248696513,0.8591068511185964,0.8373210653256252,0.5747828060492607,0.7991787273438791,0.8053788478402184,1.0,0.8029447263060558,0.85021976945039,0.8531751634356082,0.887653359645739,0.8341337604091354,0.7896483969663229,0.8391758775137295,0.9050701063986943,0.8011652024308341,0.8168802674534446,0.833810154870154,0.7591776045044832,0.8224335686616289,0.8053456726681686
german plants,0.8152727137436656,0.8309398191973647,0.8233603309088936,0.8346278275503739,0.8161541915972242,0.801959221212729,0.6676579185023008,0.8333462420037151,0.8784083040897583,0.7240437233329423,0.85534654040141,0.865476191108419,0.8029447263060558,1.0,0.8425510684717168,0.7589109715978477,0.8858661503404736,0.8180203591396994,0.7501315128727788,0.835620571716236,0.8299099235966577,0.808151220065816,0.8073492012158245,0.8244057487181492,0.8119243395547743,0.8354883112155473,0.8061693468699758
german rice,0.8328572744737082,0.8296581927610402,0.835595663279725,0.8375643375819123,0.838771190521184,0.8026683502309361,0.6882827528512262,0.8554304433822472,0.8551897599104997,0.6366718976261996,0.8120851105329505,0.8453299288070019,0.85021976945039,0.8425510684717168,1.0,0.8517457348808248,0.8481390804057464,0.8818382464630327,0.7735586358075968,0.8500308648211263,0.8840886802112041,0.8330344059365886,0.811533490013725,0.8546450940739095,0.8077830770115808,0.8650133876300442,0.8874486524995239
norwegian,0.8385471832439955,0.8039060370026428,0.8170008718811559,0.7995056043604253,0.8771549966330449,0.7838478452519816,0.6268505252828805,0.8776659289232261,0.8469210126080773,0.581332528202791,0.8111045821332893,0.8232442771231588,0.8531751634356082,0.7589109715978477,0.8517457348808248,1.0,0.8063095273590984,0.8167710603801973,0.7858180115090263,0.8493972827213248,0.8614051482190572,0.7469473877818186,0.8498420911409063,0.8428294210659037,0.7405939356131549,0.82280942132696,0.8425051901338624
greek hamlet,0.8211550903700676,0.8161684795771387,0.8152156298368717,0.797521609692023,0.8417558948741657,0.780840225229684,0.6406067520814035,0.8555809593766134,0.8566505586590777,0.6404939898179831,0.8135398857856454,0.8595844985751984,0.887653359645739,0.8858661503404736,0.8481390804057464,0.8063095273590984,1.0,0.8671566326054521,0.735684662907111,0.8212034080393782,0.8820607409532158,0.8650448032727374,0.8097631945402743,0.8104741874993173,0.8036700891327138,0.8524898720655584,0.7929787116689692
hungarian,0.815127821236482,0.8531176346194094,0.8160892949667629,0.8276951377046261,0.8191944325359889,0.8475280307592058,0.7206426843965332,0.8203275163545218,0.8153047654716967,0.652567703440867,0.7941072307290985,0.8082643685634601,0.8341337604091354,0.8180203591396994,0.8818382464630327,0.8167710603801973,0.8671566326054521,1.0,0.7684726804831747,0.8655782841451367,0.8347211794454517,0.8143309597145264,0.8030926423211423,0.8453395338856953,0.8097307263154782,0.8323619265795326,0.8750571108989579
polish,0.7299526546571865,0.8328357458250591,0.8287524511192226,0.7646619245152149,0.7925072738401503,0.8800170784641419,0.6767325042474722,0.8070538844299376,0.7117066922332296,0.5804686192360345,0.7313581880580307,0.7230156628369224,0.7896483969663229,0.7501315128727788,0.7735586358075968,0.7858180115090263,0.735684662907111,0.7684726804831747,1.0,0.8233034982567272,0.778891309079923,0.8273373894854321,0.812237461355996,0.7483271445561834,0.7886771078455125,0.7272382595378962,0.7319928855530746
serbian,0.8553376186995548,0.8998359239573156,0.8559149916267899,0.831132226784364,0.895235155479734,0.8902834705150633,0.6728300152404403,0.9028736499276361,0.8232094668420257,0.617787439055997,0.8156981881372746,0.8391459411240901,0.8391758775137295,0.835620571716236,0.8500308648211263,0.8493972827213248,0.8212034080393782,0.8655782841451367,0.8233034982567272,1.0,0.8816916089597407,0.7766985162479336,0.8414510517163607,0.8479062877348473,0.7841850927461108,0.8574689909806287,0.8252359619490082
russian,0.8472198133884029,0.8310281765339645,0.8982960193377165,0.8298820353524939,0.8463600915646642,0.8177462665911839,0.6006578576526725,0.8925483369266372,0.8143666534403323,0.5676300345504643,0.7971885390436946,0.8389799489246546,0.9050701063986943,0.8299099235966577,0.8840886802112041,0.8614051482190572,0.8820607409532158,0.8347211794454517,0.778891309079923,0.8816916089597407,1.0,0.8368962578099374,0.8365452948394481,0.8506662089788555,0.7551019964150808,0.8324091900447813,0.8163627950918814
turkish,0.7769846921781897,0.808797626525915,0.8085758823632524,0.7737134707556504,0.7691124894208945,0.82791224056457,0.6792512889276278,0.7410706726772737,0.767108147711892,0.6197880988482728,0.7607356777095883,0.7534004701061843,0.8011652024308341,0.808151220065816,0.8330344059365886,0.7469473877818186,0.8650448032727374,0.8143309597145264,0.8273373894854321,0.7766985162479336,0.8368962578099374,1.0,0.8097179859561016,0.8262188510959877,0.8913400463174188,0.8158006370810359,0.8407762690273812
arabic,0.8339968266734984,0.8544567539165108,0.8750179076859527,0.8425174209030124,0.865222867378989,0.8455849237566779,0.692155416179699,0.8554261641903114,0.7795627877578879,0.5318946929809257,0.786940067631582,0.8307347958497344,0.8168802674534446,0.8073492012158245,0.811533490013725,0.8498420911409063,0.8097631945402743,0.8030926423211423,0.812237461355996,0.8414510517163607,0.8365452948394481,0.8097179859561016,1.0,0.8016801564854302,0.7632971315962012,0.7613509968602037,0.8319960318881878
hebrew,0.8650941468009802,0.8547532704204333,0.8264237015034593,0.8439198708838729,0.8511877580758063,0.7956112387357025,0.6823544438912569,0.8305376188158069,0.830796903180633,0.7190128026123033,0.8576817781015635,0.8316717269691404,0.833810154870154,0.8244057487181492,0.8546450940739095,0.8428294210659037,0.8104741874993173,0.8453395338856953,0.7483271445561834,0.8479062877348473,0.8506662089788555,0.8262188510959877,0.8016801564854302,1.0,0.8666521063406898,0.8863166809758779,0.8822731828413217
Voynich,0.7975674905380886,0.8193408640897842,0.765300297109288,0.7662013189885769,0.7963282249193689,0.7828178835076804,0.7280821454186287,0.7334581415342553,0.7837286162553596,0.8084890661607181,0.8360292186243689,0.7501105981415421,0.7591776045044832,0.8119243395547743,0.8077830770115808,0.7405939356131549,0.8036700891327138,0.8097307263154782,0.7886771078455125,0.7841850927461108,0.7551019964150808,0.8913400463174188,0.7632971315962012,0.8666521063406898,1.0,0.8720465214157553,0.8672423964188481
Voynich A,0.8465209650556549,0.8098585064391454,0.8122470512744442,0.812228384611017,0.8025502287266766,0.7480761142168049,0.6354300337168854,0.8431960146017309,0.836844418823368,0.7810846969181122,0.8627320679979632,0.8081051351118782,0.8224335686616289,0.8354883112155473,0.8650133876300442,0.82280942132696,0.8524898720655584,0.8323619265795326,0.7272382595378962,0.8574689909806287,0.8324091900447813,0.8158006370810359,0.7613509968602037,0.8863166809758779,0.8720465214157553,1.0,0.8820649714074527
Voynich B,0.8942365641470632,0.8121487415118346,0.7970416967340083,0.8002487932351866,0.8244446307240528,0.7902815219030498,0.7568798295674547,0.8079065560461833,0.8050722299303865,0.6935879732308033,0.864484660751698,0.7992456500094379,0.8053456726681686,0.8061693468699758,0.8874486524995239,0.8425051901338624,0.7929787116689692,0.8750571108989579,0.7319928855530746,0.8252359619490082,0.8163627950918814,0.8407762690273812,0.8319960318881878,0.8822731828413217,0.8672423964188481,0.8820649714074527,1.0
