Class,CLASS2660,CLASS2661,CLASS2664
CC,0,1.1126961483594866,6.467570538658849
CD,0.47713063507732806,2.282453637660485,0.07328691828508611
DT,0.3784139519578809,36.84736091298145,1.9237816049835106
EX,0,0,0.4641504824722121
FW,0.03290556103981573,0,0
IN,0.14807502467917077,1.825962910128388,17.741541468181264
JJ,17.275419545903258,3.238231098430813,2.027604739220716
JJR,1.4149391247120764,0.028530670470756064,0.10382313423720532
JJS,0.5923000987166831,0.14265335235378032,0.012214486380847685
MD,0,0,2.3757176010748746
NN,44.94899638038829,5.991440798858773,2.485647978502504
NNP,14.18229680816058,2.353780313837375,4.140710883107365
NNPS,0.06581112207963145,0,0.012214486380847685
NNS,9.295820993747943,3.3238231098430813,0.5496518871381458
PRP,0,4.878744650499287,13.026749725174055
PRP$,0.14807502467917077,8.25962910128388,0
RB,3.5867061533399145,7.960057061340942,7.463051178697936
RBR,0,0.028530670470756064,0.012214486380847685
RBS,0.14807502467917077,0,0
RP,0,0,2.412361060217418
TO,0,0,4.4582875290094055
UH,0,0.07132667617689016,0.0855014046659338
VB,0.3290556103981573,12.467902995720399,2.094784414315378
VBD,0.9378084896347483,2.5534950071326676,15.225357273726638
VBG,1.1187890753537348,3.295292439372325,3.3467692683522654
VBN,0.6910167818361304,1.1840228245363766,2.1192133870770737
VBP,0.08226390259953932,0.2995720399429387,2.4978624648833514
VBZ,0.29615004935834155,0.2995720399429387,1.3863442042262122
WDT,0,0.05706134094151213,0.3053621595211921
WP,0,0,1.2092341517039207
WP$,0,0.042796005706134094,0
WRB,0,0,1.2580920972273115

Focus,47.66214334747353,37.473601688871845,24.62862254913957

Adjective,19.28265876933202,3.40941512125535,2.143642359838769
Adverb,3.734781178019085,7.988587731811698,8.733357762306095
Conjunction,0,1.1126961483594866,6.467570538658849
Determiner,0.3784139519578809,36.90442225392296,2.2291437645047028
GrammarOther,0,0,5.252229143764504
Noun,68.49292530437644,11.66904422253923,7.188225235128863
Other,0.5100361961171438,2.353780313837375,0.1587883229510199
Preposition,0.14807502467917077,1.825962910128388,22.19982899719067
Pronoun,0.14807502467917077,13.1811697574893,14.235983876877976
Verb,3.455083909180652,20.099857346647646,26.67033101258092

Focus,70.75126843824503,36.903842915024356,29.394394948907525

