Class,to,CLASS71,CLASS2481,CLASS2598,CLASS2600,CLASS2602,CLASS2603,CLASS2605,CLASS2606,CLASS2612,CLASS2615,CLASS2616,CLASS2617,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2631,CLASS2632,CLASS2634,CLASS2635,CLASS2637,CLASS2638,CLASS2639,CLASS2640,,Focus
VBG,0,0,0,21.076233183856502,0,1.2642225031605563,0.7314524555903866,0.4620123203285421,0.4434589800443459,0.46511627906976744,0.8805031446540881,0.6666666666666667,0,0.7014028056112225,0,0.4243281471004243,3.35842501447597,1.3402061855670102,0,1.715686274509804,20.55109070034443,0.9239130434782609,1.6519174041297935,9.490084985835693,10.238429172510518,2.6515151515151514,1.0752688172043012,,37.220371836337435
VBN,0,0,0,8.370702541106128,0,0,1.8808777429467085,0,0,1.550387596899225,0.8805031446540881,0.38095238095238093,0,1.1022044088176353,0,0,7.180081065431384,2.1649484536082473,0,0.857843137254902,10.218140068886337,1.0326086956521738,2.3008849557522124,2.3371104815864023,1.4726507713884993,0.25252525252525254,0.6048387096774194,,32.70246139216791
VBP,0,0,0,0.29895366218236175,0.42016806722689076,0,0.6269592476489028,0,0,0,1.3836477987421385,0.38095238095238093,0,0,0,0,0.17371163867979156,0.2061855670103093,0,0,3.329506314580941,0.2717391304347826,0.17699115044247787,0.424929178470255,0,0.5050505050505051,23.723118279569892,,74.14589775667278
VBZ,0,0,0,0.29895366218236175,0,0,0.7314524555903866,0,0,0.31007751937984496,21.0062893081761,0.19047619047619047,0,0,0,0,0.5790387955993052,0.5154639175257731,0,1.3480392156862746,2.4110218140068884,0.8152173913043478,0,0.9915014164305949,0.2805049088359046,0.3787878787878788,0,,69.87367757313226
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7537399309551205,0,0,0,0,0,0,0.21739130434782608,0,0,0,0,0,,96.2880186621273
WP,0,0,0,0,0,0,0,0,9.977827050997783,0,0,0,0.303951367781155,0,7.019562715765247,0,0,0,0,0,0,0,0,0,0,0,0,,69.1510175930853
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16304347826086957,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,15.077605321507761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13440860215053765,,99.08638154140968

Focus,100.0,100.0,100.0,46.81717499565148,94.08214235070076,86.32451427368395,85.16973306273188,98.57956791092528,37.635331252688694,57.75315957546503,73.21994419528133,57.7763409374229,91.35020692441266,66.48500798678396,76.29253680098277,84.20003177896054,47.129140676593615,62.1609377425103,95.74167067809579,67.2487915175472,35.596656559768014,46.16213615925491,44.959340558817814,67.00569291159908,30.80205952841703,81.10608803103202,41.71366472448353

Adjective,0,0,0,2.9895366218236172,0,0.5056890012642226,5.6426332288401255,0,0.14781966001478197,12.713178294573643,0.37735849056603776,7.142857142857142,0.7598784194528875,55.811623246492985,0,0,1.447596988998263,5.463917525773196,0,7.1078431372549025,11.595866819747416,10.597826086956522,21.297935103244836,0.9206798866855523,7.012622720897615,0.5050505050505051,3.091397849462365,,37.85401604086924
Adverb,0,0,0,39.76083707025411,0,0.37926675094816686,1.044932079414838,0,40.872135994087216,1.2403100775193798,1.6352201257861636,1.2380952380952381,0.303951367781155,0.7014028056112225,0,0,10.01737116386798,2.0618556701030926,1.6379310344827587,1.3480392156862746,14.006888633754304,37.173913043478265,1.238938053097345,2.26628895184136,5.329593267882188,0.12626262626262627,12.231182795698926,,36.917654267834315
Conjunction,0,99.77142857142857,0,11.659192825112108,0,1.390644753476612,0,0,12.934220251293421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79.70148775368303
Determiner,0,0,100.0,0,0,0,0,98.61396303901438,0,0,0,0,0,0,7.479861910241657,1.272984441301273,0,0,0,0,0,0.21739130434782608,0,0,17.321178120617112,0.946969696969697,0,,60.860413075415906
GrammarOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.745684695051784,0,0,12.164948453608247,0,0,1.7221584385763489,4.021739130434782,0,5.524079320113314,7.012622720897616,6.502525252525253,19.892473118279568,,38.12187894521111
Noun,0,0,0,2.9895366218236177,3.3613445378151265,2.5284450063211126,1.9853709508881923,0.9240246406570842,18.994826311899484,73.7984496124031,0.25157232704402516,85.42857142857143,7.142857142857142,37.17434869739479,0.8055235903337169,0,11.23335263462652,69.89690721649485,0.9482758620689655,84.19117647058823,8.955223880597014,33.75,67.55162241887905,4.957507082152975,26.57784011220196,3.345959595959596,5.64516129032258,,27.31327791860686
Other,0,0,0,0,1.9607843137254901,0,0,0,0,0,0,0.19047619047619047,0,0,0,14.71004243281471,0.3474232773595831,2.9896907216494846,0,0,0,2.989130434782609,0,0,0.6311360448807855,0,0.20161290322580644,,62.5426669054656
Preposition,100.0,0,0,0,0,4.171934260429835,84.5350052246604,0,13.377679231337769,0,0.8805031446540881,0.38095238095238093,90.88145896656535,0,0,0,7.122177185871453,0,0,0,0,0,0,0,0,81.25,0,,43.63049069785564
Pronoun,0,0,0,0,92.85714285714286,0,0,0,9.977827050997783,0,0,0,0.303951367781155,0,82.96892980437285,81.8953323903819,6.658946149392009,0,69.13793103448276,0,0.9184845005740528,0.16304347826086957,0,0,16.54978962131837,0,0,,42.36144325939571
Verb,0,0,0,41.70403587443946,0.42016806722689076,81.03666245259166,5.851619644723093,0.4620123203285421,1.6999260901699924,5.891472868217054,91.3207547169811,2.571428571428571,0,2.905811623246493,0,0.4243281471004243,62.13086276780544,5.257731958762887,0.43103448275862066,4.28921568627451,59.93111366245694,9.619565217391305,5.2507374631268435,84.41926345609065,15.638148667601682,7.3232323232323235,44.95967741935484,,29.126122944495584

Focus,100.0,100.0,100.0,53.094505517287416,93.60023046028056,89.05247549049933,84.03021237785951,98.46477646109896,41.92700122929824,77.71987098534699,96.31775143110463,87.09640010040435,90.75730403844705,65.22820696912366,81.76475412982106,82.77300708564087,60.30169051991049,69.38339607561494,95.38461656723752,85.75522539283222,60.061861064509394,45.13613492176579,71.11289883122886,84.79165105269091,29.624007632187055,79.65089301171973,52.96403822045723

