Class,CLASS2661,CLASS2663,CLASS2664,,Focus
CC,14.741091314031179,0,0.5352731265440571,,94.7926872605169
CD,0,0.9083830781209448,0.8989843535547626,,50.00202813750534
DT,1.266703786191537,0.2984687256683104,19.26297007960472,,88.81923622257654
EX,0,0,0.521548174581389,,100.0
FW,0,0.02595380223202699,0,,100.0
IN,40.57628062360802,1.284713210485336,0.19214932747735383,,94.75887228154272
JJ,1.2110244988864143,15.753957954840384,2.1136426022508923,,73.97434908783276
JJR,0,1.1030365948611471,0.1372495196266813,,83.94986165972334
JJS,0.027839643652561245,0.4671684401764859,0.06862475981334065,,74.59156776451216
MD,0,0,2.6695031567389513,,100.0
NN,2.46380846325167,38.13911237996366,3.040076859730991,,81.0913331669759
NNP,2.700445434298441,11.770049312224241,4.144935492725776,,45.341822939612534
NNPS,0,0.05190760446405398,0.01372495196266813,,70.98147175541658
NNS,0.7238307349665924,8.447962626524784,1.269558056546802,,71.50646684073388
PRP,0,3.010641058915131,15.392533626132309,,76.77941501640645
PRP$,0,0.9343368803529718,3.5410376063683775,,71.02391730737048
RB,4.7744988864142535,6.436542953542694,7.953609662366182,,14.370962101475557
RBR,0,0.05190760446405398,0,,100.0
RBS,0,0.11679211004412147,0,,100.0
RP,0,1.5312743316895925,1.900905846829536,,50.86244143667857
TO,10.161469933184856,0,0,,100.0
UH,0.19487750556792874,0,0.034312379906670326,,78.61971325708058
VB,0.48719376391982183,0.3503763301323644,8.063409278067526,,85.89551890941569
VBD,9.437639198218264,2.2579807941863486,12.88086741696404,,38.19693936453534
VBG,1.3502227171492205,2.167142486374254,4.00082349711776,,31.27228168636325
VBN,0.5567928730512249,0.9473137814689851,2.4636288772989294,,43.971409835149615
VBP,0.15311804008908686,0.10381520892810796,2.8547900082349713,,87.62532799200227
VBZ,2.2689309576837418,0.4671684401764859,0.45978589074938236,,56.4934266856137
WDT,0,0.05190760446405398,0.34312379906670326,,81.0922439988332
WP,1.9070155902004455,0,0.418611034861378,,74.64592762429345
WP$,0,0.03893070334804049,0,,100.0
WRB,2.839643652561247,0,0.01372495196266813,,99.27936084850653

Focus,44.70847019321153,43.64915643554426,29.18895036286019

Adjective,1.2388641425389755,17.32416298987802,2.319516881690914,,74.57481580356232
Adverb,7.6141425389755,6.605242668050869,7.96733461432885,,5.518255215865758
Conjunction,14.741091314031179,0,0.5352731265440571,,94.7926872605169
Determiner,1.266703786191537,0.35037633013236436,19.606093878671423,,88.64977974259503
GrammarOther,0,1.5312743316895925,5.091957178149876,,68.32015876137554
Noun,5.888084632516703,58.40903192317675,8.468295360966238,,70.47242496091384
Other,0.19487750556792874,0.9343368803529718,0.9332967334614329,,35.82719353340058
Preposition,50.737750556792875,1.284713210485336,0.19214932747735383,,95.77447454476673
Pronoun,1.9070155902004455,3.9839086426161434,19.352182267362064,,65.38425372930571
Verb,14.25389755011136,6.2937970412665445,30.723304968432615,,42.090356337799115

Focus,49.80207301979001,58.49319321385885,34.389260145913426

