Class,to,you,CLASS75,CLASS2386,CLASS2407,CLASS2473,CLASS2500,CLASS2550,CLASS2561,CLASS2570,CLASS2572,CLASS2576,CLASS2581,CLASS2583,CLASS2585,CLASS2591,CLASS2595,CLASS2596,CLASS2597,CLASS2598,CLASS2599,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2608,CLASS2611,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2619,CLASS2620,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,,Focus
NN,0,0,0.2285714285714286,8.505747126436782,0,0,0,61.524500907441016,54.64362850971922,2.9978586723768736,0.3731343283582089,22.38442822384428,1.1002444987775062,1.6348773841961852,1.098901098901099,9.00562851782364,7.339449541284404,0.4608294930875576,7.361963190184049,0.6915629322268326,57.43589743589743,48.083242059145675,3.893805309734513,9.375,0,0.3676470588235294,0,6.740196078431373,58.2089552238806,10.393873085339168,0.4639175257731959,3.3175355450236967,5.493387589013224,7.173601147776183,0,59.2741935483871,15.314494074749316,16.741071428571427,4.391052195526098,28.847481021394067,,24.21072007207244
NNP,0,0,0,88.96551724137932,0,0,0.7476635514018692,3.0852994555353903,1.079913606911447,0,0.3731343283582089,45.742092457420924,0,0,1.7582417582417582,5.440900562851782,10.321100917431194,0,3.885480572597137,0,5.128205128205128,4.271631982475356,0.5309734513274336,0.8413461538461539,0,0.3676470588235294,0,26.47058823529412,1.9900497512437811,0.6564551422319475,0,0.2843601895734597,0.40691759918616477,0.5738880918220948,0,2.0161290322580645,2.643573381950775,0.4464285714285714,0.4971002485501243,40.37267080745342,,42.70787207135952
NNPS,0,0,0,0,0,0,0,0,0,0,0,0.48661800486618007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2188183807439825,0,0,0,0,0,0,0,0,0,0.13802622498274672,,64.20552596774056
NNS,0,0,0,0,0,0,0.3738317757009346,13.248638838475499,2.375809935205184,0,0,9.48905109489051,0,11.444141689373296,0.43956043956043955,12.94559099437148,0.9174311926605505,0,0,0,23.076923076923077,5.476451259583789,0.35398230088495575,0.4807692307692308,0,1.2254901960784315,0,0.7352941176470588,12.106135986733001,4.3763676148796495,0.15463917525773196,0.8530805687203791,0.9155645981688708,1.291248206599713,0,20.967741935483872,5.195989061075661,1.0044642857142858,0,7.936507936507936,,27.22117172802216
PRP,0,100.0,0,0,0,0,81.49532710280374,0,0,0,0,0,97.06601466992664,28.882833787465938,0,0.7504690431519699,0,0,0,73.16735822959889,0,0,0,0,0,0,0,0,0,0,0,0,0.8138351983723295,0,0,0,21.1485870556062,0,0,0,,42.48878830664576
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.24431818181817,0,0,0,0,0.8530805687203791,0,0,0,0,0,0,0,0,,98.9523956251274
RB,0,0,0,0,0,0,0,2.35934664246824,1.2958963282937366,0.8565310492505354,1.8656716417910446,2.4330900243309004,0,2.452316076294278,42.417582417582416,9.75609756097561,44.8394495412844,0,0.6134969325153374,0.2766251728907331,0.5128205128205128,11.938663745892661,26.902654867256636,0.8413461538461539,5.681818181818182,0.3676470588235294,0,9.926470588235293,1.3266998341625207,2.8446389496717726,0,43.22274881516588,0,14.921090387374461,0,1.747311827956989,4.284412032816773,17.299107142857142,9.52775476387738,0.13802622498274672,,29.439225433908923
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2869440459110474,0,0,0.18231540565177756,0,0,0,,71.60123146031229
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4925373134328357,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,25.48596112311015,0,0,0,0,0,0,0,8.486238532110093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.478128179043743,0,0,0,9.115770282588878,0,0,0,,54.883986884085424
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573394495412844,0,0,0,0,0,0,0,0,0,0,1.715686274509804,0,0,0,0,0,0,0,0,0,0,0,0,,78.4143709578036
VB,0,0,0,0,0.35842293906810035,0,0,0.7259528130671506,1.511879049676026,0.4282655246252677,0,0,0,49.04632152588556,3.7362637362637363,4.127579737335835,0.573394495412844,0,41.513292433537835,0,1.282051282051282,0,10.973451327433628,72.11538461538461,0,0.3676470588235294,0,0.6127450980392157,0.4975124378109453,8.86214442013129,0,0.37914691943127965,1.017293997965412,2.4390243902439024,0.18709073900841908,0,0,0.33482142857142855,0,0,,46.60015260758589
