Class,CLASS2639,CLASS2650,CLASS2653,CLASS2654,CLASS2656,CLASS2657,CLASS2658,CLASS2659,,Focus
CC,0,0,0,1.6049382716049383,0,25.041380941120835,0,0,,93.30706876307055
CD,0,0.49504950495049505,0,1.440329218106996,0,0,0.2076603599446239,2.4007386888273317,,55.405295264642604
DT,0.7433102081268582,0.35753575357535755,0.5882352941176471,1.0699588477366255,0,2.4119177110428,0,62.880886426592795,,91.37224753731485
EX,0,0,2.980392156862745,0,0,0,0,0,,100.0
FW,0,0,0,0,0.05709391949757351,0,0,0,,100.0
IN,84.29137760158572,0.08250825082508251,0.0784313725490196,1.0493827160493827,0.19982871824150727,25.419720974225584,4.476234425473004,0.20775623268698062,,72.07637559721437
JJ,2.6263627353815657,11.716171617161717,0,19.074074074074073,0.5423922352269483,0.14187751241428234,2.3765574526995845,1.7313019390581719,,51.168668535883164
JJR,0,0.13751375137513752,0.0784313725490196,1.4609053497942388,0,0,0.6229810798338717,0,,63.841123221169596
JJS,0,0.11001100110011,0,0.6584362139917695,0,0.04729250413809411,0,0.23084025854108958,,61.64846950341117
MD,0,0,0,0,9.705966314587497,0,1.1305952930318413,0,,88.67965082534623
NN,0.29732408325074333,30.390539053905393,1.7647058823529411,36.76954732510288,0.827861832714816,1.678883896902341,7.268112598061836,4.639889196675901,,49.21070866206121
NNP,0.5450941526263627,14.521452145214523,1.7647058823529411,17.48971193415638,0.2569226377390808,4.516434145187988,0.899861559760037,0.7386888273314866,,48.00786555205106
NNPS,0,0,0,0.12345679012345678,0,0,0,0,,100.0
NNS,0.44598612487611494,7.5357535753575355,0.0784313725490196,8.065843621399177,0.5709391949757351,0.425632537242847,2.1227503461006,1.8698060941828254,,43.79615911652534
PRP,0,0.11001100110011,83.33333333333334,0,0,0,2.6303645592985694,5.355493998153278,,90.07964806295837
PRP$,0,0,0,0.1851851851851852,0,0,0,13.365650969529085,,98.4474680442497
RB,1.9821605550049552,19.471947194719473,0.19607843137254902,1.1111111111111112,4.681701398801027,8.299834476235517,13.26718966312875,2.331486611265005,,37.66031514419021
RBR,0,0.055005500550055,0,0,0,0,0,0.04616805170821791,,65.79752132801701
RBS,0,0,0,0.1851851851851852,0,0,0,0,,100.0
RP,0,0,0,2.42798353909465,0,0,6.391324411628981,0,,73.75459852562844
TO,0,0,0,0,20.83928061661433,0,0,0,,100.0
UH,0,0.13751375137513752,0.5490196078431373,0,0,0,0,0,,79.61609493657063
VB,1.3875123885034688,0.4125412541254125,0,0.39094650205761317,0.17128175849272054,0.6384488058642706,26.349792339640054,0,,88.42069123440503
VBD,1.635282457879088,5.005500550055006,0,0.7818930041152263,46.98829574650299,14.77890754315441,4.591601292108907,0.13850415512465375,,61.233985005737956
VBG,2.725470763131814,3.52035203520352,0.0784313725490196,1.3786008230452675,2.6548672566371683,0.425632537242847,8.51407475772958,2.65466297322253,,33.82991427461744
VBN,0.9910802775024776,1.5951595159515952,0.27450980392156865,1.3786008230452675,1.0847844704538967,0,6.183664051684356,0.32317636195752536,,47.406694521977236
VBP,0.7928642220019821,0.24752475247524752,0,0.102880658436214,0.39965743648301455,0.07093875620714117,8.952468850946008,0,,82.84961245896608
VBZ,0.8919722497522299,0.6325632563256326,0,0.0411522633744856,5.0242649157864685,0,0.9460083064143978,0.13850415512465375,,62.28489199892101
WDT,0,0,1.9607843137254901,0,0,0,0.09229349330872173,0,,94.96671455423287
WP,0,0,2.392156862745098,0,0,3.2395365334594466,0,0,,66.44611506232454
WP$,0,0.08250825082508251,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,4.8238354220856,0.046146746654360866,0,,98.92150275506688

Focus,84.55288271721906,40.66580344378022,86.47521612985867,45.174153039286665,54.554285373321,41.257295570024574,32.49113126986692,64.3027435135719

Adjective,2.6263627353815657,11.963696369636965,0.0784313725490196,21.19341563786008,0.5423922352269483,0.18917001655237645,2.9995385325334563,1.9621421975992615,,51.22744683736966
Adverb,1.9821605550049552,19.52695269526953,0.19607843137254902,1.2962962962962963,4.681701398801027,13.123669898321118,13.313336409783112,2.3776546629732227,,36.14998308126908
Conjunction,0,0,0,1.6049382716049383,0,25.041380941120835,0,0,,93.30706876307055
Determiner,0.7433102081268582,0.35753575357535755,2.549019607843137,1.0699588477366255,0,2.4119177110428,0.09229349330872173,62.880886426592795,,88.31147453644309
GrammarOther,0,0,2.980392156862745,2.42798353909465,9.705966314587497,0,7.521919704660822,0,,47.58299689042328
Noun,1.288404360753221,52.44774477447746,3.607843137254902,62.44855967078188,1.655723665429632,6.620950579333176,10.290724503922474,7.248384118190213,,47.69457199806827
Other,0,0.6325632563256326,0.5490196078431373,1.440329218106996,0.05709391949757351,0,0.2076603599446239,2.4007386888273317,,45.621999799794324
Preposition,84.29137760158572,0.08250825082508251,0.0784313725490196,1.0493827160493827,21.039109334855837,25.419720974225584,4.476234425473004,0.20775623268698062,,59.99733552498857
Pronoun,0,0.1925192519251925,85.72549019607844,0.1851851851851852,0,3.2395365334594466,2.6303645592985694,18.721144967682363,,75.95334469218244
Verb,8.424182358771061,11.413641364136412,0.35294117647058826,4.0740740740740735,56.32315158435626,15.91392764246867,55.537609598523304,3.254847645429363,,42.00919977393494

Focus,83.55017878996513,54.2496950315591,88.10201087781199,63.90462490838823,59.86605749302486,34.639300755528424,54.48970987371327,62.06705256243359

