Class,CLASS2606,CLASS2628,CLASS2640,CLASS2642,CLASS2644,CLASS2648,CLASS2650,CLASS2653,CLASS2656,CLASS2657,,Focus
CC,0,0,0,0,0,0,0,0,0,14.571318723567858,,100.0
CD,0,0.17804154302670622,2.511707109408259,6.970509383378016,0,0,0,0.6932823332536457,0,0.07689350249903884,,67.4418827276256
DT,98.81687242798354,0,1.0217113665389528,48.45844504021448,0,0,0.6167763157894737,0,0,3.0501089324618738,,68.7180114453821
EX,0,0,0,0,0,0,3.125,0,0,0,,100.0
FW,0,0.11869436201780414,0,0,0,0,0,0,0,0,,100.0
IN,0,7.299703264094956,0.17028522775649213,0,10.778175313059034,0,0,0,0.9648127128263337,33.833141099577084,,63.88867236742822
JJ,0,2.492581602373887,10.217113665389528,0.3351206434316354,6.127012522361359,30.099228224917308,0,11.49892421706909,1.2485811577752552,1.4609765474817378,,46.588614921303666
JJR,0,0,2.6394210302256282,0,0,0,0,0.28687544824288785,0.8229284903518729,0.02563116749967961,,70.0985616883752
JJS,0,0,0.08514261387824607,0,0,0.11025358324145534,0,0.7650011953143677,0,0.15378700499807768,,67.17350109156087
MD,0,0,0,0,0.6708407871198568,0,0,0,10.61293984108967,0,,93.58094993056307
NN,0.4629629629629629,8.783382789317509,9.40825883354619,2.613941018766756,5.813953488372093,49.77949283351709,1.151315789473684,42.027253167583076,1.7877412031782065,3.3320517749583494,,45.35283451278966
NNP,0,1.543026706231454,21.668795232013625,0.20107238605898123,0.8944543828264758,1.4332965821389196,0,19.985656227587857,1.8161180476730987,2.832244008714597,,52.59636703138734
NNPS,0,0,0,0,0,0,0,0.14343772412144393,0,0,,100.0
NNS,0.15432098765432098,1.8397626112759646,3.9165602383993185,1.3404825737265416,1.073345259391771,11.190738699007717,0,10.18407841262252,0.5107832009080591,0.9099064462386262,,42.15500321169849
PRP,0,6.290801186943621,0.08514261387824607,0,5.724508050089446,0,87.3766447368421,0,0,1.4609765474817378,,85.4175284090759
PRP$,0,0,0,38.806970509383376,0,0,0,0.2151565861821659,0,0,,99.38887638291605
RB,0,1.8991097922848663,31.928480204342275,0,24.731663685152057,0.6615214994487321,0.08223684210526315,0.9084389194358117,4.284903518728718,5.89516852492631,,51.73487824034771
RBR,0,0.11869436201780414,0,0,0,0,0,0,0,0.02563116749967961,,82.18494531888904
RBS,0,0,0,0,0,0,0,0.2151565861821659,0,0,,100.0
RP,0,0,0,0,7.915921288014312,0,0,5.2115706430791295,0,0,,68.41209851320069
TO,0,0,0,0,0,0,0,0,0,9.355376137383058,,100.0
UH,0,0,0.21285653469561516,0,0,0,0,0,0,0.17941817249775727,,66.96874204643957
VB,0,46.468842729970326,0.7662835249042145,0.2680965147453083,1.0286225402504472,0,0,0.38250059765718386,8.76844494892168,1.0765090349865436,,78.07133981386978
VBD,0,6.053412462908011,5.61941251596424,0.20107238605898123,4.740608228980322,0.11025358324145534,0.1644736842105263,1.1714080803251254,45.20431328036322,9.457900807381776,,59.69557821096272
VBG,0.4629629629629629,3.9169139465875373,4.086845466155811,0.6702412868632708,14.490161001788909,1.3781697905181918,0.1644736842105263,1.1235955056179776,3.2065834279228147,1.9607843137254901,,42.51453584562249
VBN,0,2.314540059347181,2.0859940400170287,0,11.717352415026834,0.6063947078280044,0,0.8606263447286636,0.851305334846765,0.5767012687427913,,58.94004183980242
VBP,0,7.3590504451038585,0.21285653469561516,0,1.4758497316636852,0.33076074972436603,0,0.11953143676786994,7.0658342792281505,0.16660258874791745,,55.80972342091211
VBZ,0,0.8902077151335311,0.7237122179650916,0,1.073345259391771,0.7166482910694598,0,0.16734401147501793,4.6538024971623155,0.3332051774958349,,51.45712081994374
WDT,0,0,0.17028522775649213,0,0,0,2.055921052631579,0,0,0,,91.81620399823042
WP,0,0,0,0,0,0,2.5082236842105265,0,0,1.7557349737280532,,67.95194267793808
WP$,0,0,0,0,0,0,0,0,0.0851305334846765,0,,100.0
WRB,0,0,0,0,0,0,0,0,0.056753688989784334,2.6143790849673203,,97.66204631518612

Focus,98.89160501566488,48.7943507739535,40.445575177796385,61.305711280826166,32.89327291877944,60.10490023982378,89.69537559832413,49.44655569582058,50.768151265933824,39.58046218563275

