Class,CLASS2606,CLASS2628,CLASS2640,CLASS2642,CLASS2644,CLASS2648,CLASS2650,CLASS2653,CLASS2656,CLASS2657,,Focus
Adjective,0,2.492581602373887,12.941677309493402,0.3351206434316354,6.127012522361359,30.209481808158763,0,12.550800860626346,2.0715096481271282,1.640394719979495,,44.17792756878372
Adverb,0,2.0178041543026706,31.928480204342275,0,24.731663685152057,0.6615214994487321,0.08223684210526315,1.1235955056179776,4.341657207718502,8.53517877739331,,49.51425238523702
Conjunction,0,0,0,0,0,0,0,0,0,14.571318723567858,,100.0
Determiner,98.81687242798354,0,1.191996594295445,48.45844504021448,0,0,2.672697368421053,0,0,3.0501089324618738,,67.51500224843151
GrammarOther,0,0,0,0,8.58676207513417,0,3.125,5.2115706430791295,10.61293984108967,0,,46.486102291604595
Noun,0.6172839506172839,12.166172106824927,34.993614303959134,4.155495978552279,7.78175313059034,62.40352811466373,1.151315789473684,72.3404255319149,4.114642451759364,7.074202229911572,,40.68142657793725
Other,0,0.29673590504451036,2.724563644103874,6.970509383378016,0,0,0,0.6932823332536457,0,0.2563116749967961,,64.3923325134693
Preposition,0,7.299703264094956,0.17028522775649213,0,10.778175313059034,0,0,0,0.9648127128263337,43.18851723696014,,68.53840977758622
Pronoun,0,6.290801186943621,0.08514261387824607,38.806970509383376,5.724508050089446,0,89.88486842105262,0.2151565861821659,0.0851305334846765,3.216711521209791,,63.61751844256719
Verb,0.4629629629629629,67.00296735905044,13.495104299702001,1.1394101876675604,34.52593917710197,3.142227122381477,0.3289473684210526,3.8250059765718385,69.75028376844496,13.571703191080353,,41.45802406681198

Focus,98.80111366146377,66.50020756680973,43.91790961294919,57.07697592749532,36.52331592349864,68.16504236542949,91.66937654744778,73.79750788014172,74.06555735218416,42.96317422960148

