Class,CLASS2630,CLASS2647,CLASS2648,CLASS2649,CLASS2652,CLASS2653,CLASS2654,CLASS2655,CLASS2656,CLASS2657
RP,0,0,5.034213098729228,0,1.3345356176735799,5.042735042735043,0,2.97441998810232,0,0
TO,0,0,0,0,13.165013525698827,0,0,0,0,0
UH,0,0.5649717514124294,0,0,0,0,0,0,0,0
VB,0.37593984962406013,9.51531370799881,0.7820136852394917,1.9892884468247896,4.580703336339044,12.136752136752136,1.1235955056179776,4.402141582391433,3.8419717288872777,0.6646358349487677
VBD,10.676691729323307,8.325899494498959,2.981427174975562,2.9456771231828616,6.90712353471596,2.6495726495726495,17.09470304975923,9.785841760856632,32.40304458137006,2.076986984214899
VBG,3.1578947368421053,4.668450787986917,1.5640273704789833,3.6725325172149965,2.4526600541027954,1.8376068376068377,2.3675762439807384,3.5990481856038072,3.769481696266763,1.5785101080033233
VBN,0.15037593984962408,2.973535533749628,0.6842619745845552,1.6832440703902065,1.6230838593327321,1.153846153846154,0.9630818619582664,1.5466983938132064,3.3707865168539324,0.7200221545278316
VBP,0,3.6277133511745467,0.7331378299120235,1.1476664116296864,0.6311992786293958,0.9401709401709402,2.3675762439807384,3.0041641879833434,0.9061254077564335,0.7200221545278316
VBZ,0,1.0407374368123699,0.1466275659824047,0.26778882938026016,0.5410279531109108,0,4.85553772070626,1.1600237953599049,0.6161652772743748,0.3877042370534478
WDT,0,0,2.4437927663734116,0,0,0,0,0,0.14498006524102935,0
WP,0,0,0,0,0,0,0,0.0594883997620464,2.2109459949256975,3.738576571586818
WP$,0,0,0,0,0.05410279531109107,0,0,0,0,0
WRB,0,0.4162949747249479,0,0,0.03606853020739405,0,0,2.379535990481856,1.4860456687205508,1.910828025477707

Focus,39.91818267539899,26.490487471545222,49.71513675810203,34.004516726744484,26.998454597027283,36.53093000957934,39.150028879623896,28.13060299738719,35.96647878565465,51.02374468610432

Adjective,2.5563909774436095,5.352363960749331,4.887585532746823,4.169854628921194,9.125338142470694,4.999999999999999,2.929373996789727,11.629982153480071,5.58173251177963,2.7139296593741347
Adverb,12.857142857142856,13.589057389235801,1.270772238514174,12.968630451415455,8.746618575293057,3.6752136752136755,1.4446227929373998,6.811421772754313,4.023196810438565,7.67100526170036
Conjunction,0.30075187969924816,0.3270889087124591,42.66862170087977,0,0,0,9.991974317817014,0,0,0
Determiner,13.759398496240602,4.727921498661909,4.39882697947214,0.42081101759755163,0.2344454463480613,2.4786324786324787,0.6019261637239166,18.828078524687687,2.86335628851033,48.01993907504846
GrammarOther,0,2.6761819803746656,9.13978494623656,0.9946442234123948,3.1199278629395852,6.965811965811966,0,3.420582986317668,3.8419717288872777,0
Noun,19.398496240601503,27.029438001784122,3.812316715542522,25.172149961744456,34.04869251577998,15.341880341880342,6.460674157303371,19.631171921475314,24.75534613990576,13.957352533924121
Other,0,1.2786202795123403,0,5.087987758224942,0,0,1.6452648475120384,0.0594883997620464,0.10873504893077202,0
Preposition,32.857142857142854,2.527505203687184,20.527859237536656,8.990053557765876,18.611361587015328,12.008547008547009,32.102728731942214,10.797144556811421,3.334541500543675,0.7477153143173636
Pronoun,2.330827067669173,7.404103479036575,0,22.87681713848508,5.247971145175835,34.401709401709404,15.008025682182986,0.6246281975014872,8.118883653497644,18.582110218775963
Verb,14.360902255639097,30.151650312221232,6.8914956011730215,11.7061973986228,16.735798016230838,18.717948717948715,28.77207062600321,23.497917906008325,44.90757520840885,6.147881473276101

Focus,34.871706584576025,35.789010514643344,44.42962794264056,30.909693411379997,35.86090062785187,34.390039879439726,37.807068513879784,29.14118307549635,46.17573757264059,48.100632606466064

