Class,CLASS2652,CLASS2655,CLASS2656,CLASS2657,CLASS2660,CLASS2661
CC,30.025517436915226,0,0,0,0,1.1126961483594866
CD,0,0,0.2407060711420166,0.05804953560371517,0.47713063507732806,2.282453637660485
DT,2.891976183725546,5.025380710659898,0.4011767852366943,0,0.3784139519578809,36.84736091298145
EX,0,0,2.032629045199251,0,0,0
FW,0,0,0,0,0.03290556103981573,0
IN,14.658349872412815,53.1979695431472,7.515378443434074,0.21284829721362228,0.14807502467917077,1.825962910128388
JJ,0.1701162461015027,1.5736040609137056,2.2733351163412676,3.4636222910216716,17.275419545903258,3.238231098430813
JJR,0.05670541536716756,0,0,0.29024767801857587,1.4149391247120764,0.028530670470756064
JJS,0.05670541536716756,0,0,0,0.5923000987166831,0.14265335235378032
MD,0,0,0,7.527089783281733,0,0
NN,3.0337397221434648,2.0050761421319794,1.5244717838994384,3.1733746130030958,44.94899638038829,5.991440798858773
NNP,6.464417351857102,0.3299492385786802,10.885263439422307,0.5804953560371517,14.18229680816058,2.353780313837375
NNPS,0,0,0,0.03869969040247678,0.06581112207963145,0
NNS,0.4536433229373405,0.532994923857868,0.1337255950788981,0.9287925696594427,9.295820993747943,3.3238231098430813
PRP,0,0,56.83337790853169,0.15479876160990713,0,4.878744650499287
PRP$,0,0,0,0,0.14807502467917077,8.25962910128388
RB,10.12191664303941,1.6751269035532996,5.937416421503076,11.16486068111455,3.5867061533399145,7.960057061340942
RBR,0,0,0,0.03869969040247678,0,0.028530670470756064
RBS,0,0,0,0,0.14807502467917077,0
RP,0,10.025380710659897,0,0,0,0
TO,0,18.527918781725887,0,0,0,0
UH,0.396937907570173,0,0,0,0,0.07132667617689016
VB,0.5670541536716757,0.5583756345177665,0.1337255950788981,5.727554179566564,0.3290556103981573,12.467902995720399
VBD,17.46526793308761,1.1421319796954315,0,35.44891640866873,0.9378084896347483,2.5534950071326676
VBG,0.5103487383045081,3.4771573604060912,0.05349023803155924,7.565789473684211,1.1187890753537348,3.295292439372325
VBN,0.1984689537850865,0.9644670050761422,0.05349023803155924,5.8049535603715166,0.6910167818361304,1.1840228245363766
VBP,0.08505812305075135,0.4568527918781726,0,7.507739938080496,0.08226390259953932,0.2995720399429387
VBZ,0,0.20304568527918782,0.10698047606311847,4.160216718266254,0.29615004935834155,0.2995720399429387
WDT,0,0,1.3372559507889812,0,0,0.05706134094151213
WP,3.8843209526509783,0,1.631452259962557,0,0,0
WP$,0,0,0,0,0,0.042796005706134094
WRB,5.783952367451092,0,0,0.03869969040247678,0,0

Focus,34.330936585509264,53.65316547970329,55.96351527629503,35.48416532181224,47.66214334747353,37.473601688871845

Adjective,0.28352707683583783,1.5736040609137056,2.2733351163412676,3.7538699690402475,19.28265876933202,3.40941512125535
Adverb,15.905869010490502,1.6751269035532996,5.937416421503076,11.242260061919506,3.734781178019085,7.988587731811698
Conjunction,30.025517436915226,0,0,0,0,1.1126961483594866
Determiner,2.891976183725546,5.025380710659898,1.7384327360256755,0,0.3784139519578809,36.90442225392296
GrammarOther,0,10.025380710659897,2.032629045199251,7.527089783281733,0,0
Noun,9.951800396937907,2.8680203045685273,12.543460818400643,4.721362229102167,68.49292530437644,11.66904422253923
Other,0.396937907570173,0,0.2407060711420166,0.05804953560371517,0.5100361961171438,2.353780313837375
Preposition,14.658349872412815,71.7258883248731,7.515378443434074,0.21284829721362228,0.14807502467917077,1.825962910128388
Pronoun,3.8843209526509783,0,58.464830168494245,0.15479876160990713,0.14807502467917077,13.1811697574893
Verb,18.82619790189963,6.802030456852791,0.34768654720513503,66.21517027863777,3.455083909180652,20.099857346647646

Focus,32.82370207521089,69.62405398975174,61.77380630591279,68.50115988991345,70.75126843824503,36.903842915024356

