Class,CLASS756,CLASS792,CLASS808,CLASS892,CLASS997,CLASS1085,CLASS1988,CLASS2063,CLASS2073,CLASS2207,CLASS2215,CLASS2220,CLASS2265,CLASS2268,CLASS2333,CLASS2353,CLASS2385,CLASS2387,CLASS2409,CLASS2421,CLASS2425,CLASS2428,CLASS2429,CLASS2434,CLASS2436,CLASS2437,CLASS2443,CLASS2449,CLASS2453,CLASS2454,CLASS2458,CLASS2460,CLASS2461,CLASS2466,CLASS2467,CLASS2468,CLASS2479,CLASS2480,CLASS2482,CLASS2483,CLASS2484,CLASS2488,CLASS2489,CLASS2491,CLASS2492,CLASS2493,CLASS2494,CLASS2499,CLASS2500,CLASS2501,CLASS2502,CLASS2503,CLASS2506,CLASS2507,CLASS2509,CLASS2512,CLASS2513,CLASS2514,CLASS2515,CLASS2516,CLASS2518,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2526,CLASS2527,CLASS2528,CLASS2530,CLASS2531,CLASS2532,CLASS2533,CLASS2535,CLASS2536,CLASS2537,CLASS2538,CLASS2539,CLASS2540,CLASS2544,CLASS2545,CLASS2546,CLASS2549,CLASS2550,CLASS2551,CLASS2552,CLASS2553,CLASS2554,CLASS2555,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2565,CLASS2566,CLASS2567
VBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342281879194631,0,6.130268199233716,0,0,0,0,0,0,0,0,1.7241379310344827,0,0,0,0,1.2345679012345678,4.736842105263158,0,1.2738853503184715,0,0.8928571428571428,0.6920415224913495,0,0,0,0,0,0,0,0,0,0,0,0,4.712041884816754,1.3888888888888888,0,0.16488046166529266,0,18.771331058020476,0.9868421052631579,0,0,0,0,0,1.1976047904191618,1.5,0.6756756756756757,0,0,0,2.666666666666667,0.6024096385542169,0,0,0,0,1.9867549668874174,2.9702970297029703,0.6472491909385114,0,0,8.979591836734693,0,0,1.4492753623188406,0,0,0,1.550387596899225,38.628158844765345,0.60790273556231,0.45662100456621,31.88976377952756,0,0,0,14.647887323943662,0,0,0,5.535055350553505
VBZ,0,0,0,0,0,0,0,0.3091190108191654,0,0,0,0,0.37174721189591076,0,2.0,0,0,0,1.9157088122605364,0,7.643312101910828,3.4482758620689653,3.1746031746031744,0,0,0,0,0,0,0,0,0,3.0864197530864197,0,0,0,0,0,0,0,0,54.773869346733676,1.1494252873563218,2.2388059701492535,0,0,0,0,0,0,0,3.1413612565445024,0,4.651162790697675,0.9892827699917559,0,0,0,2.803738317757009,0,0,1.4423076923076923,0,0,2.5,0.6756756756756757,1.098901098901099,0,0,1.3333333333333335,0,0.3597122302158274,0.6968641114982579,0,0,0.6622516556291391,0,0.9708737864077669,1.7921146953405016,0,0.8163265306122449,0.684931506849315,0,1.4492753623188406,0.8379888268156425,0,0,0,0.7220216606498195,0.60790273556231,1.82648401826484,0,0,0,3.7688442211055273,2.2535211267605635,0.9287925696594427,0,0,0
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.928571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.32530120481928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6968641114982579,0,0,0,0,0,21.863799283154123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9230769230769231,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3190436933223413,0,13.993174061433447,0,0,0,0,33.17307692307692,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Focus,98.91304347826087,95.47511312217196,96.99248120300751,99.0143543645941,95.94594594594594,98.19877675670543,82.67618634028744,97.1218858385672,91.54841483582973,70.52243336374856,84.71906312348145,87.35508773077594,94.87714251321854,93.93895972451082,65.58164667765196,76.43088363288535,86.03734983375489,67.18605569473785,83.13087368591948,68.69793268366836,28.280541686729627,36.37656702938327,51.830926562716485,56.02134495447449,52.81263573546337,61.559209435709825,28.705409888999533,51.469502353282316,57.46811683064001,50.007138098446966,61.45942984575321,57.38326852117124,30.145964066851306,30.664593596330324,97.05882352941177,44.28126075393029,58.95174842169916,81.18445376351201,43.691264023262846,0,36.664076380074334,53.486319220705404,45.11298145570951,48.222056878193165,51.80989558120073,39.536833746722934,40.19021791629157,71.8289560128196,73.333693707418,54.85304493298586,39.120402799503665,28.016809257708637,39.27180410714734,54.81996033561906,70.6550999199276,25.242202285458692,34.61733541170571,62.737479181303826,45.15092459506976,61.851634523195365,61.246533904696165,42.71246732770479,35.24088534642683,87.00550820358265,78.85271079677604,76.74416791252754,46.75498109781275,33.92332010101002,24.073968295828593,24.991850523572527,53.68968745477392,84.70612023361,34.536396010276036,85.52161120251236,40.3462984687752,53.23888249320539,45.99220385467796,88.04224814690633,26.51983758449174,76.65922545557919,38.29515087085053,50.15712529948322,45.9483332010955,34.5317037420257,35.45175863286058,40.56444713615288,43.59959265057694,32.58078342740999,46.67786119019881,29.880393164806218,34.602162065707645,43.87343609989233,75.93796907956516,38.797007356048894,37.679913760196854,27.29858770449896,36.691421174596584,43.49859550204913,43.56417529543685,26.45878333115887

Adjective,0,0,0,0,0,0,2.2058823529411766,0,0,0,0,0,0,0,6.666666666666667,0,0,4.191616766467066,1.532567049808429,1.477832512315271,7.0063694267515935,13.218390804597702,13.756613756613756,59.3984962406015,0,0,19.463087248322147,14.942528735632184,8.629441624365482,9.268292682926829,0,15.333333333333332,8.641975308641975,30.0,0,1.2738853503184715,10.555555555555555,0.5357142857142857,28.373702422145325,0,0,0,3.4482758620689653,2.9850746268656714,51.96506550218341,5.381165919282512,37.5886524822695,8.112874779541446,76.95852534562212,4.191616766467066,0,1.0471204188481675,3.2407407407407405,13.953488372093023,1.3190436933223413,21.55688622754491,5.1194539249146755,0,9.345794392523365,0,7.100591715976332,0.9615384615384616,1.6,1.1976047904191618,1.0,0.6756756756756757,6.593406593406594,23.618090452261306,13.618677042801558,8.88888888888889,6.2248995983935735,0,17.421602787456443,0.6896551724137931,2.4615384615384617,1.3245033112582782,2.4752475247524752,1.2944983818770228,1.4336917562724014,0.2958579881656805,0.8163265306122449,5.136986301369863,1.8604651162790697,15.072463768115941,11.452513966480446,5.825242718446602,8.517350157728707,17.441860465116278,0.7220216606498195,6.382978723404255,1.36986301369863,0.7874015748031495,5.230769230769231,0.6872852233676976,33.165829145728644,5.633802816901409,0,4.615384615384616,3.87409200968523,21.033210332103323
Adverb,0,0,0,0.12070006035003018,97.97297297297297,0,0,0,0,4.37956204379562,88.4393063583815,0,0,0,1.3333333333333335,0,0,70.65868263473054,0,71.92118226600985,15.286624203821656,8.045977011494253,2.1164021164021163,3.007518796992481,0,14.655172413793101,19.463087248322147,0,1.015228426395939,0.975609756097561,4.522613065326634,9.333333333333334,22.22222222222222,3.1578947368421053,0,0,0,0.35714285714285715,4.1522491349480966,0,0,4.522613065326634,1.7241379310344827,11.194029850746269,27.074235807860266,4.484304932735426,1.4184397163120568,0,2.3041474654377883,1.1976047904191618,39.71631205673759,6.282722513089005,16.666666666666664,3.488372093023256,5.85325638911789,8.383233532934131,48.122866894197955,19.078947368421055,2.336448598130841,0,0.8875739644970414,35.57692307692307,59.6,1.7964071856287425,0,0.6756756756756757,1.6483516483516485,6.532663316582915,3.501945525291829,7.111111111111111,12.650602409638553,0.539568345323741,6.620209059233449,1.0344827586206897,8.923076923076923,0,5.445544554455446,0,11.11111111111111,9.467455621301776,19.591836734693878,2.73972602739726,40.0,2.898550724637681,18.994413407821227,8.414239482200646,1.8927444794952681,2.3255813953488373,2.527075812274368,3.343465045592705,2.054794520547945,5.511811023622047,1.0769230769230769,1.3745704467353952,4.522613065326634,12.676056338028168,2.786377708978328,1.5384615384615385,0,23.616236162361623
Conjunction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.97032151690024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.622516556291394,0,0,0,0.591715976331361,0,0,0,0,0,0,0,0,0,0,0,0,0,30.584192439862544,0,0,0,0,0,0
Determiner,0,0,0,99.15509957754979,0,0,0,97.83616692426584,4.924242424242424,8.02919708029197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8391959798995,0,0,0,0,9.554140127388536,0,8.928571428571429,0,0,37.41935483870968,0,0,0,0,0,0,0,0,54.49101796407185,0,0,0,0,0,13.77245508982036,0,0,0,63.32179930795848,0,32.21153846153847,0,0,0,0,0,0,0,0,0,0,0,0,1.2307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.158054711246201,0,3.543307086614173,0,0,0,0,0,0,0,0
GrammarOther,0,0,0,0,0,0,86.76470588235294,0,0,75.18248175182481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.029411764705882,0,0,0,0,48.78048780487805,0,0,0,0,0,48.40764331210191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.60553633217993,0,0,0,0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.289940828402367,35.51020408163265,0,0,0,0,0,0,0,0,0,0,0,0,24.054982817869416,0,0,0,0,6.2953995157385,0
Noun,0,0.904977375565611,1.5037593984962405,0.24140012070006037,2.027027027027027,0.9459459459459459,9.558823529411764,0,0,4.37956204379562,6.9364161849710975,3.3259423503325944,1.3011152416356877,0.35398230088495575,10.000000000000002,1.2048192771084338,1.006711409395973,7.784431137724551,1.532567049808429,0,12.738853503184714,66.0919540229885,60.317460317460316,30.82706766917293,2.941176470588235,14.655172413793103,38.25503355704698,72.41379310344828,8.629441624365484,31.707317073170728,0,64.66666666666667,41.358024691358025,7.368421052631579,0,5.095541401273886,72.22222222222223,4.999999999999999,51.903114186851205,0,10.322580645161292,3.015075376884422,7.471264367816093,37.3134328358209,8.733624454148472,50.22421524663677,31.205673758865245,4.93827160493827,7.373271889400921,1.7964071856287425,57.4468085106383,18.848167539267017,65.74074074074075,61.04651162790698,2.720527617477329,45.50898203592814,8.191126279863482,1.3157894736842104,74.76635514018692,2.0761245674740487,78.10650887573965,27.403846153846153,12.4,5.389221556886228,2.0,11.486486486486488,4.395604395604396,56.78391959798995,49.80544747081712,29.333333333333332,7.83132530120482,1.4388489208633093,62.02090592334494,0.6896551724137931,81.53846153846155,7.9470198675496695,74.75247524752476,0.6472491909385114,26.881720430107528,4.881656804733729,1.6326530612244898,83.56164383561644,17.674418604651162,62.028985507246375,55.307262569832396,50.485436893203875,71.29337539432177,46.51162790697674,7.581227436823104,45.2887537993921,23.74429223744292,4.724409448818897,85.69230769230768,7.560137457044673,46.231155778894475,4.225352112676056,11.145510835913313,4.615384615384615,23.728813559322035,30.258302583025827
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.33333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1065989847715745,0,0,0,0,0,0,0,16.11111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0050251256281406,3.501945525291829,1.3333333333333335,0,0,0,0,0,0,0,0,3.9426523297491043,0,0,0,0,0,0,0,0,15.891472868217054,0,0,0,3.543307086614173,0,0,0,0,0,0,0,0
Preposition,0,96.38009049773756,0,0,0,98.64864864864865,0,0,0,0,0,0,95.72490706319702,0,0,0,88.59060402684564,0,0,20.19704433497537,0,0,0,0,0,0,0,2.2988505747126435,0,0,0,0,0,5.263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,5.467372134038801,0,0,0,0,0,0,3.0502885408079146,0,0,64.80263157894737,0,5.88235294117647,1.4792899408284024,0,15.6,0,1.5,0,0,0,0,0,56.42570281124498,86.15107913669064,0,87.24137931034483,0,10.596026490066226,0,89.32038834951457,0.7168458781362007,0,0,0,0,0,0,0.9708737864077669,0,0.7751937984496124,0,0,26.94063926940639,38.188976377952756,0.7692307692307693,0,1.507537688442211,3.3802816901408446,1.238390092879257,26.153846153846157,0.9685230024213075,2.5830258302583027
Pronoun,99.45652173913044,0,98.49624060150376,0,0,0,0,0,94.31818181818183,0,0,89.80044345898004,0,95.929203539823,0,81.32530120481928,0,0,0,0,0,0,0,0,0,0,0,0,61.42131979695431,0,26.633165829145728,0,0,4.2105263157894735,0,0,0,0,0,100.0,20.0,31.65829145728643,33.90804597701149,0,0,0,0,0,0,0,0,23.036649214659686,3.2407407407407405,0,0,0,0,0,0,0,0,0,0,0,0,0,46.15384615384615,0,0,0,0,0,0.6968641114982579,0,0,0,0,0,22.580645161290324,78.2544378698225,0,0,33.95348837209302,0,0,5.501618122977346,0,4.263565891472868,0,0,0,0,0,3.0927835051546393,0,0,32.19814241486068,0.9230769230769231,0,0
Verb,0.5434782608695652,1.809954751131222,0,0.24140012070006037,0,0.40540540540540543,0,2.163833075734158,0.7575757575757576,8.02919708029197,3.4682080924855487,1.1086474501108647,2.973977695167286,3.7168141592920354,12.666666666666668,1.2048192771084338,2.0134228187919465,13.772455089820358,96.93486590038313,6.403940886699507,57.32484076433121,8.045977011494251,20.634920634920633,3.007518796992481,84.55882352941175,69.82758620689656,18.79194630872483,10.344827586206895,13.19796954314721,6.341463414634147,1.0050251256281406,6.666666666666668,21.604938271604937,47.89473684210527,100.0,26.114649681528665,1.1111111111111112,84.4642857142857,9.688581314878892,0,9.67741935483871,60.80402010050252,53.44827586206897,48.50746268656715,7.4235807860262,38.11659192825112,24.113475177304966,77.77777777777779,8.755760368663594,34.13173652694611,1.4184397163120568,46.073298429319365,8.796296296296296,13.953488372093023,14.509480626545752,7.18562874251497,37.883959044368595,3.6184210526315788,8.411214953271028,3.1141868512110724,7.100591715976332,2.8846153846153846,10.8,91.61676646706586,12.5,85.81081081081082,35.714285714285715,3.015075376884422,19.45525291828794,50.66666666666667,15.461847389558233,9.172661870503598,10.452961672473867,6.206896551724139,2.769230769230769,11.920529801324504,16.336633663366335,8.737864077669903,17.204301075268816,1.183431952662722,19.591836734693878,7.876712328767123,3.7209302325581395,16.52173913043478,11.452513966480447,24.271844660194176,13.249211356466876,12.015503875968992,88.44765342960288,27.05167173252279,36.757990867579906,41.338582677165356,5.538461538461538,3.0927835051546393,12.311557788944725,72.3943661971831,49.22600619195046,61.53846153846153,20.09685230024213,21.771217712177123

Focus,99.39760272688318,96.97497356455753,98.34051219534142,99.32833093546036,97.76850362935676,98.50332790475159,87.26487289077181,97.61942960071724,93.81270647156954,73.17940436779494,88.61337727255035,94.83793010875222,95.29950026953665,95.54726638771714,67.6081666482006,96.82103851354424,96.36484785215258,71.95592528107889,96.61530676203309,71.67652262634434,61.231040513513655,67.77041499000114,62.72950073245013,65.44494147436708,84.98001780217383,69.905568374866,44.65618894350957,71.33128321351028,59.13481667668245,55.04468980065257,69.38576653371268,66.12595797600342,48.52193596959004,52.145302672379366,100.0,56.208771911570146,71.40083725729357,83.95691672878749,58.456781552668026,100.0,50.96294950473552,64.3680475153435,58.472755516155715,56.56346662633223,57.09243429670548,59.37419353243779,50.97093725344567,79.25473685705067,79.29199516862032,62.61101252087278,66.84111881459253,51.18908370592269,66.02436103446486,65.24228925404215,70.76036909563578,47.88341414667796,56.738506828111404,73.0588870395728,77.41656156272646,64.23830881564234,81.11768071758462,48.57172868740616,58.390257939336266,90.84380332857484,81.66170118097263,86.3013698630137,56.63293410558142,63.55832737737514,55.76579846694072,55.34331134141761,55.665764166610565,87.75374663374114,62.840422219184845,90.22461095188086,82.85416956965996,62.45205267752537,74.60265112953797,88.5473928414972,39.07498547430892,77.38141870434147,51.795732027120266,82.84159314476544,50.1338100464409,63.907544659096736,56.73183324030082,53.66517942438892,73.91136855883441,46.355629658561085,88.20753556051908,51.20131588666293,49.504218323794646,51.689850795127754,86.02342886586636,49.54549189451918,53.45072747726222,71.8956670174594,56.285880107808175,63.00738522980007,51.474869774042766,39.89028314058438

