Class,CLASS2661,CLASS2665,,Focus
CC,1.1126961483594866,4.716729021913416,,61.82484152867528
CD,2.282453637660485,0.18261179404952788,,85.18402053751164
DT,36.84736091298145,1.5054338143595225,,92.14954829205016
EX,0,0.33849991092107606,,100.0
FW,0,0.008907892392659897,,100.0
IN,1.825962910128388,12.978799216105468,,75.33276259950435
JJ,3.238231098430813,6.155353643327988,,31.054412400510174
JJR,0.028530670470756064,0.4587564582219847,,88.28999627086554
JJS,0.14265335235378032,0.16924995546053803,,8.527194948054573
MD,0,1.73258507037235,,100.0
NN,5.991440798858773,13.98093711027971,,40.0027295085644
NNP,2.353780313837375,6.85907714234812,,48.902274347964614
NNPS,0,0.026723677177979688,,100.0
NNS,3.3238231098430813,2.917334758596116,,6.5130278678342215
PRP,4.878744650499287,9.50026723677178,,32.140752247125334
PRP$,8.25962910128388,0.04008551576696954,,99.03405074471792
RB,7.960057061340942,6.413682522715125,,10.758331397217608
RBR,0.028530670470756064,0.008907892392659897,,52.413278120969395
RBS,0,0.04008551576696954,,100.0
RP,0,1.7593087475503297,,100.0
TO,0,3.2513807233208625,,100.0
UH,0.07132667617689016,0.062355246748619274,,6.711026615969792
VB,12.467902995720399,1.616782469267771,,77.04197976892303
VBD,2.5534950071326676,11.357562800641368,,63.28826977189791
VBG,3.295292439372325,2.743630856939248,,9.135098350562117
VBN,1.1840228245363766,1.73258507037235,,18.80822742040685
VBP,0.2995720399429387,1.8439337252805985,,72.04840361960048
VBZ,0.2995720399429387,1.0912168181008373,,56.92055796818737
WDT,0.05706134094151213,0.2226973098164974,,59.20673710221026
WP,0,0.8818813468733298,,100.0
WP$,0.042796005706134094,0,,100.0
WRB,0,0.9175129164439694,,100.0

Focus,39.892322665848155,24.62473835474063

Adjective,3.40941512125535,6.783360057010511,,33.10133772938946
Adverb,7.988587731811698,7.380188847318724,,3.9586682867076575
Conjunction,1.1126961483594866,4.716729021913416,,61.82484152867528
Determiner,36.90442225392296,1.72813112417602,,91.05349777291343
GrammarOther,0,3.830393728843756,,100.0
Noun,11.66904422253923,23.784072688401928,,34.17196997458889
Other,2.353780313837375,0.25387493319080706,,80.52848945579476
Preposition,1.825962910128388,16.230179939426332,,79.77460717560265
Pronoun,13.1811697574893,10.42223409941208,,11.688719452514572
Verb,20.099857346647646,20.385711740602172,,0.7060649026302036

Focus,36.903842915024356,26.611015762320818

