Class,to,CLASS70,CLASS2398,CLASS2474,CLASS2552,CLASS2564,CLASS2571,CLASS2573,CLASS2585,CLASS2586,CLASS2595,CLASS2596,CLASS2597,CLASS2604,CLASS2605,CLASS2606,CLASS2607,CLASS2608,CLASS2609,CLASS2610,CLASS2616,CLASS2618,CLASS2622,CLASS2623,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,,Focus
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.162031438935912,0.29282576866764276,0,0,0,0,0,0,0,4.677914110429448,0,0,0,,70.6003958860474
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34802784222737815,0,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.333736396614269,0,0,0,0,0,0,0,0,0,0.14825796886582654,0,0,,98.78224164695384

Focus,100.0,100.0,100.0,100.0,96.70786039149645,57.799722639721054,43.661441563170015,97.89249675925552,65.53639134861965,56.85128173774567,69.54748068709439,33.90843145586933,67.17647072005636,41.17869642882454,83.10538207205568,62.76753490363384,64.76104815516533,98.40179021489735,87.90504607673749,65.61598878602686,38.351839568302715,91.36174076729012,47.43331771787667,37.215644063682305,47.46023683292926,97.75658537779412,92.87319466749625,68.90668467368396,35.34395557576552,57.873307063405356,39.57820466346348,61.03144103071274,55.969656437533835

Adjective,0,0,0,0,0,8.384458077709612,5.091649694501019,0,59.82404692082112,0,11.90965092402464,6.609808102345416,6.6339066339066335,13.423645320197044,0.24509803921568626,0,13.147410358565736,0,0,31.053604436229204,4.2321644498186215,0.7320644216691069,2.9002320185614847,6.72645739910314,17.716747442110933,0,0,0.4660452729693742,13.026444662095983,0.15337423312883436,5.040770941438103,1.3389711064129668,6.732348111658456,,31.432664435326323
Adverb,0,0,0,0,0.576923076923077,4.9079754601226995,0.8146639511201629,0,22.58064516129032,0.6507592190889371,2.4640657084188913,7.889125799573561,1.1056511056511056,14.532019704433496,0.3676470588235294,0.4024144869215292,0,0,0,2.2181146025878005,45.46553808948005,0.5856515373352855,41.183294663573086,4.147982062780269,1.2385568120624662,0,0.43956043956043955,2.9960053262316912,23.016650342801178,0.15337423312883436,24.759080800593033,1.127554615926709,2.380952380952381,,32.98187805114239
Conjunction,0,99.77142857142857,0,0,0,0,0,0,0,0,0,0,0,0,1.3480392156862746,0,0,0,0,0,10.580411124546554,0,0,0,0,0,0,0,0,0,0,5.496828752642706,0,,85.26118772051198
Determiner,0,0,0,100.0,0,0,0,0,0,0,0,5.11727078891258,0,2.832512315270936,0,0,0,98.4400215169446,0,0,5.501813784764209,0,0.46403712296983757,26.681614349775785,0,0,0,0,0,4.984662576687117,0,0,0.7389162561576355,,56.70144170222271
GrammarOther,0,0,0,0,0,0,0,0,0,7.37527114967462,0,0,0,0,0,40.845070422535215,0,0,0,0,0,0,8.584686774941995,0,0,0,0,5.193075898801598,1.4691478942213516,5.828220858895705,19.421793921423276,0,9.688013136289,,46.57712139897938
Noun,0,0,0,0,0,72.18813905930472,38.4928716904277,2.0437956204379564,10.263929618768328,5.856832971800434,3.080082135523614,28.35820895522388,83.53808353808353,46.92118226600985,1.7156862745098038,8.853118712273641,81.47410358565737,0.9682625067240451,0,62.47689463955638,14.147521160822249,6.881405563689605,26.218097447795824,3.9237668161434973,71.02854065697362,1.137357830271216,0.989010989010989,6.324900133155793,9.50048971596474,32.74539877300614,3.3358042994810977,12.0507399577167,61.98686371100165,,22.565076878686025
Other,0,0,0,0,0,0,0,0,0,0,0,1.9189765458422177,0,0.24630541871921183,0.7352941176470588,0,0,0,0,0,0.8464328899637243,0,0.580046403712297,0,2.2078621432417878,0,0,0,0,0.6901840490797546,0,0.21141649048625794,10.919540229885058,,60.54180776462223
Preposition,100.0,0,100.0,0,0,0,0,0,0,0,67.5564681724846,0,0,11.69950738916256,9.436274509803921,48.49094567404427,0,0,0,0,7.0737605804111245,90.92240117130308,0,15.358744394618833,0,0,92.74725274725274,0.7323568575233023,0,0,0.2965159377316531,0.9866102889358703,0,,34.98265670654645
Pronoun,0,0,0,0,0,0,30.14256619144603,96.78832116788321,0,0,0,0.8528784648187633,0,0,0,0,0,0,98.22222222222221,0,8.162031438935912,0.29282576866764276,0.34802784222737815,0,0,70.16622922134734,0,0,0.7835455435847208,55.29141104294478,0.6671608598962194,7.470049330514447,0,,42.52288218174821
Verb,0,0,0,0,94.61538461538461,5.316973415132924,22.199592668024437,0,4.545454545454545,80.6941431670282,12.73100616016427,43.71002132196161,5.15970515970516,7.019704433497537,77.20588235294117,1.408450704225352,1.7928286852589643,0.591715976331361,0,1.6635859519408505,2.2370012091898426,0,17.053364269141532,41.92825112107623,3.5541195476575123,0.4374453193350831,5.604395604395605,83.02263648468708,49.069539666993144,0.15337423312883436,33.209785025945145,69.415081042988,5.0082101806239745,,25.337632034221574

Focus,100.0,100.0,100.0,100.0,99.32842548112978,77.95829920755233,48.4080836941897,97.72389360557709,62.002203316595526,84.19107983209919,67.59078102804995,49.3939603246955,85.5116199286302,46.930665529888046,83.68996301677012,58.69142443439153,83.86733262204925,98.27244157802151,100.0,67.80568811354549,42.70818985399481,90.75889900827973,46.07100759244308,45.381963240873745,73.5338345801108,97.57435545108541,92.33221072427716,82.65851949252247,51.755342013416424,59.52369481787463,45.115109326079924,68.73237785792521,61.0167051190009

