Class,CLASS2593,CLASS2601,CLASS2618,CLASS2620,CLASS2625,CLASS2627,CLASS2629,CLASS2631,CLASS2633,CLASS2634,CLASS2637,CLASS2638,CLASS2639,CLASS2640,CLASS2643,CLASS2645,CLASS2646,CLASS2647,CLASS2648,,Focus
RBR,0,0,0.24009603841536614,0,0,0,0,0,0,0.09456264775413711,0,0,0,0,0,0,0,0,0,,75.63278349843023
RBS,0,0,0,0,0,0,0,0,0.8302583025830259,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,23.53440951571793,10.885608856088561,0,0,0,0,0,0,0,0,0,0,,73.72215695797317
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.096774193548384,,100.0
UH,0,0,0,0,0,0,0,0,0,0.2364066193853428,0,0,0,0.7216494845360825,0,0,0,0,0,,77.94950395121522
VB,0.36319612590799033,0,1.3205282112845138,0.4,0,0.40290088638195,0.13114754098360656,0.5097706032285472,0.9225092250922509,0.9456264775413712,17.935142289874257,0,1.4184397163120568,0.8762886597938144,49.419279907084785,0.2640612622128334,0.19023462270133165,0,0.5161290322580645,,67.53249054695878
VBD,0,0.37267080745341613,7.923169267707082,0,0,0,67.01639344262294,4.4180118946474085,0.5535055350553505,7.423167848699763,1.8530774321641297,0.15600624024961,55.23049645390071,0,4.878048780487805,0.9770266701874836,39.061509194673434,0,2.129032258064516,,45.71485016870371
VBG,0.847457627118644,1.7391304347826086,18.24729891956783,0,0,0,12.19672131147541,3.7383177570093453,0.8302583025830259,7.612293144208038,1.6545334215751157,0.31201248049922,2.8368794326241136,0.7731958762886598,2.72938443670151,1.0298389226300502,0.31705770450221943,0.40149125322626905,6.0,,34.23529136590211
VBN,1.4527845036319613,0.8695652173913043,13.565426170468186,1.4000000000000001,0,0,2.6885245901639343,12.829226847918438,1.2915129151291513,1.938534278959811,0.5956320317670417,0.31201248049922,0,0,1.1033681765389083,0.7129654079746501,0,0,1.2903225806451613,,43.34631434831617
VBP,0,0,3.721488595438175,0,0,0,0,0.16992353440951571,0,0.2364066193853428,23.362011912640636,0,1.5070921985815602,0.15463917525773196,0.5226480836236934,0.18484288354898337,0,0,0.5161290322580645,,76.68568106466681
