Class,CLASS2659,CLASS2661,CLASS2662,CLASS2663,,Focus
CC,0,0,0.8733624454148471,14.46523698948231,,92.56394822749343
CD,0.041969781757134866,2.1939953810623556,0.660620311275333,0.08195601693757683,,67.59963444217867
DT,3.329602686066033,0.32992411745298583,29.81748964281715,0,,85.89216220913526
EX,0,0,0.8509685365580562,0,,100.0
FW,0,0.03299241174529858,0,0,,100.0
IN,2.6580861779518745,0,0.0447878177135819,38.90178937303647,,91.53303352340315
JJ,2.728035814213766,17.337512372154404,3.314298510805061,0.9151755224696081,,62.38556771465601
JJR,0.37772803581421377,0.16496205872649292,0.7389989922741014,0.027318672312525608,,47.370809031896016
JJS,0.16787912702853947,0.5608709996700759,0,0.027318672312525608,,68.40205779618061
MD,5.442081701175154,0,0,0,,100.0
NN,5.693900391717963,44.57274826789838,3.1799350576643155,2.267449801939626,,73.52117717082804
NNP,1.119194180190263,12.949521610029693,6.762960474750868,3.2236033328780223,,43.04355719680913
NNPS,0.02797985450475658,0.06598482349059716,0,0,,66.51255638445971
NNS,1.3850027979854505,10.359617288023754,1.3660284402642482,0.5327141100942494,,68.15812249220883
PRP,4.8405148293228875,0,23.83831597805397,0,,79.11246640430242
PRP$,0,0.14846585285384362,6.483036614040981,0,,97.03789704560218
RB,7.036933407946279,1.2867040580666447,11.308923972679432,5.559349815598962,,32.83420409435116
RBR,0.05595970900951316,0,0,0,,100.0
RBS,0,0.14846585285384362,0,0,,100.0
RP,0,1.9465522929726162,0.8285746277012652,2.7728452397213497,,44.00009060297153
TO,0,0,0,9.971315394071848,,100.0
UH,0,0,0.055984772141977376,0.1912307061876793,,72.99741478100131
VB,16.27028539451595,0.31342791158033656,0.31351472399507335,0.3688020762190958,,92.31106260488188
VBD,25.489647453833243,0.9072913229957109,2.564102564102564,8.509766425351728,,59.95440896996775
VBG,6.267487409065472,1.3526888815572418,2.2953756578210727,1.5298456495014343,,40.31859329694999
VBN,3.8332400671516504,0.9567799406136588,1.0637106706975703,0.6146701270318262,,46.06356458760622
VBP,5.679910464465585,0.14846585285384362,0.07837868099876834,0.17757137003141646,,91.1478101170119
VBZ,2.9378847229994407,0.3794127350709337,0.3247116784234688,0.054637344625051217,,73.03746777097557
WDT,0,0,0.6046355391333558,0,,100.0
WP,0,0,0.6830142201321241,1.8713290534080045,,69.10974601537261
WP$,0,0,0.03359086328518643,0,,100.0
WRB,0.02797985450475658,0,0,2.786504575877612,,98.67893428428872

Focus,32.455615772758975,50.91274136456815,39.4783633644818,44.403215145324566

Adjective,3.273642977056519,18.06334543055097,4.053297503079162,0.9698128670946593,,58.87758975181112
Adverb,7.120872971460549,1.4351699109204883,11.308923972679432,8.345854391476575,,29.33050637828762
Conjunction,0,0,0.8733624454148471,14.46523698948231,,92.56394822749343
Determiner,3.329602686066033,0.32992411745298583,30.422125181950506,0,,86.13298985884931
GrammarOther,5.442081701175154,1.9465522929726162,1.6795431642593215,2.7728452397213497,,29.030592051023874
Noun,8.226077224398434,67.94787198944242,11.30892397267943,6.023767244911897,,63.724028197060335
Other,0.041969781757134866,2.226987792807654,0.7166050834173104,0.2731867231252561,,60.284725425021215
Preposition,2.6580861779518745,0,0.0447878177135819,48.873104767108316,,93.13730728253012
Pronoun,4.8405148293228875,0.14846585285384362,31.037957675512263,1.8713290534080045,,76.55034397867429
Verb,60.478455512031346,4.058066644671725,6.639793976038518,11.25529299276055,,64.8939716292175

Focus,59.980970594482066,69.72901811931519,37.95249993840687,48.98630234802043

