Class,CLASS2577,CLASS2625,CLASS2626,CLASS2631,CLASS2633,CLASS2636,CLASS2638,CLASS2641,CLASS2642,CLASS2643,CLASS2645,CLASS2646,CLASS2647,CLASS2649,CLASS2650,CLASS2651,,Focus
CC,0,0,0,0,0,6.225059856344773,0,0,0,0,0,0,0,29.04552934722984,0,0,,83.06218110950923
CD,0,0,11.65644171779141,0.8241758241758242,0,0,0,0.2031144211238998,0,1.3689482470784642,0,0,0,0.24684585847504115,0,0.258732212160414,,79.42637075042849
DT,100.0,0,5.346187554776511,8.333333333333332,1.574803149606299,0,56.54664484451718,0,0,0,0,0.9733939000648929,0,0,1.0569852941176472,10.26304441569642,,59.60297266376708
EX,0,0,0,0,0,0,0,0,0,0,0,4.931862426995457,0,0,0,0,,100.0
FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09191176470588235,0,,100.0
IN,0,0,0,0,0.26246719160104987,82.04309656823622,0,0,0,0,0.3593429158110883,0,43.042850264805004,21.886999451453647,0,13.410952996981457,,56.00498587795718
JJ,0,0,5.433829973707274,3.571428571428571,5.4461942257217855,4.150039904229849,0,2.3019634394041977,13.192488262910798,13.48914858096828,0.6160164271047228,0,0.14443909484833894,0.7953922106417993,24.724264705882355,3.1047865459249677,,35.555629181532645
JJR,0,0,0.26292725679228746,0.18315018315018314,0,0,0,1.0155721056194988,0,0.5342237061769616,0,0,0,0,3.170955882352941,0,,62.59421703012153
JJS,0,0,0,0,0,0,0,0,0,1.0684474123539232,0,0,0,0.054854635216675815,0.1838235294117647,0.4312203536006899,,64.41442200606414
MD,0,0,0,0,0,0,0,20.040622884224778,0.7042253521126761,0,4.004106776180698,0,0,0,0,0,,81.33490507834384
NN,0,0,51.00788781770377,8.974358974358974,15.354330708661418,0.3192338387869114,0,3.1821259309410967,4.600938967136151,37.96327212020034,2.5667351129363447,0.9085009733939001,1.2518054886856043,3.236423477783873,45.26654411764706,7.158257869771453,,37.877222200451186
NNP,0,0.9623797025371827,1.3146362839614372,48.35164835164835,4.002624671916011,0.3192338387869114,0,1.1509817197020988,2.4413145539906105,27.41235392320534,0.4620123203285421,0,0.19258545979778527,3.4832693362589136,1.7003676470588234,0.8193186718413108,,56.81119544573955
NNPS,0,0,0,0,0.13123359580052493,0,0,0,0,0.1335559265442404,0,0,0,0,0,0,,68.31600774005248
NNS,0,0.17497812773403326,6.397896581945661,1.5567765567765568,7.874015748031496,0.39904229848363926,0,0.13540961408259986,0.6572769953051643,10.684474123539232,1.642710472279261,0,0,0.4114097641250686,9.145220588235293,3.837861147046141,,34.56225304858729
PRP,0,70.16622922134734,0,0,9.973753280839896,0,0,0,0.3755868544600939,0,0,85.85334198572355,0,0,3.860294117647059,4.570935748167313,,60.60055982879261
PRP$,0,0,0,0,0,0,42.225859247135844,0,0,0.3005008347245409,0,0,0,0,2.8952205882352944,0,,92.71277482615872
RB,0,0,1.2269938650306749,22.344322344322347,18.635170603674542,0.7980845969672785,0,12.186865267433989,33.990610328638496,1.1018363939899833,0.6160164271047228,0.12978585334198572,3.7072701011073663,9.105869445968185,1.4246323529411764,2.3717119448037947,,37.584290384493436
RBR,0,0,0,0,0.13123359580052493,0,0,0,0.09389671361502347,0,0,0,0,0,0,0,,69.37837431211432
RBS,0,0,0.7887817703768624,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,10.341805433829974,0,0,0,0,0,0,0,0,0,13.33654309099663,0,0,0,,68.93460180200722
TO,0,0,0,0,0,0,0,0,0,0,0,0,35.14684641309581,0,0,0,,100.0
UH,0,0,0,0.4578754578754579,0,0,0,0,0,0,0,0,0,0.38398244651673064,0,0,,68.61308828672632
