Class,CLASS2666,,Focus
CC,3.8592084719299438,,100
CD,0.6822347430588555,,100
DT,9.914466091915008,,100
EX,0.2579594053356866,,100
FW,0.006788405403570701,,100
IN,10.325164618831037,,100
JJ,5.461272147172629,,100
JJR,0.3563912836874618,,100
JJS,0.16292172968569685,,100
MD,1.3203448509945015,,100
NN,12.079967415654062,,100
NNP,5.787115606544023,,100
NNPS,0.020365216210712106,,100
NNS,3.014051999185391,,100
PRP,8.400651686918744,,100
PRP$,1.9957911886497863,,100
RB,6.781616998167131,,100
RBR,0.013576810807141402,,100
RBS,0.030547824316068155,,100
RP,1.3407100672052135,,100
TO,2.477767972303306,,100
UH,0.06448985133392166,,100
VB,4.198628742108479,,100
VBD,9.262779173172222,,100
VBG,2.874889688412192,,100
VBN,1.6020636752426856,,100
VBP,1.4764781752766276,,100
VBZ,0.9028579186749033,,100
WDT,0.18328694589640893,,100
WP,0.6720521349534994,,100
WP$,0.010182608105356053,,100
WRB,0.6992057565677823,,100

Focus,22.178170315460427

Adjective,5.980585160545787,,100
Adverb,7.524947389858122,,100
Conjunction,3.8592084719299438,,100
Determiner,10.097753037811417,,100
GrammarOther,2.919014323535402,,100
Noun,20.90150023759419,,100
Other,0.7535129997963479,,100
Preposition,12.802932591134343,,100
Pronoun,11.078677618627387,,100
Verb,20.31769737288711,,100

Focus,22.674469220653105

