Class,CLASS2642,CLASS2646,CLASS2648,CLASS2649,CLASS2651,CLASS2653,CLASS2654,CLASS2655,CLASS2656,CLASS2657
CC,0,0,0,0,0,0,0,0,37.82435129740519,0
CD,0,0,0,0.4904632152588556,3.4048198098607116,0,0.9777478084962913,0,0.19960079840319359,0.07132667617689016
DT,0,0,0,0,1.7024099049303558,0,0,0,0,67.61768901569187
EX,0,0,0,0,0,0,0,2.5016458196181697,0,0
FW,0,0.06004202942059442,0,0,0,0,0,0,0,0
IN,4.837791690381332,73.67157009906936,0.1718213058419244,0.4904632152588556,0.9064780013265532,0.16181229773462785,0,9.381171823568137,5.322687957418496,0
JJ,1.593625498007968,1.7712398679075352,1.331615120274914,1.7438692098092643,7.229714791067875,26.01132686084142,12.845583277140932,0.13166556945358787,0.7984031936127743,1.9020446980504042
JJR,0,0,0.816151202749141,0,1.392880831306655,0.4449838187702265,0.16857720836142953,0,0.0665335994677312,0.11887779362815026
JJS,0,0.06004202942059442,0,0,0,0.08090614886731393,1.1463250168577208,0,0,0.23775558725630053
MD,0,0,16.06529209621993,0,0.33163829316825116,0,0,0,0,0
NN,6.488332384746727,2.2515761032722907,2.8350515463917527,2.016348773841962,16.382931682511607,43.48705501618123,37.997302764666216,1.3824884792626728,4.224883566200932,3.6852116024726578
NNP,0.3414911781445646,0.570399279495647,0.25773195876288657,0.4359673024523161,11.23148352863144,2.2249190938511325,27.714093054619017,0.7570770243581304,7.884231536926148,0.4992867332382311
NNPS,0,0,0,0.10899182561307902,0,0,0.13486176668914363,0,0,0
NNS,0.796812749003984,0.6304413089162414,0.0859106529209622,1.7983651226158037,3.095290736237011,10.760517799352751,10.114632501685772,0.06583278472679394,0.4324683965402528,2.306229196386115
PRP,6.033010813887308,0,0,0,0.2210921954455008,0,0.06743088334457181,69.94733377221857,0,5.515929624346172
PRP$,0,0,0,0,0,0,0.30343897505057316,0,0,13.7660485021398
RB,12.17985202048947,3.5124587211047733,5.5841924398625435,1.0354223433242506,23.21468052177758,8.292880258899677,0.5394470667565745,0.6583278472679395,6.254158349966733,0.9272467902995721
RBR,0,0,0,0,0.08843687817820031,0,0,0,0,0
RBS,0,0,0,0,0,0,0.30343897505057316,0,0,0
RP,0,6.094265986190333,0,0,4.2449701525536145,0,0,0,0,0
TO,0,0,31.3573883161512,0,0,0,0,0,0,0
UH,0,0,0,0,0.1105460977227504,0,0,0,0.4657351962741184,0
VB,45.07683551508252,2.04142900030021,9.836769759450172,1.8528610354223434,1.3265531726730047,0.5258899676375405,0.33715441672285906,0,0.9314703925482368,0.07132667617689016
VBD,3.699487763232783,3.4824377063944763,11.383161512027492,72.58855585831063,6.787530400176873,0.48543689320388345,0.708024275118004,0.32916392363396973,19.926813040585493,0.0475511174512601
VBG,1.593625498007968,2.942059441609126,0.30068728522336774,4.250681198910082,9.506964404156532,1.779935275080906,1.6183412002697235,0.06583278472679394,0.8982035928143712,2.0209224916785544
VBN,7.626636311895275,0.9306514560192134,0.2147766323024055,1.7983651226158037,4.2449701525536145,1.6585760517799353,0.7754551584625758,0,0.0665335994677312,0.26153114598193056
VBP,7.398975526465566,0.09006304413089163,11.168384879725087,0,0.6190581472474022,0.08090614886731393,0.10114632501685772,0.09874917709019092,0.1330671989354624,0.0475511174512601
VBZ,0.22766078542970974,0.6904833383368358,0,9.536784741144414,0.862259562237453,0.40453074433656955,0.13486176668914363,0,0.0665335994677312,0.21398002853067047
WDT,0,0,0,0,0,0,0,1.6458196181698488,0.1330671989354624,0
WP,0,0.06004202942059442,0,0,0,0,0,2.0078999341672152,4.491017964071856,0
WP$,0,0,0,0,0.06632765863365023,0,0,0,0,0
WRB,0,0,0,0,0,0.08090614886731393,0,0,6.786427145708583,0

Focus,42.847827497575075,72.3402806080464,33.40482646955774,71.03866033108855,27.895008836654306,47.90489444030365,45.66595157650396,68.8678074602624,40.442506542384706,67.19961615554891

Adjective,1.593625498007968,1.8312818973281295,2.147766323024055,1.7438692098092643,8.62259562237453,26.53721682847896,14.160485502360084,0.13166556945358787,0.8649367930805055,2.258678078934855
Adverb,12.17985202048947,3.5124587211047733,5.5841924398625435,1.0354223433242506,23.30311739995578,8.37378640776699,0.8428860418071477,0.6583278472679395,13.040585495675316,0.9272467902995721
Conjunction,0,0,0,0,0,0,0,0,37.82435129740519,0
Determiner,0,0,0,0,1.7024099049303558,0,0,1.6458196181698488,0.1330671989354624,67.61768901569187
GrammarOther,0,6.094265986190333,16.06529209621993,0,4.576608445721866,0,0,2.5016458196181697,0,0
Noun,7.626636311895275,3.4524166916841788,3.1786941580756016,4.359673024523161,30.70970594738006,56.47249190938511,75.96089008766015,2.205398288347597,12.541583499667333,6.490727532097004
Other,0,0.06004202942059442,0,0.4904632152588556,3.5153659075834622,0,0.9777478084962913,0,0.665335994677312,0.07132667617689016
Preposition,4.837791690381332,73.67157009906936,31.529209621993125,0.4904632152588556,0.9064780013265532,0.16181229773462785,0,9.381171823568137,5.322687957418496,0
Pronoun,6.033010813887308,0.06004202942059442,0,0,0.28741985407915105,0,0.37086985839514497,71.95523370638578,4.491017964071856,19.28197812648597
Verb,65.62322140011382,10.177123986790754,32.90378006872852,90.02724795640329,23.34733583904488,4.935275080906148,3.674983142279164,0.4937458854509546,22.022621423819032,2.662862577270566

Focus,64.75786140806214,72.46243720696197,45.32942793265795,90.91088290461364,37.69203925382529,60.40709112104026,78.15045556528099,79.37240135119863,40.020358869445815,67.23747455096341

