Class,CLASS2571,CLASS2624,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2639,CLASS2640,CLASS2643,CLASS2644,CLASS2645,CLASS2647,CLASS2648,CLASS2649,CLASS2650,,Focus
RB,0,0.9699321047526674,34.688090737240074,8.985507246376812,1.0284810126582278,0,0.2717391304347826,1.5530047265361242,33.352769679300295,11.44244105409154,0,22.0112517580872,0,1.8855864493448387,1.378614660390047,0.6603773584905661,9.06555090655509,,37.55808750631853
RBR,0,0,0,0,0,0,0,0,0.11661807580174927,0,0,0.14064697609001406,0,0,0,0,0,,68.80294500353533
RBS,0,0.8729388942774006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,11.445198836081474,6.994328922495274,0,0,0,0,0,0,0,0,0,0,3.1959092361776924,3.463349024882313,0,0,,52.764348304479604
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.546065904505713,0,0,,100.0
UH,0,0,0.4725897920604915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3905160390516039,,68.8152409915457
VB,0,0.6789524733268671,0,1.5458937198067633,67.32594936708861,0.3875968992248062,0.18115942028985507,0.675219446320054,1.3411078717201166,18.030513176144243,0,0.7032348804500703,0,0.1278363694471077,0.7397444519166106,0.33018867924528306,0.5578800557880056,,73.4813325462649
VBD,0,0.5819592628516004,1.4177693761814745,41.73913043478261,3.6392405063291138,0,2.2644927536231885,80.35111411208644,5.772594752186589,1.8030513176144243,0,9.0014064697609,0,1.1185682326621924,4.875588433086752,0.33018867924528306,16.03905160390516,,50.83227462136115
VBG,0,0.6789524733268671,0.5671077504725899,17.77777777777778,2.5316455696202533,0,1.6304347826086956,2.9709655638082375,12.653061224489795,1.1095700416088765,0,5.836849507735583,0.9929078014184398,1.5659955257270695,4.539340954942838,1.179245283018868,0.47419804741980476,,36.912528141017354
VBN,0,1.3579049466537343,0.5671077504725899,4.444444444444445,0.870253164556962,0,0,1.5530047265361242,15.335276967930028,0.624133148404993,0,1.6174402250351618,0,0.7350591243208693,1.21049092131809,0.8490566037735849,0,,51.93974561156697
VBP,0,0,0,0.2898550724637681,1.0284810126582278,0,0.18115942028985507,0.7427413909520594,2.0408163265306123,24.20249653259362,0,0,0,0.15979546180888463,0.4707464694014795,0,0.08368200836820083,,82.16466922345911
VBZ,0,0.4849660523763337,0.3780718336483932,2.0289855072463765,0,0,0.36231884057971014,1.0803511141120865,1.8075801749271136,0,0,0.7735583684950774,0,0,5.480833893745797,0.5188679245283019,0,,43.82631145455205
WDT,0,0,0,0,0,0,0,0,0,0.27739251040221913,3.2383419689119166,0,0,0,0,0,0,,91.95463727665253
WP,0,0,0,0,0,0,0,0,0,0,3.950777202072539,0,0,0,0,0,3.821478382147838,,68.47605610169836
WP$,0,0,0,0,0,0,0,0,0,0,0,0.21097046413502107,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09433962264150944,5.690376569037657,,98.28070855878076

Focus,95.7760107032383,60.60138255491838,54.73906311846014,46.747762554490926,68.38612743716594,91.63371783194592,91.78056615406665,81.78557865911131,39.35493026752916,42.50236220523673,85.5836271410714,33.225708639781374,64.48966275552496,46.70971733884045,46.37946103759597,60.613512970103415,39.397746734123416

Adjective,0,8.826382153249273,1.5122873345935728,4.251207729468599,1.5031645569620253,0,0.5434782608695652,0.2700877785280216,10.262390670553936,3.19001386962552,0,15.471167369901547,0,12.655800575263662,3.362474781439139,30.0,0.22315202231520223,,35.90576147670003
Adverb,0,1.842870999030068,34.688090737240074,8.985507246376812,1.0284810126582278,0,0.2717391304347826,1.5530047265361242,33.46938775510204,11.44244105409154,0,22.151898734177216,0,1.8855864493448387,1.378614660390047,0.7547169811320755,14.755927475592747,,35.99997950658497
Conjunction,4.198062432723358,0,0,0,0,0,0.9963768115942028,0,0,0,0,0,0,0,0,0,29.232914923291492,,84.86778308735107
Determiner,95.69429494079655,0,0,2.318840579710145,0,0,0,0,0,0.27739251040221913,4.209844559585492,1.6174402250351618,53.333333333333336,0,8.002689979825153,0,2.5383542538354256,,62.688065860128795
GrammarOther,0,11.445198836081474,6.994328922495274,0,0,0,0,5.266711681296422,0.8746355685131195,20.527045769764214,4.922279792746114,0,0,3.1959092361776924,3.463349024882313,0,0,,40.13318338488757
Noun,0,68.28322017458778,51.13421550094518,12.753623188405797,10.680379746835444,1.0077519379844961,0.6340579710144927,3.2410533423362593,11.195335276967931,3.6061026352288486,1.2305699481865284,22.0112517580872,0.8510638297872339,72.25950782997764,1.7821116341627439,62.54716981132076,9.762900976290096,,32.3205613484284
Other,0,2.8128031037827355,1.3232514177693762,0.8695652173913043,0,0,0.5434782608695652,0,0.11661807580174927,0.20804438280166435,0,0,7.375886524822695,1.310322786832854,0,0,0.3905160390516039,,50.616114389319456
Preposition,0,0,0,0,1.661392405063291,0,86.86594202898551,0.2700877785280216,2.740524781341108,0,0,6.962025316455696,0,0.15979546180888463,64.02151983860121,0,20.446304044630402,,56.70414187326212
Pronoun,0,0,0,0.1932367149758454,8.38607594936709,73.56589147286822,0,0,0,0.5547850208044383,89.63730569948187,10.618846694796062,36.59574468085106,0.35155001597954616,0,0,3.821478382147838,,50.554722397044486
Verb,0,3.782735208535403,2.9300567107750473,67.82608695652173,75.39556962025317,0.3875968992248062,4.619565217391305,87.37339635381501,38.95043731778425,45.769764216366156,0,17.93248945147679,0.9929078014184398,3.7072547139661234,17.316745124411568,3.2075471698113214,17.15481171548117,,31.136659670842747

Focus,95.42190652438418,68.3572315933809,57.657081347285065,67.92742728607534,74.80524039044238,97.94133255755084,91.16737088071328,88.1637065729972,47.36262085427189,54.23207152446611,88.68366068368884,30.102419104273526,60.67129673154989,74.0100554622112,62.823068759328635,68.13543554943729,32.769832512321656

