SIMILARITY,english alice,Voynich,Voynich A,Voynich B
english alice,1.0,0.7561277841644656,0.8129056364415367,0.7788890247140839
Voynich,0.7561277841644656,1.0,0.8766959762374029,0.9015852113623523
Voynich A,0.8129056364415367,0.8766959762374029,1.0,0.8746502048587054
Voynich B,0.7788890247140839,0.9015852113623523,0.8746502048587054,1.0
