Class,CLASS2663,CLASS2665,,Focus
CC,0,5.555555555555555,,100.0
CD,1.1560693641618496,0.4739568064106323,,41.84672430821479
DT,28.64606491774122,1.6808365093325517,,88.9152110486829
EX,0,0.3713476008990521,,100.0
FW,0,0.00977230528681716,,100.0
IN,0.7336594041796354,14.541190266783936,,90.39389034938561
JJ,5.413517118719431,5.482263265904427,,0.6309428490505471
JJR,0.7781236104935527,0.1710153425193003,,63.964108315975
JJS,0,0.23453532688361184,,100.0
MD,0.16674077367718987,1.827421088634809,,83.2771073573864
NN,9.793241440640285,13.085116779048178,,14.388599508748753
NNP,2.3788350377945755,7.285253591322192,,50.769593924719935
NNPS,0,0.02931691586045148,,100.0
NNS,2.5566918630502444,3.2150884393628454,,11.407166278268368
PRP,3.8906180524677634,10.383074367243232,,45.48547162057262
PRP$,6.436193863939528,0.04397537379067722,,98.64277082349533
RB,10.927078701645176,4.959444933059709,,37.56412608450649
RBR,0.044464206313917294,0,,100.0
RBS,0,0.04397537379067722,,100.0
RP,1.9675411293908405,1.0651812762630706,,29.754119646608544
TO,0,3.5668914296882632,,100.0
UH,0.055580257892396616,0.06840613700772012,,10.344585892392507
VB,9.815473543797243,1.7296980357666372,,70.03599255591183
VBD,3.6127167630057806,11.746310954754227,,52.95643930861183
VBG,4.857714539795464,2.0033225837975177,,41.602922482121215
VBN,3.534904401956425,0.7524675070849214,,64.89842621312631
VBP,0.5780346820809248,1.8713964624254862,,52.80253675410782
VBZ,0.6669630947087595,1.0065474445421674,,20.291736554309818
WDT,0.044464206313917294,0.244307632170429,,69.20461043064793
WP,0,0.9674582233948988,,100.0
WP$,0.03334815473543797,0,,100.0
WRB,0.022232103156958647,0.9967751392553504,,95.63651714499531

Focus,33.20423296055267,25.411249826731723

Adjective,6.191640729212984,5.8878139353073395,,2.515236013079421
Adverb,10.993775011116051,6.000195446105737,,29.3844194773696
Conjunction,0,5.555555555555555,,100.0
Determiner,28.69052912405514,1.9251441415029806,,87.42380005950274
GrammarOther,2.1342819030680302,3.2639499657969315,,20.926630981607484
Noun,14.728768341485104,23.614775725593667,,23.174715849331136
Other,1.211649622054246,0.5521352487051696,,37.39199628496165
Preposition,0.7336594041796354,18.108081696472198,,92.2124032990321
Pronoun,10.36016007114273,11.39450796442881,,4.75460205411878
Verb,23.065807025344597,19.109742988370957,,9.379993943616912

Focus,31.919606631023807,26.753761022294388

