Class,CLASS2607,CLASS2638,CLASS2642,CLASS2644,CLASS2645,CLASS2651,CLASS2653,CLASS2655,CLASS2656,CLASS2657
CC,4.171122994652406,0,0,0,0,0,0.3193527783691718,30.278422273781903,0,0
CD,0,1.7005391953546247,0,0.43541364296081275,0,0,0.8728975942090698,0.2610208816705336,0,2.0360219263899766
DT,87.86096256684492,0,0.6193228736581338,15.239477503628446,34.17978669375317,3.672316384180791,0.5535448158398978,0,0.2705139765554554,4.718089271730619
EX,0,0,0,0,0,0,0,0,0,1.4878621769772904
FW,0,0,0,0,0,0,0.04258037044922291,0,0,0
IN,0,7.714641227706346,3.6746490503715936,21.262699564586356,11.376333164042661,4.943502824858757,2.959335746220992,7.453596287703017,27.742711151187255,15.485512920908379
JJ,0.10695187165775401,3.1107424305267526,3.4682080924855487,4.063860667634253,0.20314880650076178,7.733050847457627,12.071535022354695,2.088167053364269,3.186053501653141,8.300704776820673
JJR,0,0,0.08257638315441783,0,0,0.31779661016949157,0.3619331488183947,0,0.12022843402464682,1.4291307752545028
JJS,0,0.414765657403567,0.16515276630883566,0,0,0.6709039548022598,0.1916116670215031,0.11600928074245939,0,0.03915426781519186
MD,0,4.437992534218167,0,0,4.266124936515998,0.5296610169491525,0,0,3.3964532611962728,1.370399373531715
NN,0.8556149732620321,15.55371215263376,15.524360033030554,8.200290275761974,0.5586592178770949,18.043785310734464,26.059186714924422,1.91415313225058,2.675082657048392,15.231010180109633
NNP,0.10695187165775401,2.2397345499792616,19.983484723369116,6.894049346879536,0.20314880650076178,4.13135593220339,13.32765595060677,2.494199535962877,0.7213706041478809,4.169929522317933
NNPS,0,0,0,0,0,0.07062146892655367,0.04258037044922291,0.058004640371229696,0,0
NNS,0.4812834224598931,3.069265864786396,2.436003303055326,2.9027576197387517,0.4570848146267141,2.2245762711864407,8.345752608047691,0.40603248259860786,1.0519987977156597,3.7783868441660142
PRP,0,4.562422231439236,25.55739058629232,0,0,0,2.065147966787311,29.669373549883993,0.06011421701232341,12.216131558339859
PRP$,5.18716577540107,10.327664869348819,0,4.571843251088534,0,3.919491525423729,0,0,0.2705139765554554,1.1550509005481597
RB,0.32085561497326204,12.484446287847366,5.573905862923204,1.0885341074020318,3.4535297105129508,5.543785310734464,10.68767298275495,9.918793503480279,6.612563871355576,4.9334377447141735
RBR,0,0,0,0,0,0,0.04258037044922291,0,0,0.03915426781519186
RBS,0,0,0,0,0,0.31779661016949157,0,0,0,0
RP,0,0,3.05532617671346,0,0,0,0,0,3.0958821761346558,4.267815191855912
TO,0,0,0,0,37.07465718638903,0,0,0,0,0
UH,0,0.2073828287017835,0,0,0,0,0,0.40603248259860786,0,0
VB,0,20.655329738697638,2.312138728323699,6.2409288824383164,0.20314880650076178,7.80367231638418,1.8096657440919737,1.8561484918793503,1.2623985572587917,3.5434612372748626
VBD,0.4812834224598931,5.226047283284943,4.748142031379025,5.2249637155297535,1.8791264601320468,21.927966101694913,6.791569086651054,1.8851508120649654,39.10429816651638,1.2529365700861395
VBG,0.16042780748663102,3.1936955620074663,3.3030553261767133,3.265602322206096,0.35551041137633316,4.096045197740112,4.811581860762189,1.2470997679814384,3.967538322813345,2.3101018010963195
VBN,0,1.2028204064703443,2.023121387283237,0.7256894049346879,0.25393600812595224,3.9901129943502824,2.1928890781349795,0.058004640371229696,1.9236549443943491,1.8989819890368052
VBP,0,0.16590626296142677,2.023121387283237,8.127721335268506,0.5586592178770949,0.24717514124293788,1.7457951884181395,0.14501160092807425,0.18034265103697023,3.1127642913077525
VBZ,0.10695187165775401,0.7465781833264206,0.7018992568125516,0.6531204644412192,0.5586592178770949,5.331920903954803,0.5535448158398978,0.08700696055684454,0.4809137360985873,0.2545027407987471
WDT,0,0,0,0,2.5393600812595225,0,0.08516074089844582,0,0,0
WP,0,0,0.08257638315441783,9.796806966618288,0,0,0,0,0,1.1942051683633517
WP$,0,0,0,0,0,0,0,0,0.09017132551848511,0
WRB,0,0,2.8488852188274154,0,0,0,0.04258037044922291,3.5092807424593966,0.4207995190862639,0

Focus,87.92304919376784,30.459163381960074,35.27156844468327,29.581268321668762,51.23109719435445,31.027606713973793,34.035611067935115,45.23335886024121,48.72348112943224,26.31498665753858

Adjective,0.10695187165775401,3.52550808793032,3.715937241948802,4.063860667634253,0.20314880650076178,8.721751412429379,12.625079838194592,2.2041763341067284,3.306281935677788,9.768989819890368
Adverb,0.32085561497326204,12.484446287847366,8.422791081750619,1.0885341074020318,3.4535297105129508,5.861581920903955,10.772833723653395,13.428074245939676,7.03336339044184,4.972592012529366
Conjunction,4.171122994652406,0,0,0,0,0,0.3193527783691718,30.278422273781903,0,0
Determiner,87.86096256684492,0,0.6193228736581338,15.239477503628446,36.719146775012696,3.672316384180791,0.6387055567383436,0,0.2705139765554554,4.718089271730619
GrammarOther,0,4.437992534218167,3.05532617671346,0,4.266124936515998,0.5296610169491525,0,0,6.4923354373309285,7.126076742364917
Noun,1.4438502673796791,20.862712567399416,37.94384805945499,17.99709724238026,1.2188928390045708,24.470338983050848,47.7751756440281,4.872389791183294,4.448452058911933,23.17932654659358
Other,0,1.9079220240564083,0,0.43541364296081275,0,0,0.9154779646582927,0.6670533642691414,0,2.0360219263899766
Preposition,0,7.714641227706346,3.6746490503715936,21.262699564586356,48.450990350431695,4.943502824858757,2.959335746220992,7.453596287703017,27.742711151187255,15.485512920908379
Pronoun,5.18716577540107,14.890087100788055,25.63996696944674,14.368650217706822,0,3.919491525423729,2.065147966787311,29.669373549883993,0.4207995190862639,14.56538762725137
Verb,0.7486631016042781,31.19037743674824,15.111478117258462,24.238026124818578,3.809040121889284,43.39689265536723,17.905045773898234,5.278422273781902,46.91914637811843,12.372748629600627

Focus,86.86894980621877,33.30885558341849,41.15498449682471,31.065632609231773,56.63385850051158,45.951451766656085,48.768505441417,39.05296179923197,50.694654879577605,23.779527877215333

