Class,CLASS2588,CLASS2599,CLASS2600,CLASS2623,CLASS2625,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2633,CLASS2635,CLASS2638,CLASS2639,CLASS2641,CLASS2642,CLASS2643,CLASS2644,CLASS2645,CLASS2646,CLASS2647,,Focus
VBG,0,0.834326579261025,2.4096385542168677,22.573839662447256,0,0.7394766780432309,1.4395393474088292,0.2717391304347826,0.17953321364452424,0,5.104408352668213,7.94078061911171,3.4426229508196724,1.5492957746478873,2.6578073089700998,4.9524762381190595,0.415564790328674,0.9763617677286742,1.0605115408608858,4.918032786885246,,36.99767449431549
VBN,0.5390835579514826,1.907032181168057,0,23.839662447257385,0,0.11376564277588168,0.8637236084452975,0.8152173913043478,0.6283662477558348,0,2.2041763341067284,3.835800807537012,1.366120218579235,0.6338028169014085,0.8637873754152824,0.5002501250625313,0,0.8221993833504625,0,1.1349306431273645,,58.31216506592637
VBP,0,0.7151370679380215,0,0,1.3048635824436536,0.2844141069397042,0,0,0,0,0.2900232018561485,1.9515477792732168,0.32786885245901637,23.80281690140845,1.4617940199335548,0,0,0.2312435765673176,0,0.25220680958385877,,77.00531167795066
VBZ,0,0,1.3253012048192772,2.109704641350211,0.2372479240806643,0.11376564277588168,0.47984644913627633,0.5434782608695652,0,0,1.1020881670533642,1.547779273216689,9.07103825136612,0.14084507042253522,0.53156146179402,0.2001000500250125,0,0,0,0,,52.032770871554256
WDT,0,0,0,0.42194092827004215,0,0,0,0,4.488330341113106,0,0,0,0,0,0,0,0,0,0,0,,91.35860430745115
WP,0,0,0,0,0,7.792946530147896,0,0,5.475763016157989,0,0,0,0,0,0,0,0,0,0,0,,69.98110447935929
WP$,0,0,0,0,0,0,0,0,0,0,0.17401392111368907,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,11.604095563139932,0,0,0,0,0,0,0,0.14084507042253522,0,0,0,0,0,0,,98.74494838249157

Focus,61.49112041134215,87.41037681099183,63.75259336953737,46.47420431120729,88.71672258879228,35.45826798960307,61.860033816542526,62.81777217034006,71.53343892103884,96.92353351230875,41.18713777163111,65.18925739261245,58.39047310821525,42.737331080811245,59.57435166469786,44.8588726177125,96.12424561196731,44.34533989749945,67.38826484977895,54.399775784776786

