Class,CLASS2630,CLASS2636,CLASS2641,CLASS2644,CLASS2645,CLASS2648,CLASS2649,CLASS2652,CLASS2653,CLASS2655,CLASS2656
CC,0,5.098039215686274,0,0,0,0,0,30.025517436915226,0,0,0
CD,0,0.39215686274509803,0.20533880903490762,2.493765586034913,7.017543859649122,0,0,0,0.72736393278154,0,0.2407060711420166
DT,93.82839939789262,0,0,0.6483790523690772,47.233468286099864,0,0,2.891976183725546,0.5768748432405317,5.025380710659898,0.4011767852366943
EX,0,0,0,0,0,0,0,0,0,0,2.032629045199251
FW,0,0,0,0,0,0,0,0,0.05016302984700275,0,0
IN,0,8.366013071895424,0,0,0,0.2967359050445104,0,14.658349872412815,0.2257336343115124,53.1979695431472,7.515378443434074
JJ,1.7059708981435024,1.3725490196078431,2.121834360027379,8.5785536159601,0,3.9924467224170486,29.124820659971306,0.1701162461015027,11.060948081264108,1.5736040609137056,2.2733351163412676
JJR,0,0,1.0266940451745379,0.0997506234413965,0,0,0,0.05670541536716756,2.1570102834211187,0,0
JJS,0.5017561465127948,0,0,0,0,0,0.2869440459110474,0.05670541536716756,0.7524454477050414,0,0
MD,0,0,20.26009582477755,0,0,2.508767197194497,0,0,0,0,0
NN,0.7526342197691922,8.366013071895424,2.8062970568104038,13.815461346633418,0,3.3180469382249798,47.34576757532281,3.0337397221434648,43.6919989967394,2.0050761421319794,1.5244717838994384
NNP,0.15052684395383845,0.5882352941176471,1.3004791238877482,7.630922693266832,0,0.2967359050445104,1.7694882831181253,6.464417351857102,20.692249811888637,0.3299492385786802,10.885263439422307
NNPS,0,0,0,0,0,0.05395198273536552,0,0,0.1003260596940055,0,0
NNS,0.5519317611640743,4.640522875816994,0,7.531172069825437,0,1.2948475856487724,8.417025346724055,0.4536433229373405,9.756709305242037,0.532994923857868,0.1337255950788981
PRP,0,6.928104575163399,0,7.581047381546134,5.668016194331984,0.21580793094146208,0,0,0,0,56.83337790853169
PRP$,0,0,0,0,39.068825910931174,0,0,0,0.2257336343115124,0,0
RB,1.7561465127947817,1.1764705882352942,12.320328542094455,25.187032418952622,0,10.709468572970056,8.082257293161167,10.12191664303941,1.2289942312515676,1.6751269035532996,5.937416421503076
RBR,0,0,0,0.0997506234413965,0,0.05395198273536552,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0.2257336343115124,0,0
RP,0,0,0,0,0,0,0,0,0,10.025380710659897,0
TO,0,0,0,0,0,0,0,0,0,18.527918781725887,0
UH,0,0,0,0.24937655860349126,0,0,0,0.396937907570173,0,0,0
VB,0,55.490196078431374,18.275154004106774,1.2468827930174564,0,0.7823037496628,0.1434720229555237,0.5670541536716757,0.4263857536995234,0.5583756345177665,0.1337255950788981
VBD,0,1.6339869281045754,1.7796030116358659,7.680798004987531,0,48.71864041003507,0.3347680535628886,17.46526793308761,1.254075746175069,1.1421319796954315,0
VBG,0.5519317611640743,2.679738562091503,1.0951403148528405,8.778054862842893,0.20242914979757085,10.115996762881036,0.9086561453849833,0.5103487383045081,1.2289942312515676,3.4771573604060912,0.05349023803155924
VBN,0,0.8496732026143791,0.6160164271047228,3.4912718204488775,0,7.850013487995684,0.5260640841702534,0.1984689537850865,0.7775269626285428,0.9644670050761422,0.05349023803155924
VBP,0,1.045751633986928,23.682409308692677,0.24937655860349126,0,1.1329916374426758,0,0.08505812305075135,0.1254075746175069,0.4568527918781726,0
VBZ,0,0,0,1.0473815461346634,0,5.799838144051794,0.5260640841702534,0,0.17557060446450964,0.20304568527918782,0.10698047606311847
WDT,0,0,0,0.199501246882793,0,0,0,0,0,0,1.3372559507889812
WP,0,0,0,0,0,0,0,3.8843209526509783,0,0,1.631452259962557
WP$,0,0,0,0.14962593516209477,0,0,0,0,0,0,0
WRB,0,0,0.13689253935660506,0,0,0,0,5.783952367451092,0,0,0

Focus,93.07341189852231,53.43871749000723,32.30963423137953,27.900428068558348,51.062032458479166,47.714792746060226,51.20933016183138,34.330936585509264,47.07790262401703,53.65316547970329,55.96351527629503

Adjective,2.207727044656297,1.3725490196078431,3.1485284052019167,8.678304239401497,0,3.9924467224170486,29.41176470588235,0.28352707683583783,13.970403812390268,1.5736040609137056,2.2733351163412676
Adverb,1.7561465127947817,1.1764705882352942,12.45722108145106,25.286783042394017,0,10.763420555705421,8.082257293161167,15.905869010490502,1.45472786556308,1.6751269035532996,5.937416421503076
Conjunction,0,5.098039215686274,0,0,0,0,0,30.025517436915226,0,0,0
