Class,CLASS2666
CC,3.8592084719299438
CD,0.6822347430588555
DT,9.914466091915008
EX,0.2579594053356866
FW,0.006788405403570701
IN,10.325164618831037
JJ,5.461272147172629
JJR,0.3563912836874618
JJS,0.16292172968569685
MD,1.3203448509945015
NN,12.079967415654062
NNP,5.787115606544023
NNPS,0.020365216210712106
NNS,3.014051999185391
PRP,8.400651686918744
PRP$,1.9957911886497863
RB,6.781616998167131
RBR,0.013576810807141402
RBS,0.030547824316068155
RP,1.3407100672052135
TO,2.477767972303306
UH,0.06448985133392166
VB,4.198628742108479
VBD,9.262779173172222
VBG,2.874889688412192
VBN,1.6020636752426856
VBP,1.4764781752766276
VBZ,0.9028579186749033
WDT,0.18328694589640893
WP,0.6720521349534994
WP$,0.010182608105356053
WRB,0.6992057565677823

Focus,20.269653530159246

Adjective,5.980585160545787
Adverb,7.524947389858122
Conjunction,3.8592084719299438
Determiner,10.097753037811417
GrammarOther,2.919014323535402
Noun,20.90150023759419
Other,0.7535129997963479
Preposition,12.802932591134343
Pronoun,11.078677618627387
Verb,20.31769737288711

Focus,22.674469220653105

