Class,to,CLASS1284,CLASS2471,CLASS2526,CLASS2570,CLASS2586,CLASS2593,CLASS2601,CLASS2605,CLASS2606,CLASS2607,CLASS2613,CLASS2615,CLASS2617,CLASS2621,CLASS2622,CLASS2623,CLASS2625,CLASS2626,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2638,,Focus
VB,0,0.3838771593090211,0,0,2.199661590524535,59.852670349907925,0.41265474552957354,0.21929824561403508,0.3640776699029126,0,0,1.3404825737265416,0,0.8818342151675485,0,58.05714285714285,0,3.3547113961519486,0.4374453193350831,1.688411358403684,1.1210762331838564,20.408163265306122,0.1596169193934557,0.33140016570008285,0,0.1890359168241966,0.2172338884866039,0.4942339373970346,0.303951367781155,,54.213700643948115
VBD,0,0,0,0,12.351945854483926,1.4732965009208103,0.5502063273727648,2.7412280701754383,74.75728155339806,0,0,0,0.40816326530612246,0.3527336860670194,0.7389162561576355,5.714285714285714,0,0,0,3.683806600153492,0.336322869955157,2.2108843537414966,9.417398244213887,73.5708367854184,0.09573958831977022,3.497164461247637,0.2896451846488052,64.82701812191104,1.7477203647416413,,45.20910367625227
VBG,0,0.3838771593090211,0,0,17.766497461928935,0.7366482504604052,1.7881705639614855,4.934210526315789,1.5776699029126213,0.4243281471004243,0.261437908496732,1.876675603217158,2.4489795918367347,10.229276895943562,0.18472906403940886,3.5428571428571427,0,0.5426739023186976,0,8.902532617037604,0,0.5952380952380952,1.596169193934557,8.947804473902236,0.5265677357587363,17.391304347826086,2.172338884866039,1.729818780889621,2.127659574468085,,28.98808080793085
VBN,0,0,0,0,14.04399323181049,1.289134438305709,1.5130674002751032,2.1929824561403506,0,0,0.9150326797385622,0,0,1.2345679012345678,0.12315270935960591,1.7142857142857144,0,0,0,2.916346891788181,1.2331838565022422,0.17006802721088435,3.192338387869114,2.1541010770505387,0,15.973534971644613,1.0137581462708183,0.3294892915980231,1.21580547112462,,39.90719190015312
VBP,0,0,0,0,4.906937394247039,1.1049723756906076,0,0.6578947368421052,0,0,0,0.5361930294906166,0,0,0.18472906403940886,12.571428571428573,0,0.5920078934385792,0,0.4604758250191865,0,20.153061224489797,0.39904229848363926,0.16570008285004142,0,0,0.1448225923244026,0.9060955518945634,0.1519756838905775,,54.48039527914741
VBZ,0,0,0,0,3.8917089678511,0,0,0.7675438596491228,0,0,0,0.5361930294906166,1.4965986394557822,1.0582010582010581,0.12315270935960591,0,0,0,0,0.3069838833461243,0,0,1.8355945730247407,1.8227009113504555,0,0.945179584120983,0,12.685337726523887,0,,51.42430666311052
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7537399309551205,0,0,0,0,0,0.3192338387869114,0,0,0,0,0,0,,94.70144903433462
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.019562715765247,6.758756783423779,0,0,0,0,0,0,0,0,0,0,0,,69.44986706151553
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23942537909018355,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.064134188455846,0,0,0,0.17006802721088435,0,0,0,0,0,0,0,,98.29292006014673
