Class,to,and,CLASS2482,CLASS2554,CLASS2579,CLASS2581,CLASS2600,CLASS2609,CLASS2611,CLASS2612,CLASS2613,CLASS2618,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2627,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2637,CLASS2639,CLASS2640,CLASS2641,,Focus
VBZ,0,0,0,0.3194888178913738,0,0,2.564102564102564,0,0,0,1.1075949367088607,0.22611644997173544,0,0,3.889585947302384,0,18.795180722891565,0,0.145032632342277,1.3664596273291925,0.46253469010175763,0,0.1718213058419244,0.13245033112582782,0.7895959126799814,0.20800832033281333,,62.688587877216264
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82262996941896,0,0,0.18578727357176034,0,,95.29227985308718
WP,0,0,0,0,0,0,0,0,0,0,0,7.631430186546072,0.2677376171352075,0,0,0,0,0,0,0,0,4.663608562691132,0,0,0,0,,69.82583915196555
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13934045517882027,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,7.009609949123799,10.7095046854083,0,0,0,0,0,0,0,0,0,0,0.13245033112582782,0,0,,70.33539639964731

Focus,100.0,100.0,100.0,88.86084388747625,52.778508973911286,97.00969653363065,73.59024566952174,94.41454883155677,81.65323723758989,83.94970419075763,52.38700978154062,38.72854943933856,82.75802035530683,55.68980161524618,36.703642011137255,40.73746775580786,45.40031651768018,98.98741320487959,57.70410116633072,67.68930199757217,51.42963307764773,49.79228272076112,49.18701121309095,41.422735221267146,36.05531963614455,87.4343657936634

Adjective,0,0,0,0.3194888178913738,1.9011406844106464,0,1.6666666666666667,0,0.47904191616766467,0.2820874471086037,2.689873417721519,2.2046353872244207,0.535475234270415,0.7239819004524887,3.5131744040150563,4.380475594493117,6.385542168674699,0,45.46773023930385,6.335403726708074,13.043478260869565,6.651376146788992,14.364261168384878,1.1258278145695364,7.0599163957268924,2.548101924076963,,38.48358915843103
Adverb,0,0,0,2.3961661341853033,1.1406844106463878,0,2.1794871794871793,0,0.3592814371257485,0,3.6392405063291138,36.122102882984734,11.244979919678714,14.841628959276019,23.71392722710163,6.382978723404255,4.216867469879518,0,12.182741116751268,1.3664596273291925,5.365402405180388,0.5351681957186544,0.8934707903780068,11.589403973509933,25.127728750580587,0.10400416016640666,,29.38304340882887
Conjunction,0,100.0,0,0,0,0,0,4.0226921093347086,1.3173652694610778,0,0,9.892594686263426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,86.7343863376105
Determiner,0,0,100.0,0,0,1.8337408312958436,0,94.37854564208354,0,1.2693935119887165,2.3734177215189876,5.144149236856981,0,0,1.631116687578419,0,26.867469879518076,0,0,0,1.0175763182238668,3.82262996941896,0,0,0.18578727357176034,0,,56.55341601363668
GrammarOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8820577164366372,25.406758448060074,0,0,0,0,10.91581868640148,5.81039755351682,0,24.7682119205298,3.4370645610775665,0,,49.455494240033644
Noun,0,0,0,0.3194888178913738,17.870722433460077,1.1002444987775062,5.512820512820513,0.9283135636926251,2.634730538922156,0,10.126582278481012,14.527981910684003,5.4886211512717535,7.873303167420815,9.284818067754077,17.271589486858574,2.6506024096385543,0.8879023307436182,35.09789702683103,84.59627329192547,58.279370952821466,34.48012232415902,75.36082474226804,2.649006622516556,33.58104969809568,1.5600624024960998,,28.684828184857086
Other,0,0,0,0,0,0,0.2564102564102564,0,0,14.66854724964739,0,0.791407574901074,0,0.5429864253393665,0,1.1264080100125156,0,0,0,0,2.682701202590194,0.6880733944954129,1.4089347079037802,0.1986754966887417,0.23223409196470043,0,,65.0160950209385
Preposition,100.0,0,0,3.993610223642172,0,0,0.5128205128205128,0,9.221556886227544,0,0,6.048615036743923,82.1954484605087,2.0814479638009047,0,29.411764705882355,32.28915662650602,0,0,0,0,0,0,0,0.3251277287505806,87.467498699948,,42.441319212874
Pronoun,0,0,0,0,13.434727503168567,97.06601466992664,0,0,0,81.66431593794076,0,7.631430186546072,0.2677376171352075,0,0.2509410288582183,0.2503128911138924,0,89.01220865704772,0,0,0,45.10703363914373,0.30927835051546393,0,10.91500232234092,0.41601664066562666,,43.471072192802716
Verb,0,0,0,88.97763578274761,64.1318124207858,0,88.07692307692308,0.5673027333677153,76.52694610778443,0.4231311706629055,78.79746835443039,2.543810062182024,0,72.85067873303169,54.8306148055207,12.640801001251564,26.024096385542165,0,3.843364757070341,4.596273291925465,6.382978723404255,2.9051987767584095,3.195876288659793,46.09271523178809,16.11704598235021,7.696307852314092,,25.46677680621345

Focus,100.0,100.0,100.0,91.9729837338416,64.64768867989886,96.76078376477314,88.71527510846167,93.94510770254242,83.39354692169827,82.49746670707076,79.22963192849937,39.767041703394895,81.31004743721776,72.4043932552885,58.32195713912884,35.95003642136693,42.00149542239197,98.90747673074178,54.883913633299144,86.21597610512009,57.19209179369466,50.830189775995,77.9120046351938,56.339791464434384,38.57072738208471,86.60972101980025

