Class,and,CLASS63,CLASS2479,CLASS2591,CLASS2600,CLASS2602,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2618,CLASS2620,CLASS2626,CLASS2627,CLASS2628,CLASS2630,CLASS2632,CLASS2633,CLASS2635,CLASS2636,CLASS2637,CLASS2638,CLASS2640,CLASS2641,CLASS2642
CC,100.0,0,0,0,0,1.3237063778580023,0,0,0,0,0,0,0,0,0,0,0,0,9.599561162918267,5.098039215686274,0,0,0,0,0
CD,0,0,0,0,0,0,3.5409035409035408,0,0,13.147914032869783,0,0,0,0,0,0,0,0.7188498402555911,0,0.39215686274509803,3.7650602409638556,0,0,0.20533880903490762,0
DT,0,0,100.0,0,0,0,0,0,2.259332023575639,1.1378002528445006,0,0,1.1320754716981132,0,0,93.82839939789262,0,0,5.595172792100932,0,0.9789156626506025,15.07996953541508,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,5.735849056603773,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0.19646365422396855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0.7153075822603719,0,9.265944645006016,0,35.338345864661655,0.3929273084479371,0,68.78048780487805,0,0,0,0,0,0,22.44408945686901,24.136039495337354,8.366013071895424,0,77.3038842345773,0.3774879890185312,0,0
JJ,0,0,0,10.44349070100143,5.897114178168131,0.24067388688327318,5.738705738705739,1.2030075187969926,7.662082514734774,0,3.902439024390244,14.32791728212703,6.415094339622642,1.008827238335435,16.747070985527223,1.7059708981435024,0,0,0.21941854086670326,1.3725490196078431,5.647590361445784,0.456968773800457,4.804392587508579,2.121834360027379,43.431221020092735
JJR,0,0,0,1.7167381974248928,0,0,0.3663003663003663,0,6.974459724950884,0,0,0,0,0,0,0,0,0,0.10970927043335163,0,0.15060240963855423,0,0,1.0266940451745379,0
JJS,0,0,0,0.28612303290414876,0.5018820577164366,0,0.4884004884004884,0,0.19646365422396855,0,0,0,0,0,1.5161957270847692,0.5017561465127948,0,0,0.10970927043335163,0,0,0,0,0,0.1545595054095827
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1914893617021276,20.26009582477755,0
NN,0,0,0,48.497854077253216,64.74278544542032,0.36101083032490977,68.00976800976801,8.571428571428571,44.00785854616896,0,1.3008130081300813,7.680945347119645,1.509433962264151,4.03530895334174,27.42935906271537,0.7526342197691922,0,2.9552715654952078,5.704882062534284,8.366013071895424,16.94277108433735,0.456968773800457,3.1228551818805768,2.8062970568104038,36.6306027820711
NNP,0,0,0,3.719599427753934,1.631116687578419,1.5643802647412757,2.31990231990232,0,21.807465618860512,0,0.6504065040650406,2.806499261447563,0.1509433962264151,0.25220680958385877,38.456237077877326,0.15052684395383845,0.9466437177280551,31.469648562300318,11.793746571585299,0.5882352941176471,10.090361445783133,0.38080731150038083,0.3088538091969801,1.3004791238877482,1.8547140649149922
NNPS,0,0,0,0.28612303290414876,0,0,0,0,0,0,0,0,0,0.25220680958385877,0.13783597518952445,0,0,0,0,0,0,0,0,0,0
NNS,0,0,0,18.025751072961373,20.075282308657467,0.9626955475330927,8.302808302808302,2.1052631578947367,7.760314341846758,0,0.40650406504065045,1.4771048744460855,0.22641509433962265,3.278688524590164,7.994486560992418,0.5519317611640743,0.17211703958691912,0,0.4388370817334065,4.640522875816994,10.617469879518072,0.15232292460015232,0.7549759780370624,0,1.2364760432766615
PRP,0,0,0,0,0,0,0,0,0,10.619469026548673,0,0,59.924528301886795,0,0,0,69.01893287435456,42.25239616613419,0,6.928104575163399,11.44578313253012,0,0.27453671928620454,0,0
PRP$,0,0,0,0,0,0,0,0,0,73.19848293299621,0,0,0,0,0.6202618883528601,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,2.0028612303290414,1.0037641154328731,0.36101083032490977,1.465201465201465,6.917293233082707,1.768172888015717,0,1.4634146341463417,45.347119645494836,15.320754716981133,3.278688524590164,0.34458993797381116,1.7561465127947817,1.6351118760757317,0,19.41854086670324,1.1764705882352942,14.909638554216867,0.15232292460015232,12.731640356897737,12.320328542094455,12.442040185471406
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15060240963855423,0,0.06863417982155114,0,0
RBS,0,0,0,0,0,0,1.098901098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,41.65413533834587,0,0,9.59349593495935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,99.72677595628416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7679648930334613,0,0.37650602409638556,0,0,0,0
VB,0,0,0,0.7153075822603719,0,0.36101083032490977,1.465201465201465,0,0,0,0.6504065040650406,1.03397341211226,0,0.7566204287515763,0,0,0.4302925989672977,0,0.9325287986834888,55.490196078431374,1.355421686746988,1.0662604722010662,0.789293067947838,18.275154004106774,0.23183925811437403
VBD,0,0,0,2.7181688125894135,0.37641154328732745,74.12755716004813,0.3663003663003663,0,1.9646365422396856,0,2.4390243902439024,16.248153618906944,0,64.56494325346785,0.5513439007580978,0,0,0,0,1.6339869281045754,3.313253012048193,1.1424219345011426,44.40631434454359,1.7796030116358659,0.3091190108191654
VBG,0,0,0,1.859799713876967,1.7565872020075282,0.601684717208183,1.8315018315018317,0.9022556390977444,0.68762278978389,0.37926675094816686,7.560975609756097,3.5450516986706058,0,15.258511979823455,0.9648518263266712,0.5519317611640743,0,0.1597444089456869,0.7131102578167855,2.679738562091503,11.44578313253012,2.8941355674028943,8.716540837336993,1.0951403148528405,0.38639876352395675
VBN,0,0,0,1.4306151645207439,0,0,1.3431013431013432,2.706766917293233,0.3929273084479371,0,1.6260162601626018,1.9202363367799113,0.1509433962264151,4.03530895334174,0.41350792556857335,0,0,0,0.38398244651673064,0.8496732026143791,4.292168674698795,0,8.888126286890872,0.6160164271047228,0.8500772797527048
VBP,0,0,0,0,0,0.36101083032490977,0,0.30075187969924816,0.19646365422396855,0,0.6504065040650406,0.4431314623338257,0,0.25220680958385877,0.20675396278428668,0,0,0,0,1.045751633986928,0.15060240963855423,0.6092916984006093,1.3726835964310227,23.682409308692677,0
VBZ,0,0,0,0.28612303290414876,1.3801756587202008,0,0.6105006105006106,0,0,0,0.3252032520325203,1.6248153618906942,0.3018867924528302,0.6305170239596469,0,0,0,0,0,0,0.7530120481927711,0.30464584920030463,7.20658888126287,0,0
WDT,0,0,0,0,0,0,0,0,0,0,0,0.5908419497784343,3.7735849056603774,0,0,0,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,4.60377358490566,0,0,0,0,0,7.515085024684585,0,0,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0.4431314623338257,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.190345584201864,0,0,0,0,0.13689253935660506,0

Focus,0,99.45355191256833,0,48.633761991843905,63.64324105010278,72.83675292480031,66.27303992339006,48.527024870302135,45.592359107903,69.11496446783238,67.21611920517945,45.32283399438031,58.60406921809228,63.2618398249259,44.54946002015373,93.07341189852231,68.17681733097855,44.117345441775115,30.095310858221996,53.43871749000723,23.520169074643242,76.62319015715804,43.46653779078069,32.30963423137953,52.292508305204855

Adjective,0,0,0,12.44635193133047,6.398996235884567,0.24067388688327318,6.593406593406593,1.2030075187969926,14.833005893909625,0,3.902439024390244,14.32791728212703,6.415094339622642,1.008827238335435,18.263266712611994,2.207727044656297,0,0,0.4388370817334065,1.3725490196078431,5.798192771084338,0.456968773800457,4.804392587508579,3.1485284052019167,43.585780525502315
Adverb,0,0,0,2.0028612303290414,1.0037641154328731,0.36101083032490977,2.564102564102564,6.917293233082707,1.768172888015717,0,1.4634146341463417,45.347119645494836,15.320754716981133,3.278688524590164,0.34458993797381116,1.7561465127947817,1.6351118760757317,0,30.608886450905104,1.1764705882352942,15.06024096385542,0.15232292460015232,12.800274536719288,12.45722108145106,12.442040185471406
Conjunction,100.0,0,0,0,0,1.3237063778580023,0,0,0,0,0,0,0,0,0,0,0,0,9.599561162918267,5.098039215686274,0,0,0,0,0
Determiner,0,0,100.0,0,0,0,0,0,2.259332023575639,1.1378002528445006,0,0.5908419497784343,4.90566037735849,0,0,93.82839939789262,0,0,5.595172792100932,0,0.9789156626506025,15.07996953541508,0,0,0
GrammarOther,0,0,0,0,0,0,0,41.65413533834587,0,0,9.59349593495935,0,5.735849056603773,0,0,0,0,0,0,0,0,0,3.1914893617021276,20.26009582477755,0
Noun,0,0,0,70.52932761087267,86.4491844416562,2.888086642599278,78.63247863247864,10.676691729323307,73.57563850687623,0,2.3577235772357725,11.964549483013295,1.8867924528301887,7.818411097099622,74.01791867677463,1.455092824887105,1.1187607573149743,34.424920127795524,17.93746571585299,13.594771241830063,37.65060240963855,0.9900990099009901,4.186684969114619,4.1067761806981515,39.721792890262755
Other,0,0,0,0,0,0,3.5409035409035408,0,0.19646365422396855,13.147914032869783,0,0,0,0,0,0,0,0.7188498402555911,0.7679648930334613,0.39215686274509803,4.141566265060241,0,0,0.20533880903490762,0
Preposition,0,99.72677595628416,0,0.7153075822603719,0,9.265944645006016,0,35.338345864661655,0.3929273084479371,0,68.78048780487805,0,0,0,0,0,0,22.44408945686901,24.136039495337354,8.366013071895424,0,77.3038842345773,0.3774879890185312,0,0
Pronoun,0,0,0,0,0,0,0,0,0,83.81795195954489,0,0.4431314623338257,64.52830188679246,0,0.6202618883528601,0,69.01893287435456,42.25239616613419,7.515085024684585,6.928104575163399,11.44578313253012,0,0.27453671928620454,0,0
Verb,0,0,0,7.010014306151645,3.5131744040150563,75.45126353790614,5.616605616605616,3.9097744360902253,3.2416502946954813,0.37926675094816686,13.252032520325205,24.81536189069424,0.4528301886792453,85.49810844892811,2.136457615437629,0.5519317611640743,0.4302925989672977,0.1597444089456869,2.029621503017005,61.69934640522875,21.310240963855424,6.016755521706017,71.37954701441319,45.44832306639288,1.7774343122102008

Focus,100.0,100.0,100.0,74.76557661174793,87.81737186884409,83.14697627189769,79.43348888716989,49.233550996439014,75.27111747797112,84.48062838377159,67.3902195903604,49.202392430403414,62.97460083645042,86.60083776391386,77.41757466934202,93.39067162690428,95.1334164261392,52.436411464024324,34.685475080558135,60.13901389115851,40.21528167510871,76.30865441476587,71.81574085507863,54.009336514500305,55.9981161487227

