Class,CLASS2626,CLASS2630,CLASS2636,CLASS2638,CLASS2641,CLASS2644,CLASS2645,CLASS2647,CLASS2648,CLASS2649,CLASS2652,CLASS2653,CLASS2654
CC,0,0,5.098039215686274,0,0,0,0,0,0,0,30.025517436915226,0,0
CD,0,0,0.39215686274509803,0,0.20533880903490762,2.493765586034913,7.017543859649122,0,0,0,0,0.72736393278154,0.3728251864125932
DT,1.1320754716981132,93.82839939789262,0,15.07996953541508,0,0.6483790523690772,47.233468286099864,0,0,0,2.891976183725546,0.5768748432405317,0
EX,5.735849056603773,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0.05016302984700275,0
IN,0,0,8.366013071895424,77.3038842345773,0,0,0,41.14960030452988,0.2967359050445104,0,14.658349872412815,0.2257336343115124,11.64043082021541
JJ,6.415094339622642,1.7059708981435024,1.3725490196078431,0.456968773800457,2.121834360027379,8.5785536159601,0,2.1317091739626948,3.9924467224170486,29.124820659971306,0.1701162461015027,11.060948081264108,0
JJR,0,0,0,0,1.0266940451745379,0.0997506234413965,0,0,0,0,0.05670541536716756,2.1570102834211187,0
JJS,0,0.5017561465127948,0,0,0,0,0,0,0,0.2869440459110474,0.05670541536716756,0.7524454477050414,0
MD,0,0,0,0,20.26009582477755,0,0,0,2.508767197194497,0,0,0,0
NN,1.509433962264151,0.7526342197691922,8.366013071895424,0.456968773800457,2.8062970568104038,13.815461346633418,0,2.77883517320137,3.3180469382249798,47.34576757532281,3.0337397221434648,43.6919989967394,1.532725766362883
NNP,0.1509433962264151,0.15052684395383845,0.5882352941176471,0.38080731150038083,1.3004791238877482,7.630922693266832,0,0.30452988199467074,0.2967359050445104,1.7694882831181253,6.464417351857102,20.692249811888637,16.777133388566696
NNPS,0,0,0,0,0,0,0,0,0.05395198273536552,0,0,0.1003260596940055,0
NNS,0.22641509433962265,0.5519317611640743,4.640522875816994,0.15232292460015232,0,7.531172069825437,0,0.723258469737343,1.2948475856487724,8.417025346724055,0.4536433229373405,9.756709305242037,0.08285004142502071
PRP,59.924528301886795,0,6.928104575163399,0,0,7.581047381546134,5.668016194331984,0,0.21580793094146208,0,0,0,55.13670256835128
PRP$,0,0,0,0,0,0,39.068825910931174,0,0,0,0,0.2257336343115124,0
RB,15.320754716981133,1.7561465127947817,1.1764705882352942,0.15232292460015232,12.320328542094455,25.187032418952622,0,2.436239055957366,10.709468572970056,8.082257293161167,10.12191664303941,1.2289942312515676,0.7870753935376968
RBR,0,0,0,0,0,0.0997506234413965,0,0,0.05395198273536552,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0.2257336343115124,0
RP,0,0,0,0,0,0,0,15.036162923486868,0,0,0,0,0
TO,0,0,0,0,0,0,0,27.788351732013705,0,0,0,0,0
UH,0,0,0,0,0,0.24937655860349126,0,0,0,0,0.396937907570173,0,0
VB,0,0,55.490196078431374,1.0662604722010662,18.275154004106774,1.2468827930174564,0,0.30452988199467074,0.7823037496628,0.1434720229555237,0.5670541536716757,0.4263857536995234,0.2071251035625518
VBD,0,0,1.6339869281045754,1.1424219345011426,1.7796030116358659,7.680798004987531,0,1.1419870574800153,48.71864041003507,0.3347680535628886,17.46526793308761,1.254075746175069,0
VBG,0,0.5519317611640743,2.679738562091503,2.8941355674028943,1.0951403148528405,8.778054862842893,0.20242914979757085,3.7685572896840505,10.115996762881036,0.9086561453849833,0.5103487383045081,1.2289942312515676,0.08285004142502071
VBN,0.1509433962264151,0,0.8496732026143791,0,0.6160164271047228,3.4912718204488775,0,1.446516939474686,7.850013487995684,0.5260640841702534,0.1984689537850865,0.7775269626285428,0
VBP,0,0,1.045751633986928,0.6092916984006093,23.682409308692677,0.24937655860349126,0,0.3806623524933384,1.1329916374426758,0,0.08505812305075135,0.1254075746175069,0
VBZ,0.3018867924528302,0,0,0.30464584920030463,0,1.0473815461346634,0,0.15226494099733537,5.799838144051794,0.5260640841702534,0,0.17557060446450964,0
WDT,3.7735849056603774,0,0,0,0,0.199501246882793,0,0,0,0,0,0,0
WP,4.60377358490566,0,0,0,0,0,0,0,0,0,3.8843209526509783,0,0
WP$,0,0,0,0,0,0.14962593516209477,0,0,0,0,0,0,0
WRB,0,0,0,0,0.13689253935660506,0,0,0,0,0,5.783952367451092,0,0

Focus,58.60406921809228,93.07341189852231,53.43871749000723,76.62319015715804,32.30963423137953,27.900428068558348,51.062032458479166,47.000610502062464,47.714792746060226,51.20933016183138,34.330936585509264,47.07790262401703,54.15229661974125

Adjective,6.415094339622642,2.207727044656297,1.3725490196078431,0.456968773800457,3.1485284052019167,8.678304239401497,0,2.1317091739626948,3.9924467224170486,29.41176470588235,0.28352707683583783,13.970403812390268,0
Adverb,15.320754716981133,1.7561465127947817,1.1764705882352942,0.15232292460015232,12.45722108145106,25.286783042394017,0,2.436239055957366,10.763420555705421,8.082257293161167,15.905869010490502,1.45472786556308,0.7870753935376968
Conjunction,0,0,5.098039215686274,0,0,0,0,0,0,0,30.025517436915226,0,0
Determiner,4.90566037735849,93.82839939789262,0,15.07996953541508,0,0.8478802992518703,47.233468286099864,0,0,0,2.891976183725546,0.5768748432405317,0
GrammarOther,5.735849056603773,0,0,0,20.26009582477755,0,0,15.036162923486868,2.508767197194497,0,0,0,0
Noun,1.8867924528301887,1.455092824887105,13.594771241830063,0.9900990099009901,4.1067761806981515,28.97755610972569,0,3.806623524933384,4.963582411653628,57.532281205164985,9.951800396937907,74.24128417356408,18.392709196354602
Other,0,0,0.39215686274509803,0,0.20533880903490762,2.743142144638404,7.017543859649122,0,0,0,0.396937907570173,0.7775269626285427,0.3728251864125932
Preposition,0,0,8.366013071895424,77.3038842345773,0,0,0,68.93795203654359,0.2967359050445104,0,14.658349872412815,0.2257336343115124,11.64043082021541
Pronoun,64.52830188679246,0,6.928104575163399,0,0,7.730673316708229,44.73684210526316,0,0.21580793094146208,0,3.8843209526509783,0.2257336343115124,55.13670256835128
Verb,0.4528301886792453,0.5519317611640743,61.69934640522875,6.016755521706017,45.44832306639288,22.493765586034907,0.20242914979757085,7.194518462124096,74.39978419206905,2.4390243902439024,18.82619790189963,3.9879608728367195,0.2899751449875725

Focus,62.97460083645042,93.39067162690428,60.13901389115851,76.30865441476587,54.009336514500305,37.61536891738525,61.02697627390178,67.5093496110353,74.82266765527052,62.09326074281566,32.82370207521089,76.62003436977905,63.98259062663158

