Class,to,of,CLASS2388,CLASS2482,CLASS2526,CLASS2529,CLASS2579,CLASS2581,CLASS2583,CLASS2594,CLASS2597,CLASS2599,CLASS2603,CLASS2604,CLASS2606,CLASS2608,CLASS2609,CLASS2611,CLASS2612,CLASS2614,CLASS2615,CLASS2617,CLASS2619,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2629,CLASS2630,CLASS2631,CLASS2632,,Focus
NN,0,0,7.954545454545454,0,0,0,28.638497652582164,7.3138297872340425,0,54.112554112554115,5.902777777777778,67.3076923076923,9.327548806941431,1.2956419316843346,48.421052631578945,54.366812227074234,3.985239852398524,7.7067669172932325,0.48465266558966075,0,9.370424597364568,4.804804804804805,0,6.329113924050633,61.757990867579906,3.080985915492958,1.9522776572668112,2.4437927663734116,3.3932135728542914,5.207100591715976,5.402010050251256,1.2345679012345678,0.18399264029438822,2.2747952684258417,39.38805245264692,,26.945388271326
NNP,0,0,89.54545454545455,0,0.4934210526315789,0,3.5211267605633805,0.39893617021276595,0,6.0606060606060606,0.3472222222222222,2.4475524475524475,27.765726681127983,0.47114252061248524,0.8771929824561403,1.4192139737991267,5.313653136531365,0,0,0,4.392386530014641,0.6006006006006006,0,14.451476793248947,3.5388127853881275,0.6161971830985915,1.4099783080260302,0.19550342130987292,0.6986027944111777,5.9171597633136095,2.386934673366834,5.246913580246913,0.18399264029438822,0.5459508644222021,32.29723166585721,,45.48044770457185
NNPS,0,0,0,0,0,0,0,0.26595744680851063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19426906265177268,,70.55371775799067
NNS,0,0,0,0,0.9868421052631579,0,8.92018779342723,1.0638297872340425,0,21.428571428571427,1.0416666666666665,11.013986013986015,4.121475054229935,0.5889281507656066,5.087719298245614,17.03056768558952,0.14760147601476015,0,0.48465266558966075,0,9.51683748169839,1.6516516516516515,0,1.160337552742616,5.93607305936073,0,1.0845986984815619,2.1505376344086025,1.097804391217565,4.970414201183432,0,0.51440329218107,0,0,10.636231180184556,,27.84688365019898
PRP,0,0,0,0,0,0,24.413145539906104,1.3297872340425532,78.37037037037037,0,0,0,0,0,0,13.973799126637553,0,0,0,0,0.29282576866764276,0,0,0,0,0,0,0,0,12.544378698224854,0,82.51028806584361,0,72.24749772520474,0,,46.016519314534385
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,1.9522776572668112,0,0,0,0,0,0,81.8953323903819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,97.63089867806242
RB,0,0,0,0,0,0,0.9389671361502347,4.654255319148936,21.62962962962963,2.813852813852814,47.91666666666667,1.2237762237762237,0,0.9422850412249705,1.2280701754385965,1.2008733624454149,22.730627306273064,0,0,0,12.445095168374817,0.3003003003003003,0.42796005706134094,43.9873417721519,1.2557077625570776,15.845070422535212,4.3383947939262475,0.7820136852394917,39.321357285429144,1.6568047337278107,0.8793969849246231,0.30864197530864196,0,0.18198362147406735,0.8256435162700341,,33.75602270474299
RBR,0,0,0,0,0,0,0.4694835680751174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19960079840319359,0,0,0,0,0,0,,75.43453833248341
RBS,0,0,0,0,0,0,0,0,0,0,0,1.5734265734265735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.701754385964914,0,0,0,0,0,14.641288433382138,0,0,0,0,0,0,0,0,0,0,0,16.283348666053357,0,0,,56.68462176091752
