Class,to,and,CLASS1281,CLASS2480,CLASS2531,CLASS2541,CLASS2555,CLASS2557,CLASS2576,CLASS2577,CLASS2591,CLASS2598,CLASS2601,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2614,CLASS2615,CLASS2616,CLASS2617,CLASS2619,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,,Focus
NNP,0,0,0,0,24.95446265938069,0,0,0.9803921568627451,0.8547008547008548,7.706422018348624,4.3478260869565215,0.5494505494505495,3.2116788321167884,0.7608695652173914,2.3779724655819776,25.874125874125873,21.983471074380166,0,49.546827794561935,0.37359900373599003,1.3318534961154271,1.0484927916120577,1.6518424396442184,0,4.10958904109589,0,0.8083140877598153,0.44493882091212456,6.5342394145321485,0.8009153318077803,3.3733562035448825,43.225806451612904,2.2388059701492535,1.6074450084602367,,33.98234933904662
NNPS,0,0,0,0,0,0,0,0,0,0.3669724770642202,0,0,0,0,0,0,0,0,0.3021148036253776,0,0.22197558268590456,0,0,0,0,0,0,0,0,0,0,0,0,0,,57.16839052842967
NNS,0,0,0,0,17.850637522768668,0,0,1.400560224089636,0.7122507122507122,18.34862385321101,8.333333333333332,2.0146520146520146,5.839416058394161,2.8260869565217392,3.629536921151439,5.034965034965035,0.3305785123966942,0,9.969788519637463,0,5.216426193118757,0.2621231979030144,24.904701397712834,0,0.45662100456621,0,1.7321016166281753,0.22246941045606228,0.6795608991113434,0.2288329519450801,0.45740423098913663,3.686635944700461,0,7.529610829103214,,28.873915608699985
PRP,0,0,0,0,0,0,0,0,0,0,42.028985507246375,0,0,0,0,0,0,0,0,0,0.22197558268590456,0,0,0,60.54794520547945,56.79862306368331,1.1547344110854503,89.21023359288098,0,0,6.0606060606060606,0,0,0,,48.11323164051366
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.487603305785124,97.47474747474747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,98.46271178118704
RB,0,0,0,0,1.8214936247723135,0,1.6985138004246285,0.42016806722689076,3.9886039886039883,2.7522935779816518,0.36231884057971014,6.41025641025641,1.313868613138686,3.4782608695652173,41.05131414267834,0.6993006993006993,0.3305785123966942,0,0,0.37359900373599003,2.4417314095449503,20.445609436435124,1.3977128335451081,11.827956989247312,19.17808219178082,0.17211703958691912,23.21016166281755,0,17.8254051228437,0.2288329519450801,10.005717552887363,20.737327188940093,6.609808102345416,1.015228426395939,,27.648740106691662
RBR,0,0,0,0,0,0,0,0,0,0,0.36231884057971014,0,0,0,0,0,0,0,0,0,0,0.2621231979030144,0,0,0,0,0,0,0,0,0,0,0,0,,70.57702791434912
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7614213197969544,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74361820199778,0,0,0,0,0,0,0,0,0,0,0,0,9.983079526226735,,78.65808351413841
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
