Class,CLASS2634,CLASS2643,CLASS2644,CLASS2646,CLASS2647,CLASS2649,CLASS2651,CLASS2653,CLASS2654,CLASS2655,CLASS2656,,Focus
NNS,0.8214676889375685,0.18580453363062058,8.751793400286944,0.6436512580456407,4.337492572786691,6.951340615690168,0.7685352622061482,0.2995642701525054,8.21337849280271,0.7407407407407408,0.5833333333333334,,35.43272917109119
PRP,0.43811610076670315,0,0,0,8.9126559714795,9.533267130089374,0,57.870370370370374,0,0,0,,74.64261082372855
PRP$,0,0,0,0,0,28.74875868917577,0,0,0.1905165114309907,0,0,,99.27799575225843
RB,29.518072289156628,1.3006317354143442,15.925394548063126,0.11702750146284377,1.3071895424836601,3.5253227408142997,14.828209764918626,6.672113289760348,4.191363251481795,6.450617283950617,0.4444444444444444,,35.608941791579
RBR,0,0,0,0,0,0.09930486593843098,0,0,0.04233700254022015,0,0,,73.41451575952264
RBS,0,0,0,0,0,0,0,0,0.1905165114309907,0,0,,100.0
RP,5.640744797371303,0,0,0,0,4.965243296921549,0,2.0152505446623095,2.497883149872989,0,0,,47.044511645657344
TO,0,0,0,0,0,0,0,0,0,0,20.27777777777778,,100.0
UH,0,0,0,0,0,0,0,0.5174291938997821,0,0,0,,100.0
VB,1.04052573932092,0,0.3347680535628886,0,51.277480689245394,0.5958291956305859,1.1301989150090417,0,0.3386960203217612,8.487654320987655,0.5555555555555556,,79.48674044181264
VBD,10.514786418400876,0.07432181345224824,5.5954088952654235,0,6.120023767082591,1.2413108242303872,27.93851717902351,0.5446623093681917,0.9949195596951735,47.376543209876544,1.9444444444444444,,48.704575310159335
VBG,14.512595837897043,0.4087699739873653,2.2477283596365374,0,2.3172905525846703,7.745779543197617,1.7179023508137432,0.49019607843137253,1.3336155800169347,3.3950617283950617,2.7777777777777777,,38.22441201637343
VBN,14.184008762322014,0,0.9564801530368245,0,1.7825311942959003,0.893743793445879,0.4972875226039783,0.5718954248366013,0.9737510584250635,0.9259259259259258,1.027777777777778,,61.99581777857818
VBP,1.5881708652792992,0,0.1434720229555237,0,7.07070707070707,0,0.13562386980108498,0.054466230936819175,0.10584250635055038,7.901234567901234,0.5,,56.03404809510546
VBZ,1.6976998904709748,0,1.1477761836441895,0,0.7130124777183601,0.49652432969215493,0.22603978300180833,0.10893246187363835,0.10584250635055038,0.7098765432098766,4.222222222222222,,43.48412581744215
WDT,0.21905805038335158,0,0,0,0,0,0,1.3616557734204793,0,0,0,,85.87030749611463
WP,0,0,0,0.11702750146284377,0,0,6.1030741410488245,1.661220043572985,0,0,0,,78.02117114803741
WP$,0,0,0.1434720229555237,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,4.681100058513751,0,0,5.605786618444846,0,0,0.06172839506172839,0,,66.92447718325018

Focus,37.743670732830616,95.27787133856853,51.116083313521585,65.59441718261468,52.77580300791021,33.98040906046343,39.32434354702494,60.994599719614996,45.987835423826,53.33707008367363,60.638545901114135

