Class,to,of,CLASS2391,CLASS2476,CLASS2511,CLASS2531,CLASS2537,CLASS2543,CLASS2570,CLASS2575,CLASS2579,CLASS2584,CLASS2587,CLASS2591,CLASS2593,CLASS2594,CLASS2600,CLASS2602,CLASS2603,CLASS2605,CLASS2607,CLASS2610,CLASS2611,CLASS2612,CLASS2613,CLASS2615,CLASS2616,CLASS2617,CLASS2618,CLASS2620,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,,Focus
NNP,0,0,88.96551724137932,0,7.142857142857142,0,36.10503282275711,14.285714285714285,0,5.092592592592593,0,0.8905852417302799,34.22131147540984,0,3.7037037037037033,0,23.061630218687874,1.7605633802816902,0,0,0.5889281507656066,0,41.52866242038217,1.7287234042553192,1.03359173126615,1.7391304347826086,0,0.8106543138390272,15.621156211562115,0,1.572617946345976,3.0927835051546393,0.2145922746781116,0.8073817762399077,3.699059561128527,4.192546583850932,0.9623797025371827,5.274971941638609,,35.54385526117558
NNPS,0,0,0,0,0.4761904761904762,0,0,0,0,0,0,0,0.4098360655737705,0,0,0,0,0,0,0,0,0,0.25477707006369427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57.93909296259725
NNS,0,0,0,0,19.28571428571429,0,12.472647702407002,0,1.3513513513513513,12.5,0,0.2544529262086514,13.114754098360656,1.1382113821138211,0,0,0,2.464788732394366,0,0.16189962223421478,1.4134275618374559,0,4.840764331210192,19.9468085106383,0,0.7246376811594203,0.35778175313059035,0.5211349160393747,10.209102091020911,0,7.215541165587419,9.278350515463918,3.3261802575107295,0,3.761755485893417,1.5527950310559007,0.17497812773403326,3.254769921436588,,26.340119487662605
PRP,0,0,0,0,0,0,0,0,0,24.074074074074073,0,0,0,1.3008130081300813,0,0,0,0,72.66483516483517,0,0,0,0,0,0,0,0,0,0,0,0,0.45819014891179843,0,0,14.670846394984327,61.64596273291926,70.16622922134734,0,,47.56543014813258
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.47474747474747,0,0,0,0,0,0,1.1464968152866242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,98.8128889481017
RB,0,0,0,0,2.857142857142857,1.954732510288066,0.6564551422319475,41.81818181818181,51.35135135135135,0.4629629629629629,1.0245901639344261,24.93638676844784,0,2.7642276422764227,0,0,10.73558648111332,1.7605633802816902,0.27472527472527475,0,0.5889281507656066,26.156583629893237,0.25477707006369427,1.0638297872340425,19.638242894056848,22.463768115942027,35.95706618962433,0.8106543138390272,0.984009840098401,20.0,1.1100832562442182,9.163802978235967,0.9656652360515022,1.4994232987312572,1.128526645768025,16.925465838509314,0,12.121212121212121,,26.009591908757336
RBR,0,0,0,0,0,0,0,0,0,0.4629629629629629,0,0,0,0.3252032520325203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70.86425316656066
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8325624421831638,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.028169014084506,0,0,0,0,0,0,0,0,36.314847942754916,0,0,0,10.91581868640148,0,0,0,0,0,0,0,,65.39740670774134
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,1.2987012987012987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0869565217391304,0,0,,70.03798126550754
VB,0,0,0,0,0,0,0,0,0.9009009009009009,0,0.4098360655737705,0.2544529262086514,0,12.195121951219512,42.91938997821351,0,4.970178926441352,0.35211267605633806,0,0,0.35335689045936397,0,0,0.6648936170212766,0.3875968992248062,0,0.35778175313059035,1.5055008685581934,0,0.5755395683453237,0.9250693802035153,0.9163802978235969,0,0.461361014994233,53.29153605015674,0,0.4374453193350831,1.122334455667789,,55.05658946523268
VBD,0,0,0,0,2.857142857142857,0,0.6564551422319475,0,25.675675675675674,0.9259259259259258,69.4672131147541,8.9058524173028,1.639344262295082,3.414634146341464,2.832244008714597,0,0,0,0,0,72.55594817432274,0,0,0.39893617021276595,0.516795865633075,0,4.47227191413238,5.385060799073537,1.4760147601476015,0,0.27752081406105455,3.2073310423825885,80.36480686695279,61.70703575547867,4.326018808777429,0.15527950310559005,0,0.6734006734006733,,38.583887177796434
VBG,0,0,0.45977011494252873,0,2.380952380952381,0,0,1.0389610389610389,2.9279279279279278,14.351851851851851,9.426229508196721,38.54961832061068,0.4098360655737705,3.2520325203252036,1.5250544662309369,0.5050505050505051,1.7892644135188867,4.225352112676056,0,0.5936319481921208,2.5912838633686692,0.5338078291814947,0.3821656050955414,2.393617021276596,0.9043927648578811,0,0.8944543828264758,3.590040532715692,0,0.28776978417266186,0.5550416281221091,12.027491408934708,4.828326180257511,0.8073817762399077,1.8181818181818181,0.4658385093167702,0,1.2345679012345678,,36.264356254678674
VBN,0,0,0,0,0.7142857142857143,0,0,0,2.2522522522522523,2.314814814814815,1.639344262295082,12.977099236641221,1.8442622950819672,4.715447154471545,0.4357298474945534,0,0,6.161971830985916,0,0,0,0,0,0,1.421188630490956,0,18.067978533094813,2.4898668210770123,1.2300123001230012,0,1.0175763182238668,1.8327605956471937,2.7896995708154506,2.306805074971165,0.438871473354232,1.0093167701863355,0,0.6734006734006733,,33.659488540118545
VBP,0,0,0,0,0,0,0.6564551422319475,0,0,0,0.6147540983606558,0,0.4098360655737705,37.72357723577236,31.590413943355124,0,0,0.35211267605633806,0,0,0.23557126030624262,0.5338078291814947,0,0,0,0,0,0.9264620729588882,0.24600246002460024,0,0,0,0.2145922746781116,1.6147635524798154,0.5642633228840125,0,0,0,,63.877047262644105
VBZ,0,0,0,0,0.4761904761904762,0,0,0,1.1261261261261262,0.9259259259259258,0,1.2722646310432568,1.0245901639344261,0.3252032520325203,0,0,0,0,0,0,0.47114252061248524,0,0,1.4627659574468086,0,0,0,0.8106543138390272,0.24600246002460024,0,0,0.9163802978235969,1.2875536480686696,19.953863898500575,0.6269592476489028,0.3105590062111801,0,0,,63.54973703833549
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6504065040650406,0,0,0,0,6.868131868131869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91.52493160445488
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.379120879120878,0,0,0,0,0,0,0.2898550724637681,0,0,0,19.424460431654676,0,0,0,0,0,0,0,0,,74.52731814516915
