Class,to,CLASS2524,CLASS2592,CLASS2596,CLASS2597,CLASS2603,CLASS2613,CLASS2615,CLASS2618,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2629,CLASS2630,CLASS2631,CLASS2634,CLASS2635,CLASS2636,CLASS2637,CLASS2639,CLASS2640,CLASS2641,CLASS2642,,Focus
VBN,0,0,0,0,1.9823788546255507,0.88008800880088,2.4804177545691903,0.5398110661268556,2.272727272727273,1.1786038077969174,0,0,6.337135614702155,0,12.216216216216216,0.8832188420019628,0.26720106880427524,0.5067567567567568,12.684989429175475,0.30441400304414,0.6118286879673691,2.142407057340895,0,1.7081503172279162,0,,36.902554987573794
VBP,0,0,0,0.2777777777777778,0.6607929515418502,0.6600660066006601,0,0,0.1976284584980237,0,0,0,0.6337135614702154,0.21739130434782608,1.0810810810810811,0,0.13360053440213762,0.16891891891891891,3.06553911205074,0.60882800608828,23.52141400407886,0.1260239445494644,0,0.5368472425573451,0,,73.35340421270786
VBZ,0,0,0,1.5277777777777777,0,0.22002200220022,0,0,0,0.3626473254759746,0,0,2.6615969581749046,0.2898550724637681,0,0,0.46760187040748163,0,2.9598308668076108,12.02435312024353,0.13596193065941536,0.2520478890989288,0,1.2201073694485114,0,,55.601978389519005
WDT,0,0,0,0,0,0,0,0,0,0,5.720823798627003,0,0,0,0.43243243243243246,0,0,0,0,0,0,0,0,0,0,,92.94508353322884
WP,0,0,0,0,0,0,0,0,0,0,6.979405034324943,0,0,9.782608695652174,0,0,0,0,0,0,0,0,0.11580775911986102,0,0,,69.74669186709059
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2004008016032064,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13596193065941536,0,11.812391430225826,0,0,,98.82121370242919

Focus,100.0,100.0,86.70264547781233,66.64913114721449,87.12451421838966,75.13647600675776,64.9693409494201,89.2696388164114,59.51884486816878,63.18058161813741,75.84240139377584,93.65190002024656,31.809485595085956,77.23531389722321,33.33311117976303,60.48414833856837,44.96472071466881,49.82151410477101,36.28009335310659,60.9497125409797,41.809945286237046,49.40333685691908,48.37682846113201,78.3844354088623,61.13017597266865

Adjective,0,0,0,6.805555555555555,4.955947136563877,0.44004400440044,60.704960835509134,0,8.003952569169961,8.431550317316411,0,2.2022022022022023,6.844106463878327,0.5072463768115941,2.054054054054054,8.4396467124632,3.5404141616566474,19.425675675675674,10.359408033826638,0.45662100456621,4.146838885112168,14.114681789540013,0.7527504342790967,0.7320644216691069,0,,37.96167509708218
Adverb,0,0,0.38167938931297707,1.3888888888888888,0.22026431718061676,0.77007700770077,20.10443864229765,0,1.7786561264822136,19.492293744333637,0.2288329519450801,1.7517517517517518,11.280101394169835,0.5797101449275363,19.135135135135133,0.49067713444553485,27.25450901803607,0.7882882882882882,18.816067653276956,0,12.3725356900068,6.994328922495274,30.457440648523452,3.5627135187896535,0,,27.29197026100183
Conjunction,0,99.79013641133263,1.3994910941475827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13317892298784,0,0,,89.67432908706814
Determiner,0,0,0,0,0,0,0,0,0,0,7.437070938215104,93.5935935935936,0,0,0.43243243243243246,0,0.7348029392117569,0,0,16.057838660578387,0,1.4492753623188406,5.269253039953677,0,47.233468286099864,,59.704673458949145
GrammarOther,0,0,0,0,0,0,0,0,11.6600790513834,0,8.695652173913043,0,22.0532319391635,0,11.135135135135135,0,0,0,1.5856236786469344,0,20.122365737593473,0,0,3.806734992679356,0,,40.6973366749523
Noun,0,0,2.544529262086514,85.13888888888889,1.2114537444933922,10.561056105610561,9.660574412532638,5.668016194331984,67.4901185770751,7.706255666364461,1.1441647597254003,1.6016016016016015,16.983523447401776,5.6521739130434785,17.18918918918919,82.9244357212954,46.09218436873748,73.42342342342343,11.09936575052854,2.2070015220700148,3.9428959891230453,54.82041587901701,8.396062536189925,3.660322108345534,0,,27.505991509604677
Other,0,0,0.7633587786259541,0,0,0,0,0,2.8656126482213438,1.2692656391659112,0,0,1.1406844106463878,0,0,0,3.674014696058785,0,0,0,0.20394289598912305,0.1260239445494644,0,0,7.017543859649122,,47.43317056106822
Preposition,100.0,0,4.198473282442748,0,86.89427312775331,0.33003300330033003,0,89.3387314439946,0,0.1813236627379873,0,0,5.196451204055767,0,0,0,0.26720106880427524,0,0,58.143074581430746,0,0,42.32773595830921,0.634455832113226,0,,41.429041826028055
Pronoun,0,0,0,0,0,0,0,0,0,60.10879419764279,82.49427917620137,0,0.25348542458808615,67.89855072463769,11.45945945945946,0,0.2004008016032064,0.5067567567567568,0.8456659619450317,0.15220700152207,0,9.325771896660367,0.11580775911986102,0,44.73684210526316,,43.66507436481691
Verb,0,0,80.91603053435115,3.4722222222222223,6.277533039647578,86.35863586358636,7.310704960835508,4.993252361673414,5.434782608695652,2.085222121486854,0,0.6506506506506506,30.79847908745247,1.3043478260869565,37.4054054054054,4.121687929342492,16.366065464261858,1.5202702702702702,53.38266384778012,22.146118721461185,45.41128484024473,9.451795841209831,0.5211349160393747,85.50512445095168,0.20242914979757085,,28.101511524805534

Focus,100.0,100.0,88.69233128865179,86.91795976248852,86.17584024185764,86.97976971357318,61.738938386707964,88.43370343400854,67.26949723780945,59.53566698585851,81.22391523291967,93.1300828205211,35.81104485214491,88.52642295862235,39.11085681849534,85.38234360240075,50.37097501088225,76.78644155690839,55.00536609200043,59.666837678259576,53.441590422670636,54.792406136752525,47.64665465347323,86.09583483164165,61.02697627390178

