Class,to,CLASS1215,CLASS2474,CLASS2481,CLASS2524,CLASS2551,CLASS2554,CLASS2565,CLASS2579,CLASS2587,CLASS2593,CLASS2594,CLASS2598,CLASS2601,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2611,CLASS2612,CLASS2613,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,,Focus
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27816411682892905,0.2047082906857728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24096385542168677,,56.531615179164916
NNS,0,0,0,0,0,0.4291845493562232,0,0,0.9523809523809524,0,0.8968609865470852,11.945812807881774,3.3566433566433567,2.5225225225225225,1.2060301507537687,0.16129032258064516,0,1.7467248908296942,9.17941585535466,7.778915046059365,23.684210526315788,0,1.6666666666666667,1.4634146341463417,0.682261208576998,4.723346828609987,0.21390374331550802,0,7.35873850197109,1.2372634643377,0,3.1928480204342273,10.648148148148149,0.22246941045606228,0.5528255528255528,11.686746987951807,,28.227385477030914
PRP,0,0,0,0,0,0,0,98.3679525222552,0,0,0,0,0,0,0,0,0,0,0.5563282336578581,0,0,0,0,0,0.7797270955165692,0,0,0,13.66622864651774,0,75.9493670886076,29.88505747126437,0,89.21023359288098,0,0,,48.598651421070066
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.8953323903819,0,0,0,0,0,0,0,0,0,0.9625668449197862,0,0,0,0,0,0,0,0,0,,98.81192396336547
RB,0,0,0,0,0,2.1459227467811157,1.5355086372360844,0,14.047619047619047,0.43859649122807015,25.112107623318387,1.354679802955665,2.3776223776223775,0.36036036036036034,0.5025125628140703,0,0,19.65065502183406,26.842837273991655,1.2282497441146365,1.6290726817042605,0,0.30303030303030304,43.577235772357724,2.923976608187134,0,17.326203208556148,16.57271702367531,4.862023653088042,12.081513828238718,0.23014959723820483,1.1494252873563218,23.61111111111111,0,20.14742014742015,1.4457831325301205,,26.409366042790637
RBR,0,0,0,0,0,0,0,0,0.4761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2628120893561104,0,0,0,0,0,0,0,,72.70420915664482
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9211873080859775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,36.57657657657658,0,0,0,0,0,12.077789150460594,0,0,0,12.032520325203253,0,0,0,0,0,0,0,0,0,0,0,0,,65.28716058310353
TO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,1.1210762331838564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85995085995086,0,,70.33134761744331
