Class,the,to,CLASS2236,CLASS2405,CLASS2483,CLASS2554,CLASS2558,CLASS2582,CLASS2592,CLASS2593,CLASS2594,CLASS2600,CLASS2604,CLASS2608,CLASS2609,CLASS2614,CLASS2616,CLASS2618,CLASS2619,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,CLASS2634,CLASS2635,,Focus
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906344410876133,0,0,0,0,0,,100.0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96798493408663,0,24.0990990990991,0,,80.05055375852268
TO,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.701093560145808,0,0,0,0,0,0,0,0,0,0,0,0.4708097928436911,0,0,0,,80.59041345395961
VB,0,0,0,0,0,0,0,3.7037037037037033,0,0,0.6369426751592357,0,2.922077922077922,0.7036059806508356,0.482315112540193,0,0.6075334143377886,0,0.6060606060606061,12.121212121212121,0,0.2333722287047841,60.960202147820596,1.4592274678111588,0,1.0084033613445378,1.0070493454179255,0,0.3766478342749529,0.5988023952095809,0.5255255255255256,0,,69.79400227072358
VBD,0,0,0,1.76678445229682,0,4.6137339055794,2.386117136659436,9.25925925925926,0,12.815126050420167,78.47133757961784,0,11.363636363636363,73.26297273526825,10.77170418006431,0.2557544757033248,0,0,4.393939393939394,1.0647010647010646,0.39473684210526316,86.23103850641773,4.042956411876184,0,0,3.1932773109243695,0.8056394763343404,1.1757789535567313,2.0715630885122414,1.1976047904191618,0.45045045045045046,0,,42.14995973211645
VBG,0,0,0,0.35335689045936397,0,1.6094420600858368,1.0845986984815619,23.045267489711936,0.37926675094816686,2.3109243697478994,1.5286624203821657,1.4657980456026058,17.37012987012987,10.29023746701847,3.376205787781351,0.8951406649616368,0.24301336573511542,0.34904013961605584,14.09090909090909,0.7371007371007371,1.5789473684210527,0.8168028004667445,1.6424510423247,0,0,1.680672268907563,2.5176233635448138,0.6466784244562023,9.322033898305085,3.2335329341317367,6.081081081081082,0.2074688796680498,,29.414161460340573
VBN,0,0,0,0,0,0.7510729613733905,1.0845986984815619,3.4979423868312756,0,0.42016806722689076,0,0,13.636363636363635,3.342128408091469,2.4115755627009645,0.2557544757033248,0.850546780072904,0,24.545454545454547,0.5733005733005733,0.2631578947368421,0.4667444574095682,0.4421983575489577,0,0,1.2324929971988796,2.920443101711984,0.11757789535567313,3.2015065913371,2.5149700598802394,0.37537537537537535,0,,43.46881337848934
VBP,0,0,0,0,0,0.4291845493562232,0,0.411522633744856,0,0,0,0,4.707792207792208,0.9674582233948988,0.482315112540193,0,0,0,0,21.048321048321046,0,0.2333722287047841,6.506632975363234,0.2575107296137339,0,0.5602240896358543,0.2014098690835851,0.29394473838918284,0,0.23952095808383234,0.15015015015015015,0,,60.24083309363175
VBZ,0,0,0,0,0,1.502145922746781,0.43383947939262474,1.2345679012345678,0,0,0,0,5.032467532467533,1.8469656992084433,0.964630225080386,0,0,0,0,0,1.4473684210526316,0.2333722287047841,0,0,0,8.96358543417367,0.5035246727089627,0,0.7532956685499058,0,0,0,,44.45636047333383
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6430868167202572,0,6.075334143377885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90.62562435470957
WP,0,0,0,0,0,0,0,0,0,0.42016806722689076,0,0,0,0,0,0,7.411907654921021,0,0,0,0,0,0,11.587982832618025,0,0,0,0,0,0,0,0,,69.72294118851555
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482315112540193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100.0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16380016380016382,0,0,0,17.510729613733904,0,0,0,0,0,0,0,0,,99.04767759426004

Focus,100.0,100.0,97.8355595155081,97.47654080374294,100.0,70.33978602751783,62.50637492520055,31.27156711163438,75.54728015915857,59.14942823031719,87.0704444491458,81.79067497378428,31.03342966007474,74.33350856743789,53.66392450465809,71.8336182204076,46.16343896000743,58.13964100043175,54.05433019010327,42.444482231037476,67.0374626838722,88.79459383436719,62.00460283601205,39.476212897364555,99.23886423841178,77.94746106884394,67.40859677310395,48.86143058372963,33.55954201043674,65.16912785696994,55.713297949969366,67.03510772925051

Adjective,0,0,0,0.35335689045936397,0,9.120171673819742,4.1214750542299345,7.613168724279835,0,0.42016806722689076,0.5095541401273885,7.166123778501628,9.415584415584416,0.8795074758135445,15.755627009646304,10.61381074168798,0.24301336573511542,5.061082024432809,3.1818181818181817,4.75020475020475,6.447368421052631,0,1.2002526847757422,1.3733905579399142,0,3.0252100840336134,9.969788519637461,23.280423280423282,5.932203389830509,61.197604790419156,0.22522522522522523,0,,33.677342565469424
Adverb,0,0,2.130044843049327,0,0,1.8240343347639485,0.6507592190889371,7.613168724279835,0,2.3109243697478994,0.3821656050955414,5.700325732899023,16.071428571428573,2.0228671943711523,49.356913183279744,17.774936061381077,0.3645200486026731,0.34904013961605584,46.96969696969697,14.660114660114662,1.3157894736842104,0,1.010739102969046,46.00858369098712,0,0.5602240896358543,2.0140986908358514,0.7642563198118754,23.540489642184557,19.281437125748504,1.0510510510510511,0,,30.86304945599792
