Class,the,on,and,she,it,what,as,for,that,at,all,not,CLASS63,CLASS252,CLASS1252,CLASS1269,CLASS1975,CLASS2094,CLASS2114,CLASS2160,CLASS2232,CLASS2330,CLASS2353,CLASS2356,CLASS2380,CLASS2394,CLASS2407,CLASS2416,CLASS2417,CLASS2418,CLASS2430,CLASS2434,CLASS2436,CLASS2444,CLASS2445,CLASS2447,CLASS2462,CLASS2466,CLASS2470,CLASS2476,CLASS2478,CLASS2479,CLASS2481,CLASS2482,CLASS2486,CLASS2487,CLASS2488,CLASS2490,CLASS2491,CLASS2493,CLASS2496,CLASS2497,CLASS2498,CLASS2500,CLASS2503,CLASS2508,CLASS2510,CLASS2513,CLASS2514,CLASS2515,CLASS2516,CLASS2517,CLASS2518,CLASS2519,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2525,CLASS2527,CLASS2528,CLASS2529,CLASS2530,CLASS2532,CLASS2533,CLASS2534,CLASS2535,CLASS2537,CLASS2541,CLASS2542,CLASS2546,CLASS2547,CLASS2548,CLASS2549,CLASS2551,CLASS2552,CLASS2554,CLASS2555,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2565,CLASS2566,CLASS2567
NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.391608391608392,0,0,6.395348837209303,33.52601156069364,9.6045197740113,8.3710407239819,0.9009009009009009,11.11111111111111,79.69924812030075,16.48936170212766,33.57664233576642,4.195804195804196,14.074074074074074,12.101910828025478,76.95652173913044,4.477611940298507,17.582417582417584,71.7948717948718,3.0534351145038165,5.0228310502283104,63.05418719211823,0,0,46.391752577319586,59.63855421686747,12.5,0.7299270072992701,3.821656050955414,2.5773195876288657,8.51063829787234,0,0,21.052631578947366,0,0,0,70.09803921568627,78.79924953095684,79.73856209150327,18.181818181818183,14.220183486238533,5.025125628140704,23.004694835680752,0,59.89010989010989,8.61344537815126,1.7751479289940828,3.535353535353535,0,0,0,4.166666666666666,0,51.173708920187785,9.734513274336283,45.0281425891182,2.956989247311828,57.77777777777777,6.25,9.35672514619883,13.65079365079365,1.4851485148514851,1.312910284463895,0.425531914893617,12.652068126520682,3.10077519379845,11.952191235059761,0,30.913978494623656,2.11864406779661,1.0,0,0,2.459016393442623,0,0,37.68115942028986,0,78.65168539325843,33.282208588957054,13.258426966292136
NNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2738853503184715,0,0,0,1.3986013986013985,0,0,0,54.91329479768786,3.954802259887006,89.14027149321268,0,43.05555555555556,2.2556390977443606,4.787234042553192,42.33576642335766,0,5.185185185185185,7.006369426751593,1.7391304347826086,2.2388059701492535,2.197802197802198,0,3.816793893129771,0,4.926108374384237,0,0,0,0,6.785714285714286,0,7.643312101910828,0,82.97872340425532,72.99270072992701,0,0,0,0,0.7504690431519699,0,3.0018761726078798,7.18954248366013,39.82683982683983,0,0,0,2.8688524590163933,2.7472527472527473,18.487394957983195,0.39447731755424065,0,1.4308426073131957,0,0,0,3.508771929824561,0,0,4.878048780487805,1.3440860215053763,7.222222222222221,0,0.5847953216374269,27.936507936507937,1.9801980198019802,0.87527352297593,0.425531914893617,0,0,0.796812749003984,0,5.10752688172043,0.847457627118644,0,0,0,2.0491803278688523,1.509433962264151,0,42.89855072463768,0.5970149253731344,0,32.36196319018405,0.44943820224719105
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8658008658008658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37523452157598497,0,0,0,0.5847953216374269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2738853503184715,0,0,0,0,0,0,0,0,2.2598870056497176,0,0,6.25,4.511278195488721,18.085106382978726,15.328467153284672,0,5.185185185185185,8.280254777070063,10.434782608695652,1.4925373134328357,1.6483516483516485,24.358974358974358,0,0.91324200913242,7.8817733990147785,0,0,36.08247422680412,17.46987951807229,2.142857142857143,0,0,0,2.127659574468085,0,0,0,0,0,0.37523452157598497,3.431372549019608,3.0018761726078798,3.2679738562091507,23.809523809523807,0,1.0050251256281406,6.572769953051644,0,11.538461538461538,1.2605042016806722,0,1.0101010101010102,0.9538950715421303,0,0,4.166666666666666,0,5.633802816901409,0,18.19887429643527,3.225806451612903,11.11111111111111,14.00862068965517,2.3391812865497075,0,0.9900990099009901,0,0,0,0,0.796812749003984,0,21.774193548387096,0,1.0,0,3.9911308203991127,0.819672131147541,1.8867924528301887,0,7.246376811594203,0,11.985018726591761,9.509202453987731,1.7977528089887642
PRP,0,0,0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.61538461538461,89.72602739726028,95.06493506493506,0,0,0,0,0,0,0,0,0,0,65.92592592592592,2.547770700636943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14285714285714,0,0,0,81.80112570356472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.844827586206897,0,0,0,0,0,0,0,0,0,15.86021505376344,0,0,0,0,0,0,0,0,0,0,0,1.7977528089887642
PRP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.27354260089686,0,0,0,0,0,0,0,0,6.569343065693431,42.857142857142854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.15914489311164,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,97.45222929936305,0,98.06451612903226,3.0303030303030303,0,0,4.935064935064935,80.81395348837209,0,0,0,0,0,0,6.382978723404255,0,6.293706293706294,0,8.9171974522293,0.8695652173913043,26.119402985074625,1.098901098901099,0,2.2900763358778624,47.48858447488584,1.9704433497536946,0,0,0,0,28.92857142857143,2.9197080291970803,0,1.0309278350515463,2.127659574468085,0,0,0,0,0,0,1.4705882352941175,1.6885553470919326,0,0,0,67.33668341708542,0.9389671361502347,0,1.6483516483516485,35.714285714285715,0,46.464646464646464,0,0,0,0,0,0,0,2.6266416510318953,24.193548387096776,1.6666666666666667,1.9396551724137931,0,5.396825396825397,1.4851485148514851,8.752735229759299,0.425531914893617,0.48661800486618007,17.05426356589147,2.788844621513944,0,0.5376344086021506,1.694915254237288,67.0,1.5873015873015872,5.764966740576496,0.819672131147541,5.283018867924529,0.576923076923077,1.4492753623188406,50.14925373134328,1.8726591760299627,2.7607361963190185,2.0224719101123596
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5376344086021506,0,0,0,0,0,0,0,0,0,0,0,0.44943820224719105
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.945054945054945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.74178403755869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.68217054263566,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0
