Class,the,on,and,she,it,what,as,for,that,at,all,not,CLASS63,CLASS252,CLASS1252,CLASS1269,CLASS1975,CLASS2094,CLASS2114,CLASS2160,CLASS2232,CLASS2330,CLASS2353,CLASS2356,CLASS2380,CLASS2394,CLASS2407,CLASS2416,CLASS2417,CLASS2418,CLASS2430,CLASS2434,CLASS2436,CLASS2444,CLASS2445,CLASS2447,CLASS2462,CLASS2466,CLASS2470,CLASS2476,CLASS2478,CLASS2479,CLASS2481,CLASS2482,CLASS2486,CLASS2487,CLASS2488,CLASS2490,CLASS2491,CLASS2493,CLASS2496,CLASS2497,CLASS2498,CLASS2500,CLASS2503,CLASS2508,CLASS2510,CLASS2513,CLASS2514,CLASS2515,CLASS2516,CLASS2517,CLASS2518,CLASS2519,CLASS2521,CLASS2522,CLASS2523,CLASS2524,CLASS2525,CLASS2527,CLASS2528,CLASS2529,CLASS2530,CLASS2532,CLASS2533,CLASS2534,CLASS2535,CLASS2537,CLASS2541,CLASS2542,CLASS2546,CLASS2547,CLASS2548,CLASS2549,CLASS2551,CLASS2552,CLASS2554,CLASS2555,CLASS2556,CLASS2557,CLASS2558,CLASS2559,CLASS2560,CLASS2561,CLASS2562,CLASS2563,CLASS2564,CLASS2565,CLASS2566,CLASS2567
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.956043956043956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9174311926605505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.015873015873018,0,18.161925601750546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Focus,0,0,0,0,0,0,0,0,0,0,0,0,99.45355191256833,0,96.1783439490446,98.84393063583816,96.12903225806451,74.5163468670682,79.69471638558787,79.45205479452056,90.12987012987014,74.41860465116281,52.507380043854766,63.61579412147906,85.79365304771184,97.29729729729726,40.124829333124225,75.85940800158286,23.60887342677889,45.13759075544616,62.60466483581073,60.0,17.787804144145316,74.61938709247559,34.78879130749553,47.36521881749084,68.49082250868246,40.64004372360607,45.541589179633455,57.91128758761042,89.97822379724312,0,44.11208778396001,52.69276798516797,41.69306523046354,57.57279187084118,68.18857329980165,38.65463883156928,79.82741305123821,64.09379836813646,14.285714285714215,60.860063822025765,48.65077746704721,87.23893117565399,77.31857327477735,67.31857587203882,75.82430372554856,75.96615932474712,37.43608543063209,31.643619135450546,64.29390281327912,36.88128034064096,92.6256709306083,55.836180244286325,36.51665591990964,95.27558237917779,49.04528191546002,92.04114587024718,55.34028644179742,43.97624647771152,82.10340653362779,92.42634094822351,53.61188070163549,75.49014921326005,44.63886791715549,39.81520693600429,54.06900026931753,44.646933736073,60.90784986469428,36.11635152182444,44.393962864668055,41.214409580518534,79.34327548329658,76.80205810906686,72.96299295838831,48.108291466379896,62.85387515441832,34.39408907027738,56.38714568249489,67.17528205015977,70.85661659928601,63.14576260924113,52.080414721999844,51.18170548426018,90.23104793713924,51.01092433720771,50.64520225522343,75.09956359033087,41.37250070637026,27.36199770862788

Adjective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5151515151515151,0,0,0,0,10.404624277456648,1.1299435028248588,0,0.9009009009009009,35.41666666666667,3.7593984962406015,8.51063829787234,0,2.797202797202797,0,10.828025477707007,5.6521739130434785,32.83582089552239,1.098901098901099,2.564102564102564,0,7.76255707762557,2.955665024630542,0,0,0,18.67469879518072,3.571428571428571,4.37956204379562,0,0,0,20.43795620437956,0,65.13157894736842,1.3888888888888888,92.71523178807948,0,14.705882352941178,11.069418386491558,0,6.0606060606060606,13.302752293577983,10.552763819095476,3.755868544600939,0,2.7472527472527473,6.0924369747899165,0,33.33333333333333,0.3179650238473768,0,0,0,95.17543859649123,32.863849765258216,83.6283185840708,10.50656660412758,7.795698924731183,17.777777777777775,3.2327586206896552,1.461988304093567,0.6349206349206349,0,0.87527352297593,2.127659574468085,0.48661800486618007,0,0.796812749003984,0,4.032258064516129,1.2711864406779663,28.333333333333332,0,0.6651884700665188,2.459016393442623,16.22641509433962,0,2.6086956521739126,4.477611940298507,5.617977528089887,12.423312883435582,14.831460674157304
Adverb,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,97.45222929936305,0,98.06451612903226,3.0303030303030303,0,0,4.935064935064935,80.81395348837209,0,0,0,0,0,0,6.382978723404255,0,6.293706293706294,0,8.9171974522293,0.8695652173913043,26.119402985074625,45.05494505494506,0,2.2900763358778624,47.48858447488584,1.9704433497536946,0,0,0,0,28.92857142857143,2.9197080291970803,0,1.0309278350515463,2.127659574468085,0,0,0,0,0,0,1.4705882352941175,1.6885553470919326,0,0,0.9174311926605505,67.33668341708542,0.9389671361502347,0,6.593406593406594,35.714285714285715,0,46.464646464646464,0,0,0,0,0,0,0,2.6266416510318953,24.193548387096776,1.6666666666666667,1.9396551724137931,0,18.412698412698415,1.4851485148514851,26.914660831509845,0.425531914893617,0.48661800486618007,17.05426356589147,2.788844621513944,0,1.0752688172043012,1.694915254237288,67.0,1.5873015873015872,5.764966740576496,0.819672131147541,5.283018867924529,0.576923076923077,1.4492753623188406,50.14925373134328,1.8726591760299627,2.7607361963190185,2.471910112359551
Conjunction,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.36123348017621,0,0,0,0,0,0,0,0,0,0,1.2698412698412698,5.445544554455446,37.41794310722101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Determiner,100.0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,10.273972602739725,0,6.395348837209303,0,0,0,0,0,0,0,0,0,0,8.280254777070063,0,29.850746268656714,0,0,0,0,0,0,100.0,0,0,1.4285714285714286,0,0,25.773195876288657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.57407407407408,0,0,0,0,0,0,0,0,28.888888888888886,0,0,0,0,0,0,2.137767220902613,0,0,0,0,0,6.147540983606557,0,0,0,0,0,3.52760736196319,0
GrammarOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.954198473282442,0,0,0,0,0,0,0,0,0,39.175257731958766,0,0,0,0,54.166666666666664,0,0,0,0,0,0,0,0,34.74178403755869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.68217054263566,0,0,0,50.0,0,74.28571428571429,0,0,0,0,0,8.358208955223882,0,0,3.3707865168539324
Noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.547770700636943,0,0,0,9.79020979020979,0,0,6.395348837209303,88.4393063583815,15.819209039548022,97.51131221719459,0.9009009009009009,60.41666666666667,86.46616541353384,39.361702127659576,91.24087591240875,4.195804195804196,24.444444444444443,27.388535031847134,89.1304347826087,8.208955223880597,21.42857142857143,96.15384615384616,6.870229007633588,5.93607305936073,75.86206896551724,0,0,82.4742268041237,77.10843373493975,21.428571428571427,0.7299270072992701,11.464968152866241,2.5773195876288657,93.61702127659575,72.99270072992701,0,21.052631578947366,0,0,1.125703564727955,73.52941176470588,84.8030018761726,90.19607843137256,82.68398268398269,14.220183486238533,6.030150753768845,29.577464788732396,2.8688524590163933,74.17582417582418,28.361344537815125,2.1696252465483234,4.545454545454545,2.384737678855326,0,0,8.333333333333332,3.508771929824561,56.80751173708919,9.734513274336283,68.48030018761725,7.526881720430107,76.11111111111111,20.25862068965517,12.865497076023392,41.58730158730159,4.455445544554456,2.1881838074398248,0.851063829787234,12.652068126520682,3.10077519379845,13.545816733067728,0,57.795698924731184,2.966101694915254,2.0,0,3.9911308203991127,5.327868852459016,3.3962264150943398,0,87.82608695652173,0.5970149253731344,90.6367041198502,75.15337423312883,15.505617977528091
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508474576,2.0361990950226243,0,0,0,0,0,0,0,5.7324840764331215,0,0,0,0,0,0,14.285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.663865546218487,0,0,0,0,0,0,0,0.9389671361502347,0,0,0,0,0,0,4.444444444444445,0,0,0,0,0,0,24.70308788598575,0,0,0,0,0,0,0,0,0,0.8955223880597015,0,0,0
Preposition,0,100.0,0,0,0,0,100.0,100.0,100.0,100.0,0,0,99.72677595628416,0,0,99.22928709055877,0,0,0,0,0,0,0,0,0,98.1981981981982,0,0,0,0,0,0,0,0,0,29.120879120879124,0,0,0,0,0,0,0,3.0120481927710845,0,2.5547445255474455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.248826291079812,0,0,0,96.05522682445759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6349206349206349,38.11881188118812,26.477024070021884,0.851063829787234,0.9732360097323601,0,49.40239043824701,0,0,0,0,0,0,54.50819672131148,53.20754716981132,0,0,0,0,0.6134969325153374,0
Pronoun,0,0,0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,84.61538461538461,89.72602739726028,95.06493506493506,0,0,0,0,0,0,0,0,0,0,65.92592592592592,2.547770700636943,0,0,1.098901098901099,0,0,0,0,93.27354260089686,0,0,0,1.0714285714285714,0,0,31.443298969072163,0,6.569343065693431,100.0,0,0,0,81.80112570356472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.844827586206897,0,0,0,0,0,0,0,0,73.15914489311164,15.86021505376344,0,0,0,0,0,0,0,0,0,0,0,1.7977528089887642
Verb,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0.7707129094412332,1.935483870967742,95.45454545454545,0,0,0,0,0,79.66101694915254,0.4524886877828055,0,0,1.5037593984962405,37.765957446808514,8.75912408759124,85.31468531468532,8.148148148148149,30.573248407643312,4.3478260869565215,0,0,0,45.80152671755725,37.89954337899543,0,1.345291479820628,0,11.855670103092784,0,42.85714285714286,80.65693430656934,88.53503184713374,0,1.4184397163120568,0,0,11.18421052631579,44.44444444444444,0,0,9.313725490196079,0.5628517823639775,2.6143790849673203,0.8658008658008658,63.76146788990826,12.060301507537687,10.7981220657277,2.0491803278688523,9.34065934065934,18.067226890756302,1.3806706114398422,12.121212121212121,94.2766295707472,64.75770925110133,100.0,5.092592592592593,0,6.572769953051644,0,9.193245778611631,59.13978494623656,1.1111111111111112,49.35344827586208,82.16374269005847,2.857142857142857,16.831683168316832,5.689277899343545,93.82978723404256,83.45498783454987,1.1627906976744187,33.46613545816733,0,18.010752688172044,43.220338983050844,2.0,1.9047619047619049,88.02660753880266,30.73770491803279,20.37735849056604,94.61538461538461,4.3478260869565215,6.268656716417911,1.1235955056179776,2.3006134969325154,57.52808988764045

Focus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.20212692550999,99.1466109405063,97.86836636487243,95.00320853355552,89.0755926737587,89.17096254782936,94.64375746751973,85.29141243935217,88.9215852454329,78.94366992571241,97.25571598789531,98.00515504717713,69.44433942441124,93.71863495351201,54.2384932066621,90.68639302591342,85.33231109912003,68.00298247571797,37.10136987743062,88.1655085609501,45.810690121286754,52.61339185255365,97.14829718314083,60.67145355023973,56.343826375064054,78.92767654247838,98.43036368868012,100.0,86.93716396073988,77.87603681612038,49.37602710224107,87.28191870790498,88.00187724588119,49.38898755524862,95.9763810254502,72.94442848250682,100.0,67.2801695584249,65.92306485676875,100.0,98.50094311763156,73.22271409580672,85.63321411220755,96.9105520306668,91.65470528041043,68.55108400781623,68.63965532013306,42.59811442558368,67.81419786518724,78.46752778296273,42.7765895689715,96.06999394427405,54.71392065713818,96.93379149250462,70.4763334761884,100.0,85.57290099053189,96.11435804120799,63.307965831790945,89.02008155298901,74.02617017097339,60.695022516018284,78.47020169923617,53.213705140563896,84.53042841019742,47.250837591938904,58.34062583700902,45.80981143612739,95.2047038881928,84.40620096772335,78.12169108430463,55.30200035927155,74.28977110152144,59.63135493248225,61.972197332857604,69.69102008550266,95.05765219086192,88.48176488073744,57.62760800670662,54.35108950550922,99.32842548112978,90.42701770778294,69.00321828635072,90.53152731724164,76.1758409133595,59.21464743927106

