Class,and,CLASS2600,CLASS2602,CLASS2604,CLASS2606,CLASS2626,CLASS2627,CLASS2630,CLASS2632,CLASS2633,CLASS2635,CLASS2636,CLASS2638,CLASS2640,CLASS2641,CLASS2642,CLASS2644,CLASS2645,CLASS2646,CLASS2647
Focus,0,63.64324105010278,72.83675292480031,66.27303992339006,45.592359107903,58.60406921809228,63.2618398249259,93.07341189852231,68.17681733097855,44.117345441775115,30.095310858221996,53.43871749000723,76.62319015715804,43.46653779078069,32.30963423137953,52.292508305204855,27.900428068558348,51.062032458479166,42.54830233238815,47.000610502062464

Adjective,0,6.398996235884567,0.24067388688327318,6.593406593406593,14.833005893909625,6.415094339622642,1.008827238335435,2.207727044656297,0,0,0.4388370817334065,1.3725490196078431,0.456968773800457,4.804392587508579,3.1485284052019167,43.585780525502315,8.678304239401497,0,16.37209302325581,2.1317091739626948
Adverb,0,1.0037641154328731,0.36101083032490977,2.564102564102564,1.768172888015717,15.320754716981133,3.278688524590164,1.7561465127947817,1.6351118760757317,0,30.608886450905104,1.1764705882352942,0.15232292460015232,12.800274536719288,12.45722108145106,12.442040185471406,25.286783042394017,0,0.8837209302325582,2.436239055957366
Conjunction,100.0,0,1.3237063778580023,0,0,0,0,0,0,0,9.599561162918267,5.098039215686274,0,0,0,0,0,0,0,0
Determiner,0,0,0,0,2.259332023575639,4.90566037735849,0,93.82839939789262,0,0,5.595172792100932,0,15.07996953541508,0,0,0,0.8478802992518703,47.233468286099864,0,0
GrammarOther,0,0,0,0,0,5.735849056603773,0,0,0,0,0,0,0,3.1914893617021276,20.26009582477755,0,0,0,0,15.036162923486868
Noun,0,86.4491844416562,2.888086642599278,78.63247863247864,73.57563850687623,1.8867924528301887,7.818411097099622,1.455092824887105,1.1187607573149743,34.424920127795524,17.93746571585299,13.594771241830063,0.9900990099009901,4.186684969114619,4.1067761806981515,39.721792890262755,28.97755610972569,0,72.88372093023256,3.806623524933384
Other,0,0,0,3.5409035409035408,0.19646365422396855,0,0,0,0,0.7188498402555911,0.7679648930334613,0.39215686274509803,0,0,0.20533880903490762,0,2.743142144638404,7.017543859649122,0,0
Preposition,0,0,9.265944645006016,0,0.3929273084479371,0,0,0,0,22.44408945686901,24.136039495337354,8.366013071895424,77.3038842345773,0.3774879890185312,0,0,0,0,0.23255813953488372,68.93795203654359
Pronoun,0,0,0,0,0,64.52830188679246,0,0,69.01893287435456,42.25239616613419,7.515085024684585,6.928104575163399,0,0.27453671928620454,0,0,7.730673316708229,44.73684210526316,0.4186046511627907,0
Verb,0,3.5131744040150563,75.45126353790614,5.616605616605616,3.2416502946954813,0.4528301886792453,85.49810844892811,0.5519317611640743,0.4302925989672977,0.1597444089456869,2.029621503017005,61.69934640522875,6.016755521706017,71.37954701441319,45.44832306639288,1.7774343122102008,22.493765586034907,0.20242914979757085,3.7209302325581395,7.194518462124096

Focus,100.0,87.81737186884409,83.14697627189769,79.43348888716989,75.27111747797112,62.97460083645042,86.60083776391386,93.39067162690428,95.1334164261392,52.436411464024324,34.685475080558135,60.13901389115851,76.30865441476587,71.81574085507863,54.009336514500305,55.9981161487227,37.61536891738525,61.02697627390178,76.47520269648724,67.5093496110353

