Class,CLASS2640,CLASS2644,CLASS2649,CLASS2650,CLASS2651,CLASS2652,CLASS2654,CLASS2655,CLASS2656,CLASS2657
CC,0,0,0,8.24102791315906,0,0,0,0,22.70773638968481,0
CD,0,3.477523324851569,0,0,0,0,0.20898641588296762,0.26455026455026454,0,2.624274539490285
DT,0,0.46649703138252757,0,0.664599025254763,0.3966505068312032,0.8237716975581053,3.2044583768721697,0,9.765998089780323,59.47514509210195
EX,0,0,3.622497616777884,0,0,0,0,0,0,0
FW,0,0,0,0,0.08814455707360071,0,0,0,0,0
IN,6.548739179525781,0.16963528413910092,0,11.431103234381922,0,13.20976757869962,35.45802856147684,0.26455026455026454,26.599808978032474,0.40373454453696694
JJ,0.940910801656003,9.754028837998304,0,3.9875941515285778,11.987659762009697,3.2068255369226244,5.572971090212469,20.01763668430335,0.5491881566380133,0.47943477163764825
JJR,0,0.46649703138252757,0,0,1.23402379903041,1.7652250661959399,0,0.058788947677836566,0.09551098376313276,0
JJS,0,0.8057675996607293,0,0,1.101806963420009,0,0.06966213862765587,0.058788947677836566,0,0
MD,11.930748964998118,0,0,0,0,2.118270079435128,0,0,0,0
NN,2.408731652239368,41.85750636132315,1.3822688274547188,6.867523260965884,36.579991185544294,7.002059429243896,2.612330198537095,29.276895943562607,0.9789875835721109,3.6336109008327027
NNP,0.301091456529921,9.245122985581,0.7626310772163966,23.65972529906956,22.653151167915382,0.4707266843189173,0.38314176245210724,7.113462669018225,3.36676217765043,0.12616704516780217
NNPS,0,0.08481764206955046,0,0.08861320336730173,0.08814455707360071,0,0,0,0,0
NNS,0.9785472337222431,10.05089058524173,0.2859866539561487,0.664599025254763,8.285588364918468,1.7358046484260075,0.8359456635318705,6.466784244562023,0.5730659025787965,2.2457734039868784
PRP,0.07527286413248024,0,89.27550047664442,11.165263624280017,0,0.23536334215945864,3.239289446185998,4.350382128159906,0,2.498107494322483
PRP$,0,0,0,0.39875941515285773,0,0,1.8460466736328804,0,0,13.272773151652789
RB,5.457282649604817,4.071246819338422,0.47664442326024786,15.3300841825432,5.7293962097840465,13.857016769638127,5.781957506095437,14.256319811875368,3.1279847182425975,0.45420136260408783
RBR,0,0,0,0,0,0.05884083553986466,0.06966213862765587,0,0,0
RBS,0,0.38167938931297707,0,0,0,0,0,0,0,0
RP,2.785095972901769,0,0,0,0,3.471609296852015,0,2.9394473838918285,2.4594078319006685,0
TO,0,0,0,0,0,0,25.426680599094393,0,0,0
UH,0,0,0,0.8418254319893663,0,0,0,0,0,0
VB,4.554008280015054,0.9754028837998304,0.19065776930409914,0.8418254319893663,2.1154693697664166,14.298323036187114,1.1494252873563218,0.7642563198118754,2.053486150907354,9.86626293212213
VBD,42.867896123447494,3.3502968617472435,0.09532888465204957,1.5064244572441292,1.762891141472014,12.709620476610766,7.871821664925113,3.5567313345091125,14.08787010506208,1.6654049962149888
