Class,the,CLASS3004,CLASS3027,CLASS3030,CLASS3031,CLASS3033,CLASS3035,CLASS3036,CLASS3037,CLASS3038,CLASS3039,CLASS3040
CC,0,0,0,0,50.86483023702755,0,0,0,0,5.890682526196545,0,0
CD,0,0,0,0,0,0,0.11009174311926606,0,2.011407985589913,0,0.6477048718670797,2.6582625376815567
DT,100.0,0,0,0,0,0,0.5504587155963303,0,0,0,3.4356519290340746,30.063030967388325
EX,0,0,0,0,0,0,2.5688073394495414,0,0,0,0,0
FW,0,0,0.0927643784786642,0,0,0.07339449541284404,0,0,0,0,0,0
IN,0,7.348438456827925,0.0927643784786642,0,0,75.08256880733944,0.14678899082568808,0.45801526717557256,0,12.064570943075616,9.096029287524642,0.1644286105782406
JJ,0,0.7960808328230252,0.13914656771799627,0.3575685339690107,0.19218449711723257,2.3486238532110093,0.3669724770642202,12.099236641221374,11.708195737015911,0.2548853016142736,6.364404393128696,15.401479857495204
JJR,0,0,0.0927643784786642,0,0,0,0,0.15267175572519084,0.45031522065445817,0,2.2528865108420164,0.0822143052891203
JJS,0,0,0.0927643784786642,0,0,0,0,0.07633587786259542,0.9006304413089163,0.3115264797507788,0,0.054809536859413546
MD,0,0,3.6178107606679033,15.01787842669845,0,0,0,0,0,0.8779382611158312,0.42241622078287805,0
NN,0,5.939987752602572,5.7977736549165115,0.6555423122765197,0,2.165137614678899,1.3577981651376148,55.76335877862595,36.11528069648754,4.361370716510903,6.814981695297099,6.330501507262263
NNP,0,2.449479485609308,1.6233766233766231,0.17878426698450536,0,0.29357798165137616,2.385321100917431,3.0534351145038165,24.046832782948062,30.671197960917585,13.292030413967895,1.2332145793368046
NNPS,0,0,0.0927643784786642,0,0,0,0,0.07633587786259542,0,0.05664117813650524,0,0
NNS,0,0.4898958971218616,1.855287569573284,0.11918951132300357,0.12812299807815503,0.6972477064220184,0.14678899082568808,11.068702290076336,11.317922545782046,0.33984706881903143,1.5488594762038863,1.5894765689229924
PRP,0,6.491120636864666,0.3710575139146568,0,0,0,68.8440366972477,0,0,0,0.11264432554210081,6.19347766511373
PRP$,0,0,0,0,0,0,2.238532110091743,0,0.2701891323926749,0,0,14.031241436009868
RB,0,0.9797917942437232,2.1335807050092765,7.628128724672228,0.38436899423446513,0.44036697247706424,0.22018348623853212,7.595419847328245,1.2008405884118885,5.975644293401302,22.472542945649113,11.674431351055084
RBR,0,0,0,0,0,0,0,0,0,0,0.11264432554210081,0
RBS,0,0,0,0,0,0,0,0,0.2701891323926749,0,0,0
RP,0,0,0,0,0,7.376146788990826,0,0,3.5424797358150704,0,0,1.78130994793094
TO,0,0,0,42.908224076281286,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0.11328235627301048,0.14080540692762603,0
VB,0,56.15431720759339,0.3710575139146568,3.9928486293206196,0.12812299807815503,0.9174311926605505,0.22018348623853212,0.4961832061068702,0.7505253677574302,2.237326536391957,1.3235708251196845,0.0822143052891203
VBD,0,6.246172688303735,67.94990723562152,2.3241954707985695,42.53683536194747,3.0091743119266057,0.07339449541284404,0.8396946564885497,0.570399279495647,0.5664117813650524,5.012672486623487,3.3707865168539324
VBG,0,4.286589099816289,5.148423005565863,0.29797377830750893,0.6406149903907752,2.7522935779816518,0.25688073394495414,2.1755725190839694,0.8105673971780245,0.3964882469555367,11.15178822866798,2.027952863798301
VBN,0,1.7146356399265157,1.7161410018552876,1.6090584028605484,0.12812299807815503,1.4678899082568808,0,0.8015267175572519,0.6904833383368358,0.11328235627301048,7.406364404393129,0.6577144423129624
VBP,0,5.388854868340478,0.2319109461966605,12.097735399284863,0.12812299807815503,0.5137614678899083,0.07339449541284404,0,0.09006304413089163,1.7275559331634098,0.9856378484933821,0.13702384214853383
VBZ,0,0.2449479485609308,6.354359925788497,0.11918951132300357,0,1.0642201834862384,0.07339449541284404,0.6870229007633588,0.06004202942059442,0.16992353440951571,0.7321881160236553,0.822143052891203
WDT,0,0,0,0,0,0,1.6880733944954127,0.15267175572519084,0,0,0,0
WP,0,0,0,0,0,0,2.0183486238532113,0,0,0.05664117813650524,2.787947057166995,0
WP$,0,0.1837109614206981,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,4.333050127442651,0,0

Adjective,0,0.7960808328230252,0.3246753246753247,0.3575685339690107,0.19218449711723257,2.3486238532110093,0.3669724770642202,12.32824427480916,13.059141398979285,0.5664117813650524,8.617290903970712,15.538503699643739
