Class,CLASS3038,CLASS3041,CLASS3042,CLASS3044,CLASS3045,CLASS3046
CC,5.890682526196545,18.525431637890808,0,0,0,0
CD,0,0.0699953336444237,1.8430552916587497,0,1.1258611997983532,0.2908079403211531
DT,0,0.34997666822211854,51.51054531635949,0,0,1.542546466051334
EX,0,1.6332244517032197,0,0,0,0
FW,0,0,0,0.05216484089723526,0,0.025287646984448093
IN,12.064570943075616,0.09332711152589827,0.11400342010260307,0.05216484089723526,0.20164678205343642,31.470476672145658
JJ,0.2548853016142736,0.30331311245916937,10.67832034961049,0.2347417840375587,11.880356242648295,3.8310785181438862
JJR,0,0,0.057001710051301537,0.05216484089723526,0.31927407158460763,1.011505879377924
JJS,0.3115264797507788,0,0.03800114003420103,0.05216484089723526,0.537724752142497,0
MD,0.8779382611158312,0,0,8.607198748043817,0,0.18965735238336073
NN,4.361370716510903,0.863275781614559,4.389131673950219,3.5472091810119983,44.76558561586288,5.032241749905171
NNP,30.671197960917585,1.516565562295847,0.8550256507695231,0.99113197704747,14.804234582423122,6.574788215956505
NNPS,0.05664117813650524,0,0,0.05216484089723526,0.033607797008906065,0
NNS,0.33984706881903143,0.1399906672888474,1.1020330609918298,1.0954616588419406,11.208200302470173,1.036793526362372
PRP,0,43.770415305646296,4.294128823864716,0.20865936358894105,0,1.3908205841446455
PRP$,0,1.4232384507699487,9.728291848755463,0,0.1512350865400773,0
RB,5.975644293401302,0.2799813345776948,8.094242827284818,4.538341158059469,4.0161317425642755,10.443798204577064
RBR,0,0,0,0,0,0.050575293968896186
RBS,0,0,0,0,0.1512350865400773,0
RP,0,0,1.2350370511115334,0,1.9828600235254579,2.5414085219370337
TO,0,0,0,18.779342723004692,0,0
UH,0.11328235627301048,0,0,0,0,0.06321911746112024
VB,2.237326536391957,0.18665422305179655,0.057001710051301537,1.9561815336463224,0.6385481431692153,12.504741433809585
VBD,0.5664117813650524,15.538964069062061,2.3370701121033632,39.22796035472092,0.6889598386825744,4.577064104185106
VBG,0.3964882469555367,0.39664022398506765,1.406042181265438,3.025560772039645,1.4115274743740547,6.8403085092932105
VBN,0.11328235627301048,0.04666355576294914,0.4560136804104123,1.6692749087115284,0.7393715341959335,4.18510557592616
VBP,1.7275559331634098,0.09332711152589827,0.09500285008550256,5.425143453312467,0.050411695513359105,1.7322038184346946
VBZ,0.16992353440951571,0.04666355576294914,0.5700171005130154,3.625456442357851,0.33607797008906065,0.7459855860412189
WDT,0,1.0732617825478301,0,0,0.06721559401781213,0
WP,0.05664117813650524,1.2832477834811011,0,0,0,1.2517385257301807
WP$,0,0,0,0,0,0.03793147047667214
WRB,4.333050127442651,0,0,0,0,0

Adjective,0.5664117813650524,0.30331311245916937,10.77332319969599,0.33907146583202924,12.737355066375398,4.84258439752181
Adverb,10.308694420843953,0.2799813345776948,8.094242827284818,4.538341158059469,4.167366829104353,10.49437349854596
Conjunction,5.890682526196545,18.525431637890808,0,0,0,0
Determiner,0,1.4232384507699487,51.51054531635949,0,0.06721559401781213,1.542546466051334
GrammarOther,0.8779382611158312,1.6332244517032197,1.2350370511115334,8.607198748043817,1.9828600235254579,2.7310658743203944
Noun,35.42905692438402,2.519832011199253,6.346190385711572,5.685967657798644,70.81162829776508,12.643823492224048
Other,0.11328235627301048,0.0699953336444237,1.8430552916587497,0.05216484089723526,1.1258611997983532,0.3793147047667214
Preposition,12.064570943075616,0.09332711152589827,0.11400342010260307,18.831507563901926,0.20164678205343642,31.470476672145658
Pronoun,0.05664117813650524,46.47690153989735,14.022420672620179,0.20865936358894105,0.1512350865400773,2.6804905803514982
Verb,5.210988388558482,16.308912739150724,4.921147634429033,54.929577464788736,3.864896656024197,30.58540902768997
