Class,CLASS4721,CLASS12461,CLASS12469,CLASS12492,CLASS12493,CLASS12502,CLASS12505,CLASS12510,CLASS12522,CLASS12525,CLASS12526,CLASS12527,CLASS12528,CLASS12531,CLASS12532,CLASS12533,CLASS12536,CLASS12537,CLASS12538,CLASS12539,CLASS12540,CLASS12541,CLASS12542,CLASS12543,CLASS12544
CC,0,91.99205823957644,0,0,0,0,0,0,0,0,0,0,2.0761245674740483,0.009508414947228297,0,12.562893081761006,0,0,0,0,0,0,0,0,1.727827845516483
CD,0,0,16.722448003825004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.196042514217555,0
DT,0,0,10.160172125268947,0,0,0,0,0,0,0,0,0,0,0,0,1.1383647798742138,98.18615459882584,0,0,0,0,0,1.2239176147085782,0.49628320092014744,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.515913687145353
FW,0,0,0,0,0,0,0,0.010698619878035734,0,0,0,0,0,0.006338943298152199,0,0,0,0.025828113901982308,0,0,0,0,0,0,0
IN,99.98846431146359,0,0,74.49950960595396,0.016608536787908985,0,3.1745235707121364,0.010698619878035734,0,3.5412913624727413,0.033876486330837764,0.06304110279902496,96.99016861646619,0.006338943298152199,25.718397265818233,34.46855345911949,0,0.051656227803964616,0,0.008830801836806781,0.009160585056032245,44.85750989696668,0.18331805682859761,5.912798994653773,0
JJ,0,0.09404716291058553,11.767869949796797,0,3.0172175164701325,17.903930131004365,14.844533600802407,0.805962697478692,25.305246947530524,0.09955437565184412,1.3448965073342594,0.13448768597125327,0,2.972964406833381,0.08994018977380043,0.60062893081761,1.3613013698630136,0.13236908374765932,0.04305396096440872,26.51301071470623,3.0016183700265655,0.2700364418110794,0.5957836846929423,2.7902617734137043,0.06283010347332665
JJR,0,0,0,0,0.03321707357581797,0.011644832605531294,0.11033099297893681,1.4264826504047645,0,0,0,0,0,0.009508414947228297,0,0,0,0,0,0.1059696220416814,0,0,0,0.012779824916398647,0
JJS,0,0,0,0,0.01107235785860599,0.1106259097525473,0,0.13908205841446453,0,0.13273916753579218,0.07452826992784309,0.0714465831722283,0,0.006338943298152199,1.1557314385933353,0,0,3.570736746949054,0,0.25020605204285884,0.07328468044825796,0,0.03504609909958484,0.23642676095337492,0
MD,0,0,0,0,0,0,0,0.3494882493491673,0,0,0,0,0,0,0,0.7421383647798742,0,53.96784399819203,0,0,0,0,0,0,0
NN,0,0.07663102163084747,0,0.011538683436219927,9.284172064441123,60.02328966521107,8.229689067201605,3.8729003958489354,0,7.551910495875605,49.09041634201701,9.914264100193327,0,22.20531837342715,3.4896793632234564,2.650943396226415,0,13.201394718150707,14.541475315729047,49.058047804073944,57.882683440715745,2.7868809480114307,2.7713376826440936,58.618926920701185,18.582003102236357
NNP,0,0.224668222508621,0,0,69.57869678348004,3.138282387190684,1.514543630892678,0.6347847794301201,0,0.6305110457950128,27.710965818625294,0.17231234765066825,0.021969572142582522,66.6096161769833,15.186401043306203,6.2075471698113205,0.04647749510763209,0.1355975979854071,0.4879448909299655,6.3140233133168495,0.3267275336651501,0.3958786671210969,1.6983878794414191,0.4217342222411553,0.5477999646580668
NNPS,0,0,0,0,0.07750650501024194,0.21542940320232895,0,0,0,0,0.531860835394153,0,0,0.012677886596304398,0,0.0220125786163522,0,0,0,0.42682208877899447,0.006107056704021496,0,0.005391707553782283,0.023429679013397518,0
NNS,0,0.003483228255947612,0,0,3.443503294026463,10.91703056768559,0.9729187562688065,0.5170999607717272,0,0.15170190575519105,20.149734069582305,0.029419181306211652,0.0054923930356456305,4.947545244207791,0.14840131312677068,0.27044025157232704,0.004892367906066536,0.006457028475495577,0.8646670493685419,11.983398092546803,34.83770496809063,0.015730278163752196,0.08896317463740767,25.625678928198685,0.02945161100312187
PDT,0,0,0,0,0,0,0,0,0,0,0,0,0.0054923930356456305,0,25.27769033592661,0,0,0,0,0,0,0,0,0,0
PRP,0,0,0,0,0.01107235785860599,0,0,0,0,0,0,0,0,0.703622706094894,0,0,0,0,80.56472445464983,0,0,0,0,0,69.91812452141131
PRP$,0,0,50.645469758546504,0,0,0,0,0,72.96227037729622,0,0,0,0,0.006338943298152199,0,0,0,0,0,0,0,0,0,0,0
RB,0,7.577763070814031,0,0,1.6829983945081104,2.887918486171761,8.575727181544634,1.487108163046967,0,0.1848866976391391,0.09146651309326197,0.06724384298562663,0,0.7638426674273399,2.374421010028331,24.4874213836478,0.3632583170254403,0.3648221088655001,3.465843857634902,1.3569998822559755,0.3786375156493328,5.1490443856015515,19.27535450477166,0.09584868687298984,0.021597848068956038
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0222536206287534,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0.4607202140993937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0.016608536787908985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.526177804577511,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6054846236531,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13836477987421383,0,0,0,0,0,0,0,0,0
VB,0,0.003483228255947612,0,0,2.9286386536012845,0.6812227074235808,1.8304914744232699,29.467565350736425,0,6.4283682563762214,0.02032589179850266,0.15970412709086323,0,0.03169471649076099,0.8949048882493142,8.28930817610063,0.00611545988258317,0.4616775359979337,0.01076349024110218,0.11480042387848816,0.03664234022412898,0.007865139081876098,71.81215290882622,0.025559649832797293,0.00981720366770729
VBD,0,0.003483228255947612,0,0,7.667607817084648,0.12227074235807861,14.378134403209627,37.648443350807746,0,64.61078979804684,0.05759002676242421,40.36731949230899,0.13730982589114077,0.2694050901714684,6.003507667401179,0.031446540880503145,0.00611545988258317,6.40860076192936,0,0.014718003061344636,1.8351705395584599,0.057677686600424716,0.7494473499757374,0.13418816162218578,0.7382537158115882
VBG,0,0,0,0,0.7141670818800864,1.2343522561863174,0.8124373119358075,5.295816839627688,0,1.0429506020669383,0.17615772892035636,0.01681096074640666,0.7497116493656286,1.0427561725460366,1.281647704276656,5.506289308176101,0.025684931506849314,0.051656227803964616,0.02152698048220436,1.212763452254798,0.873309108675074,0.25168445062003514,0.3369817221113927,1.1970436005026732,0.003926881467082916
VBN,0,0,0,0,1.079554891214084,2.6491994177583695,44.71414242728184,11.629399807424843,0,5.437565184412629,0.2506859988481995,0.058838362612423305,0,0.3106082216094577,0.18437738903629086,0.040880503144654086,0,0.1420546264609027,0,0.5592841163310962,0.48245747961769825,0.052434260545840654,0.2938480616811344,0.17891754882958102,0.003926881467082916
VBP,0,0.024382597791633286,0,0,0.04982561036372695,0,0.1905717151454363,0.681145465568275,0,6.575329477576562,0.006775297266167553,13.579053542909977,0,0.019016829894456595,0.008994018977380041,0.04716981132075472,0,20.020016788274038,0,0.014718003061344636,0.006107056704021496,0.007865139081876098,0.3747236749878687,0.004259941638799549,0
VBZ,0.011535688536409518,0,0,0.023077366872439855,0.38753252505120966,0.09315866084425035,0.6519558676028084,6.016190578082094,0,3.612401630795487,0,35.366058670253004,0.013730982589114078,0.06655890463059808,0.19337140801367092,0.06289308176100629,0,0.8620133014786596,0,0.04415400918403391,0.24428226816085988,0.01048685210916813,0.5553458780395751,0.023429679013397518,0
WDT,0,0,0,25.465874343737376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.435715249359176,0,0,0,0,0,0,0,0,0,3.8385266340735504
WP$,0,0,0,0,0,0,0,0,1.7324826751732483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.556819714889599,2.7264150943396226,0,0,0,0,0,0,0,0,0
