Class,CLASS3034,CLASS3037,CLASS3041,CLASS3043,CLASS3044,CLASS3046
CC,0,0,0,0,0,7.2487882514649495
CD,0,2.011407985589913,0,2.672176308539945,0,0.18809230991825218
DT,0,0,0,74.6831955922865,0,0.9911017868769443
EX,0,0,0,0,0,0.5064023728568328
FW,0.06913238852402351,0,0,0.055096418732782364,0,0
IN,72.31247839612858,0,0.35863717872086076,0,0.053319114902692616,6.02618823699631
JJ,2.4196335983408224,11.708195737015911,23.759713090257023,1.1019283746556474,0.23993601706211676,2.1630615640599005
JJR,0,0.45031522065445817,0.11954572624028689,0.055096418732782364,0,0.6004485278159589
JJS,0,0.9006304413089163,0.11954572624028689,0.055096418732782364,0,0.07957751573464517
MD,0,0,0,0,8.797653958944283,0.33277870216306155
NN,2.0394054614586934,36.11528069648754,45.51703526598924,2.6997245179063363,1.5729138896294321,4.904868697099038
NNP,0.27652955409609403,24.046832782948062,2.6001195457262405,0.7162534435261708,0.4265529192215409,12.254937423135354
NNPS,0,0,0.059772863120143446,0,0.053319114902692616,0.014468639224480937
NNS,0.6567576909782233,11.317922545782046,8.726838015540944,0.9917355371900827,0.6131698213809651,0.8681183534688562
PRP,0,0,0,0.27548209366391185,0,15.987846343051437
PRP$,2.1085378499827168,0.2701891323926749,0,14.104683195592285,0,0
RB,0.48392671966816453,1.2008405884118885,10.430364614465033,1.487603305785124,4.505465209277526,9.129711350647472
RBR,0,0,0,0,0,0.028937278448961875
RBS,0,0.2701891323926749,0,0,0,0
RP,6.947805046664363,3.5424797358150704,0,0,0,0.47023077479563047
TO,0,0,0,0,19.19488136496934,0
UH,0,0,0,0,0,0.06510887651016421
VB,0.8641548565502939,0.7505253677574302,0.47818290496114757,0,3.225806451612903,7.270491210301672
VBD,2.9035603180089873,0.570399279495647,0.7770472205618649,0,40.38922953878966,7.7551906243217825
VBG,2.834427929484964,0.8105673971780245,1.7632994620442317,0.4132231404958678,3.039189549453479,3.971641467120017
VBN,1.38264777048047,0.6904833383368358,0.9563658099222951,0.13774104683195593,1.626233004532125,2.2281704405700644
VBP,0.5530591081921881,0.09006304413089163,0,0,5.545187949880033,1.3817550459379295
VBZ,1.0024196335983409,0.06004202942059442,0.5379557680812911,0,3.705678485737137,0.4919337336323519
WDT,0,0,0.11954572624028689,0,0,0.33277870216306155
WP,0,0,0,0,0,1.128553859509513
WP$,0,0,0,0,0,0.021702958836721405
WRB,0,0,0,0,0,1.1068509006727918

Adjective,2.4196335983408224,13.059141398979285,23.998804542737595,1.212121212121212,0.23993601706211676,2.8430876076105047
Adverb,0.48392671966816453,1.4710297208045633,10.430364614465033,1.487603305785124,4.505465209277526,10.265499529769226
Conjunction,0,0,0,0,0,7.2487882514649495
Determiner,0,0,0.11954572624028689,74.6831955922865,0,1.3238804890400058
GrammarOther,6.947805046664363,3.5424797358150704,0,0,8.797653958944283,1.3094118498155247
Noun,2.9726927065330107,71.48003602521766,56.90376569037657,4.40771349862259,2.6659557451346307,18.04239311292773
Other,0.06913238852402351,2.011407985589913,0,2.7272727272727275,0,0.2532011864284164
Preposition,72.31247839612858,0,0.35863717872086076,0,19.248200479872033,6.02618823699631
Pronoun,2.1085378499827168,0.2701891323926749,0,14.380165289256198,0,17.13810316139767
Verb,9.540269616315245,2.9720804563194236,4.51285116557083,0.5509641873278237,57.53132498000534,23.099182521883815
