Class,CLASS1396,CLASS12468,CLASS12479,CLASS12485,CLASS12492,CLASS12496,CLASS12515,CLASS12516,CLASS12521,CLASS12524,CLASS12525,CLASS12530,CLASS12531,CLASS12532,CLASS12533,CLASS12534,CLASS12536,CLASS12537,CLASS12538,CLASS12539,CLASS12540,CLASS12541,CLASS12542,CLASS12543,CLASS12544
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,77.80537039457442,0,0,0.007445461990916536,0,0,0,0,0,0,0,12.632479075432096
CD,0,0,0,13.688845401174168,0,0,13.820681913848745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DT,0,97.87177004989202,0,79.55479452054794,0,0,1.634628876104953,0,0,0,1.4193266014318318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9380425487808038
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.823724334640633,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0.006845798391237378,0,0,0,0.014573718727228565,0,0.010456422857740367,0,0.0049636413272776915,0,0,0,0,0.006706683209818584,0,0,0
IN,99.98846431146359,0,0,0,74.51670609960182,0.017176228100309172,19.47523502174828,0,0.051343487934280334,0.2980779113989105,1.9789289398818273,0.03835238168290251,3.2547971824143795,13.055664473779752,0.23526951429915827,0,66.64681210135755,0,0.00935132944733643,0,0,0.08048019851782301,0.007702083413563369,53.11836818790564,19.37757508227307
JJ,0,1.6516494154441879,25.633725704900083,3.3414872798434443,0,1.597389213328753,7.787287778869089,0.5717916137229987,0.09584117747732329,0.4779525131051496,2.8730421733829368,0.33750095880954206,6.038377459315035,0.1031092522400848,1.8899984315365714,0,0.05211823393641576,2.95085604407795,2.297309934228983,20.60860300972167,18.520523034291653,0.06371349049327654,0.03851041706781684,0.20809724940764399,0.8058873830685912
JJR,0,0,2.233780454421024,0,0,0,0.014031149151115476,0.042354934349851756,0,0,0,0.007670476336580502,0.009715812484819043,0,0.02875516285878601,0,0,0,0.01870265889467286,0,0.0822653273294077,0,0,0,0
JJS,0,0,0.21899808376676702,0,0,0.011450818733539448,0.021046723726673214,0,0.13349306862912888,0.010278548668927948,0,0.10355143054383677,0,0.002904485978593938,0.16991687143828096,0,0.03970913061822153,0.07765410642310396,0.3428820797356691,0,0.11906823692414271,3.6953824486100397,0,0,0.6244979399341816
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8743137972499608,0,0,0,0,0,0,53.97873981422487,0,0,0.6115415511388665
NN,0,0.010425199195770347,46.230495483164525,2.8767123287671232,0,6.870491240123669,43.18787708713344,0.96004517859664,8.807119630326888,1.588035769349368,21.21174227029731,68.75431464293933,4.964780179742531,0.0755166354434424,7.2489151461285095,19.951343302363625,0.18861837043655225,58.266464519469,70.14743929428634,0,36.60374090751645,13.765467288152644,15.334848076404667,2.2272586793035956,7.17524811484543
NNP,0.005767844268204759,0.002978628341648671,0.9362168081029292,0.04892367906066536,0,69.76983854345585,0.5261680931668303,0.042354934349851756,0.24987164128016429,0.4162812210915819,59.49917153843749,0.6980133466288256,0.34976924945348553,0.1742691587156363,0.8495843571914049,0.49705333361296955,13.503586230858957,0.3771770883407906,0.33041364047255384,0,22.88708001385521,0.08048019851782301,0.7856125081834636,0.045328113732358094,8.100334274830919
NNPS,0,0,0,0,0,0.09160654986831558,0.014031149151115476,0,0,0,0.006252540094413356,0.24545524277057607,0,0,0,0,0.014890923981833072,0,0.015585549078894048,0,0.6083304468306201,0,0,0,0.007773833277188982
NNS,0,0.002978628341648671,5.568026279770052,0.05870841487279843,0,3.4352456200618344,8.96590430756279,0.12706480304955528,0.08214958069484854,0.04111419467571179,4.336136555475663,27.82848814911406,0.2671848433325237,0.005808971957187876,0.44439797145396553,0.010486357249218767,0.054600054600054605,36.26816551418111,25.7130388703594,0,17.516020090058884,0,0.08857395925597875,0.4223756052333368,0.2202586095203545
PDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005228211428870183,0,13.95031395031395,0,0,0,0,0,0,0,0
PRP,0,0,0,0,0,0.011450818733539448,0,0,0,0,0.6940319504798824,0,0,0,0,74.68383632893605,0,0,0,0,0,0,81.86544460276505,2.4662614608014835,0
PRP$,0,0,0,0,0,0,0,0,0,0,0.006252540094413356,0,0,0,0,0,0,0,0,72.37981089359435,0,0,0,0,0
RB,0,0.4467942512473006,5.869148644949357,0.3033268101761253,0,1.8493072254666207,0.3928721762312333,0.6423831709727517,0.21221975012835873,0.24154589371980675,0.7034107606215024,0.061363810692644016,4.736458586349284,6.311448031484628,0.41825691430961465,0.01887544304859378,0.09679100588191497,0.4807158969049292,0.0062342196315576205,0,1.6236577762383095,23.852318835719792,1.8369468941348635,5.0458432059338625,21.61903034386256
RBR,0,0,3.7612920886942236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0.5215923908874741,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,0,0,0,0,0.017176228100309172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.272380756155352,0
TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.981868754507055,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11401622139877174
VB,0,0.002978628341648671,0,0.009784735812133072,0,0.973319592350853,0.5051213694401572,95.86333474516448,0.22591134691083348,87.44475280090451,5.3678056710538655,0,1.0784551858149138,2.445577193976096,11.65368327495164,0.008389085799375013,0.4417640781277145,0.022186887549458273,0.04363953742090334,0,0.29225839972289575,0.1307803225914624,0.011553125120345054,0,2.627555647689876
VBD,0.005767844268204759,0.0074465708541216775,3.290446208595675,0.009784735812133072,0,12.658880109927859,0.4981057948645994,1.2141747846957505,33.18500770152319,0.6681056634803166,0.33451089505111453,0.04985809618777326,27.301433082341507,0,57.920740314738325,0,3.43980343980344,0.03328033132418741,0.012468439263115241,0,0.058451679944579144,0.3386875020958385,0,0.03296590089626043,1.4744370449068436
VBG,0,0.002978628341648671,1.2537640295647414,0.1076320939334638,0,1.04202450475209,1.5714887049249333,0.16236058167443174,0.08557247989046722,0.23126734505087881,0.9628911745396568,1.2732990718723631,0.568375030361914,0,3.4270925916244055,0.00629181434953126,1.3104013104013106,0.6508153681174426,0.9943580312334404,0,0.5000865950813994,0.07377351530800443,0.02310625024069011,0.17307097970536725,5.801870902542044
VBN,0,0,4.911032028469751,0,0,1.2538646513225695,1.5364108320471446,0.3247211633488635,0.017114495978093443,0.09250693802035154,0.5408447181667553,0.06519904886093426,50.42992470245324,0,5.520991268886913,0,0.034745489290943836,0.5361831157785749,0.05299086686823977,0,1.1755282299965362,0.010060024814727876,0,0.006181106418048831,0.023321499831566946
VBP,0,0,0.010949904188338352,0,0,0.02862704683384862,0.021046723726673214,0.04941409007482705,24.583262022933425,7.431390687634906,0.028136430424860102,0.007670476336580502,0.03400534369686665,0.02033140185015757,4.130287028807445,0,0.02233638597274961,0,0.0062342196315576205,0,0.008659508139937652,3.22256128231783,0.007702083413563369,0,0.031095333108755927
