Class,CLASS12547,CLASS12557,CLASS12558,CLASS12560,CLASS12562,CLASS12563
CC,49.2020067677907,0,0,0.0033276024624258223,0,0
CD,0,0,0,3.1035438966224835,0,1.2342430393704733
DT,0.3047189346621997,73.0169394354716,0.4017622360741105,0,0.21803337735622524,0.14597899907275144
EX,0,0,0,0,1.104574378676912,0
FW,0,0,0.0017243014423781566,0,0.005282747028454797,0
IN,25.470967524705802,0,74.912276164119,0.9372746935832732,0.0874054508344339,1.751121469563692
JJ,0.10522062660987558,5.546746929671334,0.016380863702592487,3.5982474627031227,1.9651818945851842,8.883417286920784
JJR,0,0,0,0.00887360656646886,0.19690238924240602,0.03571160063153146
JJS,0.20707419316823517,0,0.018105165144970643,0.00443680328323443,0.5762996758314323,0.15913590456857882
MD,0.1986565430394451,0,0,0,8.074918957858086,0
NN,1.0160103705449586,0.004478962314011089,0.06983420841631534,15.526593089678887,10.492496097970944,54.83798210660853
NNP,2.6397750803885587,0.051060170379726426,4.548707204993577,34.354167822084186,0.7559130747988955,6.989449414830966
NNPS,0.005892355090153033,0,0.003448602884756313,0.015528811491320505,0.0009604994597190539,0.2205347968824399
NNS,0.07155002609471539,0.0017915849256044361,0.012932260817836175,2.5345238755476682,0.13446992436066754,22.336666416058943
PDT,0,0,4.846149203803809,0,0.0009604994597190539,0
PRP,0,0,0.0017243014423781566,25.021352115800568,17.15884259815104,0
PRP$,0,19.474528141320217,0,0.002218401641617215,0,0
RB,8.519503695348407,0.0017915849256044361,0.11207959375458018,7.078919638400532,4.461039740665146,0.7035811843721023
RBR,0,0,0,0,0,0.4304187655063529
RBS,0,0,0,0,0,0.08520662606821543
RP,0,0,0,4.456768898008985,0,0
TO,0,0,11.708868944468872,0,0,0
UH,0.03282883550228118,0,0,0.005546004104043037,0,0
VB,1.7626559369686359,0.0035831698512088722,0.17156799351662658,0.22073096334091288,18.09340857245768,0.1315690549582738
VBD,0.3207124699069008,0,2.136409487106536,0.49581276690144754,18.61592027854484,0.519384507430519
VBG,0.6633108301486557,0.012541094479231053,0.48970160963539644,2.169596805501636,0.8092207948133029,0.8877778613136856
VBN,0.0016835300257580094,0,0.038796782453508524,0.34828905773390273,6.515548085004203,0.5594817432273262
VBP,0.005892355090153033,0,0.041383234617075756,0.019965614774554934,5.355744987393445,0.013783424805152494
VBZ,0.01094294516742706,0,0.46642354016329135,0.09206366812711442,5.287069276023533,0.07142320126306292
WDT,3.715550766847927,0,0,0,0,0
WP,2.288759070018014,0,0,0,0,0
WP$,0,0.2821746257826987,0,0,0,0
WRB,3.454603612855435,0,0,0,0,0

Adjective,0.31229481977811074,5.546746929671334,0.03448602884756313,3.611557872552826,2.7383839596590227,9.078264792120894
Adverb,11.974107308203841,0.0017915849256044361,0.11207959375458018,7.078919638400532,4.461039740665146,1.2192065759466706
Conjunction,49.2020067677907,0,0,0.0033276024624258223,0,0
Determiner,4.020269701510126,73.0169394354716,0.4017622360741105,0,0.21803337735622524,0.14597899907275144
GrammarOther,0.1986565430394451,0,4.846149203803809,4.456768898008985,9.180453835994717,0
Noun,3.7332278321183856,0.057330717619341956,4.6349222771124845,52.43081359880207,11.383839596590226,84.38463273438087
Other,0.03282883550228118,0,0.0017243014423781566,3.1090899007265267,0.005282747028454797,1.2342430393704733
Preposition,25.470967524705802,0,86.62114510858788,0.9372746935832732,0.0874054508344339,1.751121469563692
Pronoun,2.288759070018014,19.756702767102915,0.0017243014423781566,25.023570517442185,17.15884259815104,0
Verb,2.76519806730753,0.016124264330439925,3.344282647492435,3.3464588763795686,54.676911994237,2.18341979299802
